term,stat,padj,pval,overlap %,gene signature %,overlap between signature and term,term gene count,genes,gene_average,gene_stdev,avg_rna,avg_protein,avg_cpg,Regulation_Grouping_2
REACTOME_ACTIVATION_OF_THE_PRE_REPLICATIVE_COMPLEX,REACTOME_ACTIVATION_OF_THE_PRE_REPLICATIVE_COMPLEX,0.6406099504932767,0.41807454941163646,0.12903225806451613,0.030303030303030304,4.0,31.0,"MCM10,ORC6,CDC45,CDC7",-0.20690055936574936,0.1085548923645703,-0.4096893844237983,-0.000812990820950797,0.002320481181975138,TPDE_TMDS
REACTOME_M_G1_TRANSITION,REACTOME_M_G1_TRANSITION,0.8347598789044078,0.8347598789044078,0.06172839506172839,0.03787878787878788,5.0,81.0,"E2F2,MCM10,ORC6,CDC45,CDC7",-0.2102650851011276,0.12718422549880423,-0.4373235882670767,-0.0006503926567606376,0.0018822609868068322,TPDE_TMDS
REACTOME_MITOTIC_G1_G1_S_PHASES,REACTOME_MITOTIC_G1_G1_S_PHASES,0.6406099504932767,0.5124879603946214,0.051094890510948905,0.05303030303030303,7.0,137.0,"E2F2,MCM10,RBL1,ORC6,CDC45,CDC7,CCNB1",-0.2035360336303711,0.10959941211029738,-0.3453362046665915,-0.031051809683307407,0.0004564859363595229,TPDE_TMDS
REACTOME_ACTIVATION_OF_ATR_IN_RESPONSE_TO_REPLICATION_STRESS,REACTOME_ACTIVATION_OF_ATR_IN_RESPONSE_TO_REPLICATION_STRESS,0.6406099504932767,0.41807454941163646,0.10526315789473684,0.030303030303030304,4.0,38.0,"MCM10,ORC6,CDC45,CDC7",-0.20690055936574936,0.1085548923645703,-0.4096893844237983,-0.000812990820950797,0.002320481181975138,TPDE_TMDS
REACTOME_G2_M_CHECKPOINTS,REACTOME_G2_M_CHECKPOINTS,0.6406099504932767,0.30812513672335395,0.1111111111111111,0.03787878787878788,5.0,45.0,"MCM10,ORC6,CDC45,CDC7,CCNB1",-0.2035360336303711,0.09742426596931426,-0.3288579546691518,-0.043472533556630374,-0.00011222950471054087,TPDE_TMDS
KEGG_DNA_REPLICATION,KEGG_DNA_REPLICATION,0.583882420770365,0.5006705692961291,0.1111111111111111,0.07547169811320754,4.0,36.0,"MCM6,MCM4,MCM3,FEN1",-0.5133550316095352,0.11022566256603764,-0.2241573181412295,-0.27968311640085874,0.005377966641307988,TMDE
REACTOME_SYNTHESIS_OF_DNA,REACTOME_SYNTHESIS_OF_DNA,0.583882420770365,0.583882420770365,0.05434782608695652,0.09433962264150944,5.0,92.0,"MCM6,MCM4,MCM3,GINS4,FEN1",-0.4579232633113861,0.10269600573818614,-0.2720937768846189,-0.24370336502082654,0.001451748762042213,TMDE
REACTOME_UNWINDING_OF_DNA,REACTOME_UNWINDING_OF_DNA,0.583882420770365,0.3632776609360936,0.36363636363636365,0.07547169811320754,4.0,11.0,"MCM6,MCM4,MCM3,GINS4",-0.5133550316095352,0.08335617818919576,-0.3399191965981959,-0.2540496778810067,0.0029767657903709273,TMDE
REACTOME_DNA_STRAND_ELONGATION,REACTOME_DNA_STRAND_ELONGATION,0.583882420770365,0.583882420770365,0.16666666666666666,0.09433962264150944,5.0,30.0,"MCM6,MCM4,MCM3,GINS4,FEN1",-0.4579232633113861,0.10269600573818614,-0.2720937768846189,-0.24370336502082654,0.001451748762042213,TMDE
KEGG_GLYCOLYSIS_GLUCONEOGENESIS,KEGG_GLYCOLYSIS_GLUCONEOGENESIS,0.8375513230066249,0.5283016037426403,0.12903225806451613,0.013513513513513514,8.0,62.0,"ALDH3A2,DLD,AKR1A1,ALDH9A1,DLAT,ACSS1,ADH1A,ADH5",0.4029258042573929,0.40878781888150983,0.12403758413886336,0.22871350518868805,-0.002044515171580376,TMDS
KEGG_CITRATE_CYCLE_TCA_CYCLE,KEGG_CITRATE_CYCLE_TCA_CYCLE,0.0037068671494207574,0.00011405745075140793,0.4375,0.02364864864864865,14.0,32.0,"CS,SDHA,DLD,IDH3B,OGDH,SDHB,SUCLA2,IDH1,SDHC,MDH2,DLAT,IDH3A,IDH2,SDHD",0.5795064270496368,0.16126101260319284,0.24944428472333643,0.32987507157439533,-0.0046006100616836475,TMDS
KEGG_FATTY_ACID_METABOLISM,KEGG_FATTY_ACID_METABOLISM,0.6202736941726672,0.3817068887216414,0.30952380952380953,0.02195945945945946,13.0,42.0,"ACSL4,ALDH3A2,HADHA,CPT1A,EHHADH,ACADL,ALDH9A1,ACSL1,CPT2,ACAA2,ECI1,ADH1A,ADH5",0.4340403974056244,0.4020466516910248,0.24409840531208438,0.29341408401987384,0.0017567139523245701,TMDS
