Comparison	Regulation_Grouping_2	Pathway	 fGSEA NES	 fGSEA padj	 fGSEA pval 	 fGSEA size
old-young	TPDS	Cyclic Nucleotides Metabolism	-1.131173601826884	0.8145473328324568	0.30834512022630833	1
old-young	TPDS	Triacylglycerol Synthesis	-1.125427435762926	0.8145473328324568	0.34114713216957604	2
old-young	TPDS	Pyrimidine Biosynthesis	-1.10625788372497	0.8145473328324568	0.3441099211962013	1
old-young	TPDS	Retinol Metabolism	-1.0969873537156891	0.8145473328324568	0.315989847715736	5
old-young	TPDS	O-Glycan Biosynthesis	-1.091308452863822	0.8145473328324568	0.36451808446150735	1
old-young	TPDS	Carbonic Acid Metabolism	-1.0271126977381713	0.8552882499633271	0.42144638403990026	2
old-young	TPDS	Folate Metabolism	-0.9507146117455249	0.8940085949393922	0.4892134085628941	6
old-young	TPDS	Chondroitin and Heparan sulfate biosynthesis	-0.9293562852013826	0.8940085949393922	0.6011315417256011	1
old-young	TPDS	Porphyrin and Heme Metabolism	-0.9252997772626672	0.8940085949393922	0.5516209476309227	2
old-young	TPDS	Histidine Metabolism	-0.8954813902681966	0.8940085949393922	0.5922693266832918	2
old-young	TPDS	ROS Detoxification	-0.8813382443400627	0.8940085949393922	0.5970966858394959	3
old-young	TPDS	Riboflavin Metabolism	-0.8197271255529621	0.9414661122395804	0.7777328753283491	1
old-young	TPDS	N-Glycan Biosynthesis	-0.8097608383121967	0.9430222754858176	0.7926853909880784	1
old-young	TPDS	Glyoxylate and Dicarboxylate Metabolism	-0.7905473825156769	0.9414661122395804	0.7536159600997506	2
old-young	TPDS	Bile Acid Biosynthesis	-0.7399968276268379	0.9720334916144676	0.9015962820771872	1
old-young	TPDS	Fructose and Mannose Metabolism	-0.7225558249554985	0.9791144527986632	0.9246312386340676	1
old-young	TPDS	DNA Demethylation	-0.6851822478026279	0.9791144527986632	0.9783794706001212	1
old-young	TPDS	Transport, Extracellular	-0.5697128844765229	0.9791144527986632	0.9791144527986632	11
old-young	TPDS	Fatty Acids Oxidation, mitochondrial	0.560750304507005	0.9791144527986632	0.9613678637859492	6
old-young	TPDS	Amino and Nucleotide Sugar Metabolism	0.7033353500627082	0.9791144527986632	0.9475345167652859	1
old-young	TPDS	Tryptophan metabolism	0.7155913451439279	0.9635002589174204	0.862359128474831	4
old-young	TPDS	Fatty Acids Oxidation, peroxisomal	0.7211945660347706	0.9635002589174204	0.8572501878287002	4
old-young	TPDS	Pterin Biosynthesis	0.7284010404852752	0.9720334916144676	0.8877397831526271	2
old-young	TPDS	Purine Metabolism	0.7336074998157366	0.9635002589174204	0.8657538558388417	3
old-young	TPDS	Phosphoinositide Signalling	0.7754085838147172	0.9635002589174204	0.8453648915187377	1
old-young	TPDS	Pyruvate Metabolism	0.7804200803672042	0.9414661122395804	0.7716411503791673	6
old-young	TPDS	Biotin Metabolism	0.8144805269501189	0.9414661122395804	0.7748123436196831	2
old-young	TPDS	Sphingolipid Metabolism	0.8251142622643786	0.9414661122395804	0.7690335305719921	1
old-young	TPDS	Inositol Phosphate Metabolism	0.8275995461868616	0.9414661122395804	0.7658777120315582	1
old-young	TPDS	Steroid Metabolism	0.8565599398242609	0.9374521406195614	0.6921617282148591	5
old-young	TPDS	Sugar Degradation	0.8748199407140401	0.9374521406195614	0.6928994082840236	1
old-young	TPDS	Ethanol Metabolism	0.9024764113658579	0.8940085949393922	0.6348756688700031	3
old-young	TPDS	Xenobiotics Metabolism	0.9024764113658579	0.8940085949393922	0.6348756688700031	3
old-young	TPDS	Fatty Acid Metabolism	0.9126499178523252	0.8940085949393922	0.617129977460556	4
old-young	TPDS	Alanine and Aspartate Metabolism	0.9190980362198556	0.8940085949393922	0.6009443411074545	6
old-young	TPDS	GABA shunt	0.9307315223938076	0.8940085949393922	0.5989991659716429	2
old-young	TPDS	Transport, Lysosomal	0.9415644701081328	0.8940085949393922	0.5699897825135016	5
old-young	TPDS	Thiamine Metabolism	0.9543490262334984	0.8940085949393922	0.5747534516765286	1
old-young	TPDS	Polyamines Metabolism	0.9932741461162844	0.8940085949393922	0.496580483736447	2
old-young	TPDS	Glutamate metabolism	1.0226098959184544	0.8721400394477318	0.4545321850824697	5
old-young	TPDS	Ascorbate uptake	1.0313928278304731	0.8721400394477318	0.4550295857988166	1
old-young	TPDS	Creatine Metabolism	1.0495141154682397	0.8517097581317765	0.4073394495412844	2
old-young	TPDS	Phenylalanine metabolism	1.0794564242890856	0.8145473328324568	0.3777610818933133	4
old-young	TPDS	Oxidative Phosphorylation	1.0814706538355665	0.8145473328324568	0.3749060856498873	4
old-young	TPDS	Carnitine shuttle	1.1059513455049652	0.8145473328324568	0.3469428007889546	1
old-young	TPDS	Pyrimidine Metabolism	1.1181444373588862	0.8145473328324568	0.3150771167768335	3
old-young	TPDS	Nucleotide Metabolism	1.1221352830478908	0.8145473328324568	0.30783758262511796	3
old-young	TPDS	Tyrosine metabolism	1.1222502793091365	0.8145473328324568	0.3336135631217598	7
old-young	TPDS	CoA Biosynthesis	1.205362702404288	0.654180530213588	0.1913214990138067	1
old-young	TPDS	CYP Metabolism	1.2128185541717371	0.6518218623481782	0.1794871794871795	1
old-young	TPDS	Ketone Bodies Metabolism	1.2216735890004533	0.654180530213588	0.1990984222389181	4
old-young	TPDS	Eicosanoid Metabolism	1.2493286291118255	0.6075175742314552	0.15848284545168398	3
old-young	TPDS	Propanoate Metabolism	1.2597441798943652	0.6017330444925846	0.14825306893295562	3
old-young	TPDS	Cysteine Metabolism	1.2892268558235158	0.6017330444925846	0.14392059553349876	5
old-young	TPDS	Vitamin D	1.2973182075361616	0.4074395329441201	0.05877712031558185	1
old-young	TPDS	beta-Alanine metabolism	1.3099702506751	0.4902651067940325	0.09591326105087572	2
old-young	TPDS	NAD Metabolism	1.31222991107106	0.36919300012589706	0.04043392504930966	1
