Comparison	Regulation_Grouping_2	Pathway	 fGSEA NES	 fGSEA padj	 fGSEA pval 	 fGSEA size
old-young	TMDS	REACTOME_CELL_CELL_COMMUNICATION	-2.4369587852714303	0.02087423374333908	0.00044072278536800354	6
old-young	TMDS	REACTOME_EXTRACELLULAR_MATRIX_ORGANIZATION	-2.3277258239256238	0.02087423374333908	0.00040617384240454913	5
old-young	TMDS	HALLMARK_ESTROGEN_RESPONSE_EARLY	-2.323854840190462	0.03220278030635065	0.0010548523206751054	19
old-young	TMDS	REACTOME_CELL_JUNCTION_ORGANIZATION	-2.2100913234908277	0.0302309388418243	0.0008123476848090983	5
old-young	TMDS	REACTOME_SIGNALING_BY_GPCR	-2.158774831028944	0.03341314293043739	0.0012185215272136475	5
old-young	TMDS	REACTOME_COLLAGEN_FORMATION	-2.1061786075977658	0.028453619507932612	0.0007099751508697197	4
old-young	TMDS	REACTOME_CELL_CELL_JUNCTION_ORGANIZATION	-1.9774213195602384	0.04403536352418142	0.0017749378771742988	4
old-young	TMDS	REACTOME_TRANSPORT_OF_GLUCOSE_AND_OTHER_SUGARS_BILE_SALTS_AND_ORGANIC_ACIDS_METAL_IONS_AND_AMINE_COMPOUNDS	-1.8425282101697356	0.12490961815095862	0.012105263157894735	8
old-young	TMDS	REACTOME_INTEGRIN_CELL_SURFACE_INTERACTIONS	-1.801525945682739	0.051901292195594015	0.0021916092673763305	3
old-young	TMDS	HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	-1.7408741367070868	0.14850790448834608	0.01681759379042691	11
old-young	TMDS	KEGG_CELL_ADHESION_MOLECULES_CAMS	-1.7179907873277442	0.17787199175662172	0.0242397531952402	6
old-young	TMDS	REACTOME_NCAM_SIGNALING_FOR_NEURITE_OUT_GROWTH	-1.697322999678108	0.1430862692109108	0.01565435190983093	3
old-young	TMDS	REACTOME_NCAM1_INTERACTIONS	-1.697322999678108	0.1430862692109108	0.01565435190983093	3
old-young	TMDS	KEGG_FOCAL_ADHESION	-1.6946557510738964	0.17390682370893135	0.02236421725239616	4
old-young	TMDS	REACTOME_AMINE_COMPOUND_SLC_TRANSPORTERS	-1.6816580308466338	0.15677340427980885	0.018472135253600502	3
old-young	TMDS	REACTOME_TIGHT_JUNCTION_INTERACTIONS	-1.6301102760045358	0.01699615058393684	0.0002626050420168067	2
old-young	TMDS	KEGG_LEUKOCYTE_TRANSENDOTHELIAL_MIGRATION	-1.6301102760045358	0.01699615058393684	0.0002626050420168067	2
old-young	TMDS	REACTOME_OPIOID_SIGNALLING	-1.5869965281505118	0.0889311974789916	0.006827731092436975	2
old-young	TMDS	REACTOME_PLC_BETA_MEDIATED_EVENTS	-1.5869965281505118	0.0889311974789916	0.006827731092436975	2
old-young	TMDS	REACTOME_INNATE_IMMUNE_SYSTEM	-1.5789450573191846	0.2635372010096559	0.044513001322168365	6
old-young	TMDS	REACTOME_GPCR_LIGAND_BINDING	-1.5785172014107949	0.2549895997524093	0.042579837194740136	3
old-young	TMDS	REACTOME_ABACAVIR_TRANSPORT_AND_METABOLISM	-1.5746783144779335	0.1106181834435902	0.009716386554621849	2
old-young	TMDS	REACTOME_GPCR_DOWNSTREAM_SIGNALING	-1.5705722432537406	0.1106181834435902	0.009978991596638656	2
old-young	TMDS	KEGG_NEUROACTIVE_LIGAND_RECEPTOR_INTERACTION	-1.5705722432537406	0.1106181834435902	0.009978991596638656	2
old-young	TMDS	REACTOME_CLASS_A1_RHODOPSIN_LIKE_RECEPTORS	-1.5705722432537406	0.1106181834435902	0.009978991596638656	2
old-young	TMDS	BIOCARTA_AMI_PATHWAY	-1.5644131364174514	0.12490961815095862	0.012605042016806723	2
old-young	TMDS	BIOCARTA_INTRINSIC_PATHWAY	-1.5644131364174514	0.12490961815095862	0.012605042016806723	2
old-young	TMDS	BIOCARTA_VITCB_PATHWAY	-1.5644131364174514	0.12490961815095862	0.012605042016806723	2
old-young	TMDS	BIOCARTA_PLATELETAPP_PATHWAY	-1.5644131364174514	0.12490961815095862	0.012605042016806723	2
old-young	TMDS	REACTOME_SLC_MEDIATED_TRANSMEMBRANE_TRANSPORT	-1.5479856623608432	0.2087339743589744	0.02884615384615385	13
old-young	TMDS	HALLMARK_INFLAMMATORY_RESPONSE	-1.5274584953997166	0.17787199175662172	0.02389705882352941	2
old-young	TMDS	KEGG_AXON_GUIDANCE	-1.5274584953997166	0.17787199175662172	0.02389705882352941	2
old-young	TMDS	REACTOME_AMYLOIDS	-1.5130872461150418	0.20991136180499595	0.029411764705882356	2
old-young	TMDS	REACTOME_SYNTHESIS_OF_PA	-1.5076934069659476	0.2976489422822431	0.0554164057608015	3
old-young	TMDS	REACTOME_ACYL_CHAIN_REMODELLING_OF_PI	-1.5076934069659476	0.2976489422822431	0.0554164057608015	3
old-young	TMDS	REACTOME_ACYL_CHAIN_REMODELLING_OF_PC	-1.5076934069659476	0.2976489422822431	0.0554164057608015	3
old-young	TMDS	REACTOME_ACYL_CHAIN_REMODELLING_OF_PG	-1.5076934069659476	0.2976489422822431	0.0554164057608015	3
old-young	TMDS	REACTOME_ACYL_CHAIN_REMODELLING_OF_PE	-1.5076934069659476	0.2976489422822431	0.0554164057608015	3
old-young	TMDS	REACTOME_ACYL_CHAIN_REMODELLING_OF_PS	-1.5076934069659476	0.2976489422822431	0.0554164057608015	3
old-young	TMDS	HALLMARK_COMPLEMENT	-1.4844770927205742	0.3136021925387089	0.06267487409065473	9
old-young	TMDS	REACTOME_DEFENSINS	-1.4699734982610173	0.2796119978532668	0.04858193277310925	2
old-young	TMDS	HALLMARK_APICAL_JUNCTION	-1.466301196384432	0.3136021925387089	0.06801736613603472	7
old-young	TMDS	REACTOME_TOLL_RECEPTOR_CASCADES	-1.444910996617543	0.3136021925387089	0.06460084033613446	2
old-young	TMDS	REACTOME_INTEGRATION_OF_ENERGY_METABOLISM	-1.4359341709249451	0.3302151900667409	0.07795867251095805	3
old-young	TMDS	REACTOME_REGULATION_OF_INSULIN_SECRETION	-1.4359341709249451	0.3302151900667409	0.07795867251095805	3
old-young	TMDS	REACTOME_CYTOKINE_SIGNALING_IN_IMMUNE_SYSTEM	-1.430965821631186	0.3176539093898429	0.0701155462184874	2
old-young	TMDS	HALLMARK_G2M_CHECKPOINT	-1.430965821631186	0.3176539093898429	0.0701155462184874	2
old-young	TMDS	REACTOME_NA_CL_DEPENDENT_NEUROTRANSMITTER_TRANSPORTERS	-1.4289127860190896	0.3219922667342799	0.07169117647058823	2
old-young	TMDS	REACTOME_RECYCLING_OF_BILE_ACIDS_AND_SALTS	-1.3796399313287762	0.4035116764096943	0.10688025210084033	2
old-young	TMDS	REACTOME_ADHERENS_JUNCTIONS_INTERACTIONS	-1.3735249409863468	0.4084971488595438	0.1097689075630252	2
old-young	TMDS	KEGG_ECM_RECEPTOR_INTERACTION	-1.3712120669074452	0.4035116764096943	0.1068512602058928	4
old-young	TMDS	REACTOME_SIGNALING_BY_PDGF	-1.3444668769340953	0.4345643706666071	0.11927582534611288	4
old-young	TMDS	KEGG_TIGHT_JUNCTION	-1.3430857828024856	0.43959488297650257	0.12825033054208906	6
old-young	TMDS	REACTOME_NFKB_AND_MAP_KINASES_ACTIVATION_MEDIATED_BY_TLR4_SIGNALING_REPERTOIRE	-1.3379791677542263	0.0889311974789916	0.006517874777799724	1
old-young	TMDS	REACTOME_TRIF_MEDIATED_TLR3_SIGNALING	-1.3379791677542263	0.0889311974789916	0.006517874777799724	1
old-young	TMDS	REACTOME_MYD88_MAL_CASCADE_INITIATED_ON_PLASMA_MEMBRANE	-1.3379791677542263	0.0889311974789916	0.006517874777799724	1
old-young	TMDS	REACTOME_ACTIVATED_TLR4_SIGNALLING	-1.3379791677542263	0.0889311974789916	0.006517874777799724	1
old-young	TMDS	REACTOME_TRAF6_MEDIATED_INDUCTION_OF_NFKB_AND_MAP_KINASES_UPON_TLR7_8_OR_9_ACTIVATION	-1.3379791677542263	0.0889311974789916	0.006517874777799724	1
old-young	TMDS	REACTOME_NUCLEAR_SIGNALING_BY_ERBB4	-1.3379791677542263	0.0889311974789916	0.006517874777799724	1
old-young	TMDS	REACTOME_RIG_I_MDA5_MEDIATED_INDUCTION_OF_IFN_ALPHA_BETA_PATHWAYS	-1.3379791677542263	0.0889311974789916	0.006517874777799724	1
old-young	TMDS	REACTOME_RIP_MEDIATED_NFKB_ACTIVATION_VIA_DAI	-1.3379791677542263	0.0889311974789916	0.006517874777799724	1
old-young	TMDS	REACTOME_TRAF6_MEDIATED_NFKB_ACTIVATION	-1.3379791677542263	0.0889311974789916	0.006517874777799724	1
old-young	TMDS	REACTOME_ADVANCED_GLYCOSYLATION_ENDPRODUCT_RECEPTOR_SIGNALING	-1.3379791677542263	0.0889311974789916	0.006517874777799724	1
old-young	TMDS	REACTOME_TAK1_ACTIVATES_NFKB_BY_PHOSPHORYLATION_AND_ACTIVATION_OF_IKKS_COMPLEX	-1.3379791677542263	0.0889311974789916	0.006517874777799724	1
old-young	TMDS	REACTOME_CELL_EXTRACELLULAR_MATRIX_INTERACTIONS	-1.3312892719154552	0.1568052067755801	0.018961090262690102	1
old-young	TMDS	REACTOME_ORGANIC_CATION_ANION_ZWITTERION_TRANSPORT	-1.3264802570902328	0.4361469327532691	0.1242955541640576	3
old-young	TMDS	REACTOME_GASTRIN_CREB_SIGNALLING_PATHWAY_VIA_PKC_AND_MAPK	-1.3195819541976057	0.21710111136268384	0.034169464744222784	1
old-young	TMDS	REACTOME_G_ALPHA_I_SIGNALLING_EVENTS	-1.3195819541976057	0.21710111136268384	0.034169464744222784	1
old-young	TMDS	REACTOME_G_ALPHA_Q_SIGNALLING_EVENTS	-1.3195819541976057	0.21710111136268384	0.034169464744222784	1
old-young	TMDS	KEGG_GAP_JUNCTION	-1.3195819541976057	0.21710111136268384	0.034169464744222784	1
old-young	TMDS	BIOCARTA_AKAP13_PATHWAY	-1.3195819541976057	0.21710111136268384	0.034169464744222784	1
old-young	TMDS	KEGG_MELANOMA	-1.3180488629658842	0.4623438004854114	0.14311974789915966	2
old-young	TMDS	BIOCARTA_P53_PATHWAY	-1.3045296885603708	0.2992599370382164	0.05629073671736125	1
old-young	TMDS	REACTOME_CA_DEPENDENT_EVENTS	-1.2978397927215997	0.3136021925387089	0.06774639541773651	1
old-young	TMDS	REACTOME_PLATELET_HOMEOSTASIS	-1.2978397927215997	0.3136021925387089	0.06774639541773651	1
old-young	TMDS	REACTOME_ADP_SIGNALLING_THROUGH_P2RY1	-1.2978397927215997	0.3136021925387089	0.06774639541773651	1
old-young	TMDS	KEGG_FC_GAMMA_R_MEDIATED_PHAGOCYTOSIS	-1.2978397927215997	0.3136021925387089	0.06774639541773651	1
old-young	TMDS	REACTOME_SIGNAL_AMPLIFICATION	-1.2978397927215997	0.3136021925387089	0.06774639541773651	1
old-young	TMDS	BIOCARTA_FCER1_PATHWAY	-1.2978397927215997	0.3136021925387089	0.06774639541773651	1
old-young	TMDS	BIOCARTA_SPPA_PATHWAY	-1.2978397927215997	0.3136021925387089	0.06774639541773651	1
old-young	TMDS	REACTOME_PLATELET_SENSITIZATION_BY_LDL	-1.2978397927215997	0.3136021925387089	0.06774639541773651	1
old-young	TMDS	BIOCARTA_P38MAPK_PATHWAY	-1.2978397927215997	0.3136021925387089	0.06774639541773651	1
old-young	TMDS	KEGG_PATHWAYS_IN_CANCER	-1.2935029465581391	0.465248176012545	0.14664737095996142	7
old-young	TMDS	REACTOME_INHIBITION_OF_INSULIN_SECRETION_BY_ADRENALINE_NORADRENALINE	-1.2928223708425213	0.3274199630115095	0.07604187240766344	1
old-young	TMDS	REACTOME_G_PROTEIN_ACTIVATION	-1.2928223708425213	0.3274199630115095	0.07604187240766344	1
