ONTOLOGY,ID,Description,GeneRatio,BgRatio,pvalue,p.adjust,qvalue,geneID,Count
BP,GO:0002250,adaptive immune response,105/899,342/12848,6.416985199076189e-41,2.9928818968491345e-37,2.49519403425131e-37,CD79B/FYN/CD6/SLC11A1/SLAMF7/TNFRSF1B/C6/FOXP3/PRDM1/IL4R/PTPRC/LAT2/LAG3/CD209/IL12RB1/SLA2/CD40LG/TNFSF13B/LILRB1/LILRA1/IL27RA/EBI3/CD79A/LILRB5/IFNG/CLEC4A/CCR6/ITK/BTNL8/CD86/IL18R1/SLAMF1/ADCY7/CD80/CCR2/LAX1/CD244/LY9/PKN1/IRF1/IL1B/C3/PRR7/RSAD2/KLRD1/IL6/IL10/TLR4/SIT1/LEF1/CD27/XCL1/DUSP10/MR1/BATF/CXCL13/CD1D/C1R/IL23R/NLRP3/SLAMF6/CTLA4/C2/CLEC4D/NOD2/CD3D/NFKBID/LAIR1/IL7R/FGB/CD8B/KLHL6/THEMIS/C1QB/C1QA/CD7/IL20RB/ADGRE1/GAPT/ZNF683/IL17RA/CD28/HLA-DQB1/FUT7/C1S/IRF7/BTLA/LILRB4/ZP3/IL27/SPN/GZMM/PDCD1LG2/SH2D1B/HLA-DOA/HLA-DMA/MICB/HLA-C/KLRK1/HLA-DPB1/LTA/HLA-DPA1/HLA-DQB2/TNF/HLA-DQA1,105
BP,GO:0042110,T cell activation,99/899,394/12848,1.578355528685086e-30,3.6807250928936206e-27,3.0686554331382675e-27,FYN/CD6/SLC11A1/TNFRSF1B/FOXP3/PRDM1/IL4R/PTPRC/LAG3/CD209/IL12RB1/SLA2/SIRPB1/ELF4/CD40LG/TNFSF13B/IL7/LILRB1/IL27RA/EBI3/TNFSF8/MAP3K8/CD5/MDK/IFNG/CLEC4A/TREML2/CCR6/ITK/CD86/IL1A/IL18R1/MYB/CD80/CCR2/LAX1/LY9/IRF1/IL1B/TNFSF14/CCR7/BCL11B/EPO/PRR7/PTPN22/RSAD2/IL2RA/TESPA1/IL6/IL10/SIT1/LEF1/CD27/XCL1/DUSP10/ADAM8/MR1/BATF/CD1D/JAML/IL23R/NLRP3/SLAMF6/CTLA4/ICOS/NOD2/CD3D/NFKBID/TMIGD2/RHOH/IL7R/BCL2/CD8B/CLEC7A/THEMIS/CD7/IL20RB/ZNF683/CD28/FUT7/TIGIT/CLECL1/JAG2/BTLA/LILRB4/TNFRSF4/FANCA/ZP3/IL27/SPN/PDCD1LG2/HLA-DOA/AIF1/MICB/MIR27A/KLRK1/HLA-DPB1/HLA-DPA1/PIK3R6,99
BP,GO:0002694,regulation of leukocyte activation,97/899,433/12848,9.592430819641154e-26,1.3420761491605457e-22,1.1189016193461805e-22,FYN/CD22/CD6/TNFRSF1B/FOXP3/PRDM1/TSPAN32/IL4R/CST7/PTPRC/LAG3/CD209/IL12RB1/SIRPB1/CD40LG/TNFSF13B/IL7/LILRB1/IL27RA/EBI3/CD33/HAMP/TNFSF8/MAP3K8/CD5/MDK/IFNG/CD86/IL1A/CNR1/MYB/CD80/CCR2/LAX1/INHBA/PKN1/IRF1/IL1B/TNFSF14/CCR7/LBP/EPO/PTPN22/IL2RA/TESPA1/IL6/IL10/TLR4/SIT1/LEF1/CD27/XCL1/DUSP10/ATM/ADAM8/CD1D/SLAMF8/FCRL3/IKZF3/IL23R/NLRP3/CTLA4/ICOS/CLEC4D/NOD2/NFKBID/TMIGD2/RHOH/IL7R/PTAFR/BCL2/CLEC7A/TLR6/IL20RB/ZNF683/CD28/TIGIT/CLECL1/CD300LF/BTLA/LILRB4/TNFRSF4/FANCA/ZP3/IL27/SPN/PDCD1LG2/HLA-DOA/AIF1/LST1/KLRC2/MIR27A/KLRK1/HLA-DPB1/HLA-DPA1/NFAM1/PIK3R6,97
BP,GO:0050865,regulation of cell activation,101/899,465/12848,1.1510087042543275e-25,1.3420761491605457e-22,1.1189016193461805e-22,FYN/CD22/CD6/TNFRSF1B/FOXP3/PRDM1/TSPAN32/IL4R/CST7/PTPRC/LAG3/CD209/IL12RB1/SIRPB1/CD40LG/TNFSF13B/IL7/LILRB1/IL27RA/EBI3/CD33/HAMP/TNFSF8/MAP3K8/CD5/MDK/SH2B3/IFNG/CD86/IL1A/CNR1/MYB/CD80/CCR2/LAX1/INHBA/PKN1/IRF1/IL1B/TNFSF14/CCR7/LBP/EPO/PTPN22/IL2RA/TESPA1/IL6/IL10/TLR4/SIT1/LEF1/CD27/XCL1/DUSP10/ATM/ADAM8/CD1D/SLAMF8/FCRL3/IKZF3/IL23R/NLRP3/CTLA4/ICOS/CLEC4D/NOD2/NFKBID/TMIGD2/RHOH/IL7R/PTAFR/BCL2/CLEC7A/C1QTNF1/TLR6/IL20RB/ZNF683/CD28/F2/TIGIT/CLECL1/CD300LF/BTLA/LILRB4/TNFRSF4/FANCA/ZP3/IL27/SPN/PDCD1LG2/HLA-DOA/AIF1/LST1/KLRC2/MIR27A/KLRK1/HLA-DPB1/HLA-DPA1/NFAM1/LILRA2/PIK3R6,101
BP,GO:0051249,regulation of lymphocyte activation,87/899,371/12848,1.316134302976677e-24,1.2276900778166443e-21,1.02353686635702e-21,FYN/CD22/CD6/TNFRSF1B/FOXP3/PRDM1/IL4R/PTPRC/LAG3/CD209/IL12RB1/SIRPB1/CD40LG/TNFSF13B/IL7/LILRB1/IL27RA/EBI3/TNFSF8/MAP3K8/CD5/MDK/IFNG/CD86/IL1A/MYB/CD80/CCR2/LAX1/INHBA/PKN1/IRF1/IL1B/TNFSF14/CCR7/EPO/PTPN22/IL2RA/TESPA1/IL6/IL10/TLR4/SIT1/LEF1/CD27/XCL1/DUSP10/ATM/ADAM8/CD1D/SLAMF8/FCRL3/IKZF3/IL23R/NLRP3/CTLA4/ICOS/NOD2/NFKBID/TMIGD2/RHOH/IL7R/BCL2/CLEC7A/IL20RB/ZNF683/CD28/TIGIT/CLECL1/BTLA/LILRB4/TNFRSF4/FANCA/ZP3/IL27/SPN/PDCD1LG2/HLA-DOA/AIF1/LST1/KLRC2/MIR27A/KLRK1/HLA-DPB1/HLA-DPA1/NFAM1/PIK3R6,87
BP,GO:0050863,regulation of T cell activation,73/899,280/12848,1.0194682495152675e-23,7.687235082010673e-21,6.408920825346987e-21,FYN/CD6/TNFRSF1B/FOXP3/PRDM1/IL4R/PTPRC/LAG3/CD209/IL12RB1/SIRPB1/CD40LG/TNFSF13B/IL7/LILRB1/IL27RA/EBI3/TNFSF8/MAP3K8/CD5/MDK/IFNG/CD86/IL1A/MYB/CD80/CCR2/LAX1/IRF1/IL1B/TNFSF14/CCR7/EPO/PTPN22/IL2RA/TESPA1/IL6/IL10/SIT1/LEF1/CD27/XCL1/DUSP10/ADAM8/CD1D/IL23R/NLRP3/CTLA4/ICOS/NOD2/NFKBID/TMIGD2/RHOH/IL7R/IL20RB/ZNF683/CD28/TIGIT/CLECL1/BTLA/LILRB4/FANCA/ZP3/IL27/SPN/PDCD1LG2/HLA-DOA/AIF1/MIR27A/KLRK1/HLA-DPB1/HLA-DPA1/PIK3R6,73
BP,GO:0022409,positive regulation of cell-cell adhesion,67/899,240/12848,1.1537445448986858e-23,7.687235082010673e-21,6.408920825346987e-21,FYN/CD6/FOXP3/IL4R/PTPRC/CEACAM6/CD209/IL12RB1/SIRPB1/CD40LG/TNFSF13B/IL7/LILRB1/IL27RA/EBI3/MAP3K8/CD5/MDK/IFNG/CD86/IL1A/MYB/CD80/CCR2/IL1B/TNFSF14/CCR7/EPO/PTPN22/IL2RA/TESPA1/IL6/IL10/LEF1/CD27/XCL1/DUSP10/ADAM8/CXCL13/CD1D/IL23R/NLRP3/CTLA4/ICOS/NOD2/NFKBID/TMIGD2/RHOH/IL7R/PTAFR/FGG/FGB/CD28/FUT7/RNASE10/CLECL1/BTLA/LILRB4/ZP3/ELANE/PDCD1LG2/AIF1/KLRK1/HLA-DPB1/HLA-DPA1/TNF/PIK3R6,67
BP,GO:0022407,regulation of cell-cell adhesion,83/899,356/12848,2.4987484064609518e-23,1.456770320966735e-20,1.214523238614047e-20,FYN/CD6/FOXP3/IL4R/PTPRC/CEACAM6/LAG3/CD209/IL12RB1/SIRPB1/CD40LG/TNFSF13B/IL7/LILRB1/IL27RA/EBI3/AKNA/MAP3K8/CD5/MDK/SH2B3/IFNG/CD86/IL1A/TNR/MYB/CD80/CCR2/LAX1/IRF1/IL1B/TNFSF14/CCR7/EPO/PTPN22/IL2RA/TESPA1/IL6/IL10/IL1RN/LEF1/CD27/XCL1/DUSP10/ADAM8/CCL28/CXCL13/CD1D/IL23R/NLRP3/CTLA4/ICOS/NOD2/NFKBID/TMIGD2/RHOH/IL7R/PTAFR/FGG/FGB/C1QTNF1/IL20RB/CD28/MYADM/FUT7/TIGIT/RNASE10/CLECL1/BTLA/LILRB4/ZP3/SPN/ELANE/PDCD1LG2/NOTCH4/AIF1/CDSN/MIR27A/KLRK1/HLA-DPB1/HLA-DPA1/TNF/PIK3R6,83
BP,GO:0001819,positive regulation of cytokine production,81/899,345/12848,5.394915321809967e-23,2.575926982834924e-20,2.147574766315837e-20,BRCA1/CD6/SLC11A1/IFNGR1/FOXP3/IL4R/PTPRC/IL12RB2/IL12RB1/OSM/CD40LG/IL7/LILRB1/IL27RA/EBI3/MDK/IL26/IFNG/CD86/IL1A/IL18R1/MYB/CD80/CCR2/PAEP/CD244/LY9/LRP1/ZBP1/IRF1/IL1B/C3/FFAR2/CCR7/LBP/PTPN22/RSAD2/IL6/IL10/TLR4/SULF1/IRF8/NLRP12/XCL1/ADAM8/LY96/SCIMP/IL23R/NLRP3/SLAMF6/PYHIN1/AIM2/PF4/CSF2/NOD2/TMIGD2/PTAFR/CD14/CLEC7A/SAA1/CD34/TLR6/IL20RB/IL17RA/CD28/F2R/TIGIT/IRF7/ZP3/KIR2DL4/IL1RAP/IL27/SPN/ELANE/AIF1/HLA-DPB1/LTA/HLA-DPA1/TNF/NFAM1/LILRA2,81
BP,GO:1903039,positive regulation of leukocyte cell-cell adhesion,61/899,207/12848,5.522999534380198e-23,2.575926982834924e-20,2.147574766315837e-20,FYN/CD6/FOXP3/IL4R/PTPRC/CD209/IL12RB1/SIRPB1/CD40LG/TNFSF13B/IL7/LILRB1/IL27RA/EBI3/MAP3K8/CD5/MDK/IFNG/CD86/IL1A/MYB/CD80/CCR2/IL1B/TNFSF14/CCR7/EPO/PTPN22/IL2RA/TESPA1/IL6/LEF1/CD27/XCL1/DUSP10/ADAM8/CD1D/IL23R/NLRP3/CTLA4/ICOS/NOD2/NFKBID/TMIGD2/RHOH/IL7R/PTAFR/CD28/FUT7/CLECL1/BTLA/LILRB4/ZP3/ELANE/PDCD1LG2/AIF1/KLRK1/HLA-DPB1/HLA-DPA1/TNF/PIK3R6,61
