ONTOLOGY,ID,Description,GeneRatio,BgRatio,pvalue,p.adjust,qvalue,geneID,Count
BP,GO:0002683,negative regulation of immune system process,26/246,318/12848,4.208452335060015e-10,4.0132245957777014e-7,3.3298005059252176e-7,CD74/RUNX3/FCGR2B/SAMHD1/RNF125/TGFB1/VSIR/LOXL3/GBP1/TNFAIP3/CD274/LRRC17/BST2/IDO1/TRIM21/GPNMB/LYAR/TLR3/COL3A1/CEBPB/PARP14/MAFB/HLA-G/HLA-A/LYN/MILR1,26
BP,GO:0030198,extracellular matrix organization,26/246,318/12848,4.208452335060015e-10,4.0132245957777014e-7,3.3298005059252176e-7,ITGAL/FSCN1/COL5A3/MMP9/TGFB1/SERPINE1/LAMA4/ITGA4/LOXL3/COLGALT1/RAMP2/ETS1/ITGAX/HAPLN1/SERPINH1/ACAN/ADAMTS4/ITGA5/FBLN2/COL1A2/COL3A1/ITGAM/SH3PXD2B/OLFML2A/COL5A2/PECAM1,26
BP,GO:0043062,extracellular structure organization,26/246,319/12848,4.5051451989564734e-10,4.0132245957777014e-7,3.3298005059252176e-7,ITGAL/FSCN1/COL5A3/MMP9/TGFB1/SERPINE1/LAMA4/ITGA4/LOXL3/COLGALT1/RAMP2/ETS1/ITGAX/HAPLN1/SERPINH1/ACAN/ADAMTS4/ITGA5/FBLN2/COL1A2/COL3A1/ITGAM/SH3PXD2B/OLFML2A/COL5A2/PECAM1,26
BP,GO:0045229,external encapsulating structure organization,26/246,321/12848,5.158461380396541e-10,4.0132245957777014e-7,3.3298005059252176e-7,ITGAL/FSCN1/COL5A3/MMP9/TGFB1/SERPINE1/LAMA4/ITGA4/LOXL3/COLGALT1/RAMP2/ETS1/ITGAX/HAPLN1/SERPINH1/ACAN/ADAMTS4/ITGA5/FBLN2/COL1A2/COL3A1/ITGAM/SH3PXD2B/OLFML2A/COL5A2/PECAM1,26
BP,GO:0051607,defense response to virus,21/246,212/12848,6.985595466975981e-10,4.0132245957777014e-7,3.3298005059252176e-7,BIRC3/SAMHD1/RNF125/TLR8/IFIH1/GBP1/TNFAIP3/IFIT3/IFIT2/BST2/TRIM22/OASL/DDX60/PARP9/CXCL9/IFITM3/MX1/DTX3L/TLR3/ISG15/APOBEC3G,21
BP,GO:0140546,defense response to symbiont,21/246,212/12848,6.985595466975981e-10,4.0132245957777014e-7,3.3298005059252176e-7,BIRC3/SAMHD1/RNF125/TLR8/IFIH1/GBP1/TNFAIP3/IFIT3/IFIT2/BST2/TRIM22/OASL/DDX60/PARP9/CXCL9/IFITM3/MX1/DTX3L/TLR3/ISG15/APOBEC3G,21
BP,GO:0009615,response to virus,23/246,287/12848,6.672078250663299e-9,3.2855219614337703e-6,2.726020542413862e-6,BIRC3/ENO1/SAMHD1/RNF125/TLR8/IFIH1/GBP1/TNFAIP3/IFIT3/IFIT2/BST2/TRIM22/OASL/DDX60/IFI44/PARP9/CXCL9/IFITM3/MX1/DTX3L/TLR3/ISG15/APOBEC3G,23
BP,GO:0045765,regulation of angiogenesis,20/246,225/12848,1.1808124713452479e-8,5.087825735908836e-6,4.221404585059261e-6,ALOX5/ANGPT2/PGK1/FLT1/SERPINE1/TNFAIP3/PGF/RAMP2/ETS1/GPNMB/ENPP2/ITGAX/ADM/ITGA5/TLR3/CYBB/PRKCB/THBS2/HLA-G/ECSCR,20
BP,GO:0070661,leukocyte proliferation,21/246,250/12848,1.3704503734332336e-8,5.100529235934181e-6,4.231944767847913e-6,CD38/CD4/CD74/BTN3A1/FCGR2B/MEF2C/VSIR/TCIRG1/TNFAIP3/CD274/CDKN1A/CD70/BST2/IDO1/GPNMB/CEBPB/CARD11/HLA-G/PSMB10/HLA-A/LYN,21
BP,GO:1901342,regulation of vasculature development,20/246,228/12848,1.4797009677789908e-8,5.100529235934181e-6,4.231944767847913e-6,ALOX5/ANGPT2/PGK1/FLT1/SERPINE1/TNFAIP3/PGF/RAMP2/ETS1/GPNMB/ENPP2/ITGAX/ADM/ITGA5/TLR3/CYBB/PRKCB/THBS2/HLA-G/ECSCR,20
