ensembl_gene_id,logFC_rna,padj_rna,logFC_meth,padj_meth,CpG_Beta_diff,external_gene_name,entrezgene_id,hgnc_symbol,logFC_protein,padj_protein,Regulation_Grouping_1,Regulation_Grouping_2,Regulation_Grouping_3
ENSG00000000003,-0.773759715487926,2.06912263785181e-25,0.737118108554634,4.26252755887622e-13,0.1171264257184913,TSPAN6,7105.0,TSPAN6,-0.33139098645571,1.63390749537353e-09,None,None,None
ENSG00000000005,-1.22492834597821,2.27647823315316e-09,-2.24864687191925,1.57533766452278e-36,-0.3227685604953261,TNMD,64102.0,TNMD,0.0,1.0,TPDS_TMDE_M-neg_R-neg_P--,TPDS_TMDE,TMDE
ENSG00000000419,0.262502299822215,1.1446293038658701e-09,-0.894159075310554,5.75459114159209e-41,-0.0456231759100576,DPM1,8813.0,DPM1,-0.20902921319576,9.20452946673068e-16,None,None,None
ENSG00000000457,-0.0592450606698641,0.0418196681185279,0.0,1.0,0.0,SCYL3,57147.0,SCYL3,0.116679339566106,0.0004600690733771,None,None,None
ENSG00000000460,0.654209741063035,6.35636066256691e-75,-1.64607232907283,1.9875478676998295e-48,-0.2059920048424544,C1orf112,55732.0,C1orf112,0.0,1.0,None,None,None
ENSG00000000938,1.98434978046255,1.62012651221799e-98,0.0,1.0,0.0,FGR,2268.0,FGR,0.326526880918626,5.51104572676571e-14,TPDE_TMDS_M--_R-pos_P--,TPDE_TMDS,TMDS
ENSG00000000971,0.930985771447587,6.03786932551568e-10,-3.1955600056422,1.7547296711103102e-58,-0.4395344439772745,CFH,3075.0,CFH,0.0016759562021904,0.98108337362802,None,None,None
ENSG00000001036,0.144214062782604,0.012418880605528,0.0,1.0,0.0,FUCA2,2519.0,FUCA2,-0.458085647912872,1.79480029851735e-21,None,None,None
ENSG00000001167,-0.228844818158211,7.97142347838794e-07,-0.481788915925223,1.27778378506001e-19,-0.0263879505822639,NFYA,4800.0,NFYA,0.524761523432818,2.43136508118232e-17,TMDE_M--_R--_P-pos,TMDE,TMDE
ENSG00000001460,-0.246348704149449,8.97430544245368e-06,-0.982542837826431,2.9485709343998e-35,-0.1301358442516456,STPG1,90529.0,STPG1,0.0,1.0,None,None,None
