"","ONTOLOGY","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0002250","BP","GO:0002250","adaptive immune response","96/910","366/14417",9.82580477672306e-35,4.67315275180949e-31,3.94169915832543e-31,"C1QA/CD1D/C1QB/LILRB1/LAT2/PRDM1/CD86/PKN1/ADCY7/KLHL6/ADGRE1/C3/IL12RB1/IL17RA/TNFRSF1B/TNFSF13B/SPN/CLEC4A/IL4R/BATF/CD80/MICB/EBI3/GAPT/NOD2/PDCD1LG2/IL20RB/CD244/LILRA1/FYN/TLR4/IL27RA/SIT1/KLRK1/SLA2/CD7/SLC11A1/CD8B/MR1/CD3D/PDCD1/SLAMF6/IRF7/GZMM/SLAMF7/CD6/DUSP10/KLRD1/CD27/NLRP3/HLA-DQB2/CD79B/ZNF683/IFNG/ITK/LY9/IRF1/XCL1/PRR7/LAX1/IL18R1/FUT7/RSAD2/CXCL13/LTA/CTLA4/CCR6/IL10/ZP3/IL27/C1S/LAG3/CD40LG/CD28/SLAMF1/CCR2/BTNL8/LILRB5/SH2D1B/BTLA/FOXP3/NFKBID/HLA-DQA1/IL7R/C1R/TNF/CLEC4D/C2/CD209/IL1B/LEF1/IL23R/IL6/CD79A/FGB/C6",96
"GO:0042110","BP","GO:0042110","T cell activation","94/910","415/14417",1.29451831203687e-28,3.07836454602368e-25,2.59653120377501e-25,"CD1D/TNFRSF4/LILRB1/PRDM1/CLEC7A/CD86/IL12RB1/PIK3R6/TNFRSF1B/TNFSF13B/SPN/CLEC4A/IL4R/BATF/PTPN22/JAG2/CD80/MICB/EBI3/TNFSF8/NOD2/PDCD1LG2/FANCA/IL20RB/FYN/IL27RA/SIT1/KLRK1/SLA2/ELF4/CD7/SLC11A1/JAML/CD8B/TNFSF14/ICOS/MR1/CD3D/PDCD1/SLAMF6/SIRPB1/CD6/TIGIT/TMIGD2/RHOH/DUSP10/CD27/NLRP3/BCL11B/IL7/CLECL1/ZNF683/TESPA1/IFNG/ITK/LY9/CD5/IRF1/XCL1/PRR7/LAX1/IL2RA/IL18R1/MAP3K8/FUT7/RSAD2/CTLA4/BCL2/CCR6/IL10/ZP3/MYB/IL27/LAG3/CD40LG/CD28/CCR2/SPINK5/EPO/ADAM8/MDK/BTLA/FOXP3/NFKBID/IL7R/TREML2/IL1A/CCR7/CD209/MIR27A/IL1B/LEF1/IL23R/IL6",94
"GO:0002694","BP","GO:0002694","regulation of leukocyte activation","94/910","467/14417",1.54063999451985e-24,2.4424279379788e-21,2.06013298916321e-21,"CD300LF/ATM/CD1D/TNFRSF4/LILRB1/PRDM1/NFAM1/LST1/CLEC7A/CD86/PKN1/IL12RB1/PIK3R6/TNFRSF1B/TNFSF13B/SPN/CST7/CD33/IL4R/PTPN22/CD80/EBI3/TNFSF8/TLR6/NOD2/PDCD1LG2/FANCA/IL20RB/PTAFR/FYN/TLR4/IL27RA/SIT1/KLRK1/SLAMF8/TNFSF14/ICOS/PDCD1/SIRPB1/CD6/TIGIT/TMIGD2/RHOH/TSPAN32/IKZF3/DUSP10/HAMP/CD27/NLRP3/IL7/FCRL3/CLECL1/ZNF683/KLRC2/TESPA1/IFNG/CCL3/CD5/IRF1/XCL1/LAX1/IL2RA/MAP3K8/CTLA4/BCL2/IL10/ZP3/MYB/CNR1/IL27/LAG3/CD40LG/CD28/CCR2/SPINK5/EPO/ADAM8/MDK/BTLA/FOXP3/NFKBID/INHBA/IL7R/CD22/CLEC4D/IL1A/CCR7/CD209/MIR27A/IL1B/LEF1/IL23R/LBP/IL6",94
"GO:0051249","BP","GO:0051249","regulation of lymphocyte activation","83/910","394/14417",4.20382919551958e-23,4.99835291347278e-20,4.21599817476977e-20,"ATM/CD1D/TNFRSF4/LILRB1/PRDM1/NFAM1/LST1/CLEC7A/CD86/PKN1/IL12RB1/PIK3R6/TNFRSF1B/TNFSF13B/SPN/IL4R/PTPN22/CD80/EBI3/TNFSF8/NOD2/PDCD1LG2/FANCA/IL20RB/FYN/TLR4/IL27RA/SIT1/KLRK1/SLAMF8/TNFSF14/ICOS/PDCD1/SIRPB1/CD6/TIGIT/TMIGD2/RHOH/IKZF3/DUSP10/CD27/NLRP3/IL7/FCRL3/CLECL1/ZNF683/KLRC2/TESPA1/IFNG/CD5/IRF1/XCL1/LAX1/IL2RA/MAP3K8/CTLA4/BCL2/IL10/ZP3/MYB/IL27/LAG3/CD40LG/CD28/CCR2/SPINK5/EPO/ADAM8/MDK/BTLA/FOXP3/NFKBID/INHBA/IL7R/CD22/IL1A/CCR7/CD209/MIR27A/IL1B/LEF1/IL23R/IL6",83
"GO:0002697","BP","GO:0002697","regulation of immune effector process","79/910","363/14417",5.71043367090063e-23,5.43176450776068e-20,4.58157109890575e-20,"C1QA/CD1D/C1QB/TNFRSF4/LILRB1/CLEC7A/CD86/PKN1/ARRB2/C3/IL12RB1/PIK3R6/TNFRSF1B/IL4R/PTPN22/CD80/MICB/NOD2/IL20RB/PTAFR/CD244/SCIMP/CD96/TLR4/IL27RA/KLRK1/STING1/IL18RAP/NCR1/SLAMF8/MR1/AIM2/SLAMF6/SERPINB9/TSPAN32/DUSP10/KLRD1/NLRP3/FCRL3/CD5L/KIR2DL4/ZNF683/KLRC2/IFNG/XCL1/NCR3/IL2RA/F2/IL18R1/FUT7/RSAD2/LTA/IL10/ZP3/MYB/CFP/IL27/C1S/LAG3/CD40LG/CD28/CCR2/SPINK5/SH2D1B/FOXP3/NFKBID/FFAR2/CFB/IL7R/C1R/TNF/CD22/C2/NOS2/IL1B/IL23R/LBP/IL6/C6",79
"GO:0050863","BP","GO:0050863","regulation of T cell activation","69/910","294/14417",3.91626693757779e-22,2.82399928295838e-19,2.38197982987792e-19,"CD1D/LILRB1/PRDM1/CD86/IL12RB1/PIK3R6/TNFRSF1B/TNFSF13B/SPN/IL4R/PTPN22/CD80/EBI3/TNFSF8/NOD2/PDCD1LG2/FANCA/IL20RB/FYN/IL27RA/SIT1/KLRK1/TNFSF14/ICOS/PDCD1/SIRPB1/CD6/TIGIT/TMIGD2/RHOH/DUSP10/CD27/NLRP3/IL7/CLECL1/ZNF683/TESPA1/IFNG/CD5/IRF1/XCL1/LAX1/IL2RA/MAP3K8/CTLA4/IL10/ZP3/MYB/IL27/LAG3/CD40LG/CD28/CCR2/SPINK5/EPO/ADAM8/MDK/BTLA/FOXP3/NFKBID/IL7R/IL1A/CCR7/CD209/MIR27A/IL1B/LEF1/IL23R/IL6",69
"GO:0009617","BP","GO:0009617","response to bacterium","93/910","494/14417",4.15643292277306e-22,2.82399928295838e-19,2.38197982987792e-19,"CD1D/LILRB1/RPL39/CD86/SHC1/C3/IL10RA/LILRA2/TNFRSF1B/H2BC12/SPN/NLRC5/RNASE6/RGS1/PTPN22/C10orf99/CD80/TNFSF8/TLR6/LY96/NOD2/PDCD1LG2/PTAFR/CCR5/SCIMP/FASLG/CD96/CHIT1/TLR4/IL27RA/CD14/TNIP3/IRF8/SLC11A1/SLAMF8/MR1/SERPINB9/TSPO/CD6/IKZF3/DUSP10/HAMP/STAB1/NLRP3/CCL20/CX3CR1/RNASE3/CCL3/GSDMA/F2R/DMBT1/F2/TMEM229B/CXCL13/LTA/PLAC8/APOB/CCR4/IL10/CFP/CNR1/IL27/WFDC13/PF4V1/TF/NR1H4/PRG2/SPINK5/EPO/FOXP3/STAB2/CXCL8/LRG1/IL7R/GBP6/PI3/TNF/CAMP/IL1A/CCR7/KRT6A/CLDN1/NOS2/CSF2/IL1B/CEBPE/PF4/PPBP/IL23R/LBP/IL6/FGB/ELANE",93
"GO:0002449","BP","GO:0002449","lymphocyte mediated immunity","59/910","224/14417",9.49378642472393e-22,5.08417801030988e-19,4.28838971211787e-19,"C1QA/CD1D/C1QB/LILRB1/ARRB2/C3/IL12RB1/PIK3R6/TUBB/TNFRSF1B/IL4R/BATF/GAPT/GZMB/NOD2/IL20RB/CD96/IL27RA/KLRK1/SLA2/IL18RAP/NCR1/MR1/SLAMF6/SERPINB9/IRF7/GZMM/SLAMF7/KLRD1/CD27/NLRP3/KIR2DL4/KLRC2/XCL1/NCR3/ULBP2/IL18R1/FUT7/RSAD2/LTA/CCR6/IL10/ZP3/C1S/KIR3DL1/LAG3/CD40LG/CD28/CCR2/SH2D1B/FOXP3/IL7R/C1R/TNF/C2/IL1B/IL23R/IL6/C6",59
"GO:0022409","BP","GO:0022409","positive regulation of cell-cell adhesion","63/910","253/14417",9.621026512361e-22,5.08417801030988e-19,4.28838971211787e-19,"CD1D/LILRB1/CD86/IL12RB1/PIK3R6/TNFSF13B/IL4R/PTPN22/CD80/EBI3/NOD2/PDCD1LG2/PTAFR/FYN/IL27RA/KLRK1/TNFSF14/ICOS/PDCD1/SIRPB1/CD6/TMIGD2/RHOH/DUSP10/CD27/NLRP3/IL7/CLECL1/TESPA1/IFNG/CD5/XCL1/IL2RA/FGG/MAP3K8/FUT7/CXCL13/CTLA4/IL10/ZP3/MYB/CD40LG/CD28/CCR2/EPO/ADAM8/MDK/BTLA/FOXP3/NFKBID/RNASE10/IL7R/TNF/IL1A/CCR7/CD209/IL1B/LEF1/CEACAM6/IL23R/IL6/FGB/ELANE",63
"GO:0022407","BP","GO:0022407","regulation of cell-cell adhesion","79/910","380/14417",1.1937124577221e-21,5.67729644892631e-19,4.78867176460939e-19,"CD1D/LILRB1/CD86/IL12RB1/PIK3R6/TNFSF13B/SPN/IL4R/PTPN22/CD80/EBI3/NOD2/PDCD1LG2/IL20RB/PTAFR/AKNA/FYN/IL27RA/KLRK1/NOTCH4/TNFSF14/ICOS/SH2B3/PDCD1/SIRPB1/CD6/TIGIT/TMIGD2/RHOH/DUSP10/CCL28/CD27/NLRP3/IL7/CDSN/CLECL1/TESPA1/IFNG/CD5/IRF1/XCL1/LAX1/IL2RA/FGG/MAP3K8/FUT7/CXCL13/CTLA4/IL10/ZP3/MYB/LAG3/CD40LG/CD28/CCR2/MYADM/EPO/ADAM8/MDK/BTLA/C1QTNF1/FOXP3/NFKBID/RNASE10/IL1RN/IL7R/TNF/IL1A/CCR7/CD209/MIR27A/IL1B/LEF1/TNR/CEACAM6/IL23R/IL6/FGB/ELANE",79
