"","ONTOLOGY","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0042273","BP","GO:0042273","ribosomal large subunit biogenesis","15/277","69/14417",2.75288792891019e-12,9.5084749064558e-09,8.8208324795817e-09,"RSL1D1/NIFK/RPL23A/RPF2/RPL6/BRIX1/RPL24/NOP53/NOP16/RPL7/NSA2/EBNA1BP2/RPL3/SURF6/RRS1",15
"GO:0042254","BP","GO:0042254","ribosome biogenesis","27/277","296/14417",1.86559173359748e-11,3.22187692392285e-08,2.98887433530039e-08,"RSL1D1/NIFK/RPL23A/TSR1/RPF2/GNL2/ABT1/SRFBP1/RIOK2/RPL6/RPS24/RRP1/BRIX1/RPL24/UTP23/NOP53/NOP16/RPL7/RPS6/NSA2/EBNA1BP2/REXO4/RPL3/SURF6/DDX54/RRS1/LTV1",27
"GO:0006614","BP","GO:0006614","SRP-dependent cotranslational protein targeting to membrane","15/277","96/14417",3.99348885453306e-10,4.59783683451907e-07,4.26532634147321e-07,"RPL23A/RPL13A/RPL6/RPS24/RPL19/RPL13/RPL24/RPL4/RPL7/RPS6/RPL34/RPL32/RPL28/RPL29/RPL3",15
"GO:0006613","BP","GO:0006613","cotranslational protein targeting to membrane","15/277","101/14417",8.33474662333541e-10,7.06435545918554e-07,6.55346905731289e-07,"RPL23A/RPL13A/RPL6/RPS24/RPL19/RPL13/RPL24/RPL4/RPL7/RPS6/RPL34/RPL32/RPL28/RPL29/RPL3",15
"GO:0000184","BP","GO:0000184","nuclear-transcribed mRNA catabolic process, nonsense-mediated decay","16/277","119/14417",1.02263396919304e-09,7.06435545918554e-07,6.55346905731289e-07,"RPL23A/RPL13A/RPL6/HELZ2/RPS24/RPL19/RPL13/RPL24/RPL4/RPL7/RPS6/RPL34/RPL32/RPL28/RPL29/RPL3",16
"GO:0045047","BP","GO:0045047","protein targeting to ER","15/277","111/14417",3.20698002930439e-09,1.84615150353623e-06,1.71263986126361e-06,"RPL23A/RPL13A/RPL6/RPS24/RPL19/RPL13/RPL24/RPL4/RPL7/RPS6/RPL34/RPL32/RPL28/RPL29/RPL3",15
"GO:0072599","BP","GO:0072599","establishment of protein localization to endoplasmic reticulum","15/277","115/14417",5.27848296008788e-09,2.60455430630622e-06,2.41619580909887e-06,"RPL23A/RPL13A/RPL6/RPS24/RPL19/RPL13/RPL24/RPL4/RPL7/RPS6/RPL34/RPL32/RPL28/RPL29/RPL3",15
"GO:0000027","BP","GO:0000027","ribosomal large subunit assembly","8/277","25/14417",1.36786524288166e-08,5.33344387622115e-06,4.94773509256002e-06,"RPL23A/RPF2/RPL6/BRIX1/RPL24/NOP53/RPL3/RRS1",8
"GO:0070972","BP","GO:0070972","protein localization to endoplasmic reticulum","16/277","142/14417",1.38972191331761e-08,5.33344387622115e-06,4.94773509256002e-06,"RPL23A/RPL13A/RPL6/RPS24/RPL19/RPL13/RPL24/RPL4/RPL7/RPS6/RPL34/RPL32/RPL28/RPL29/RPL3/PDIA2",16
"GO:0022613","BP","GO:0022613","ribonucleoprotein complex biogenesis","28/277","433/14417",1.99216527431144e-08,6.88093885747171e-06,6.3833169421095e-06,"RSL1D1/NIFK/RPL23A/TSR1/RPF2/GNL2/ABT1/RPL13A/SRFBP1/RIOK2/RPL6/RPS24/RRP1/BRIX1/RPL24/UTP23/NOP53/NOP16/RPL7/RPS6/NSA2/EBNA1BP2/REXO4/RPL3/SURF6/DDX54/RRS1/LTV1",28
