"","ONTOLOGY","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0044282","BP","GO:0044282","small molecule catabolic process","89/509","405/14417",3.50866285328139e-46,1.25575043518941e-42,1.11021479336462e-42,"HYKK/ACAA1/HADH/INPP5J/PFKFB2/PCCB/DCXR/NUDT9/ACAD8/SLC27A4/ACADSB/PCK2/DLST/AGXT/SORD/GCDH/DBT/IVD/NT5C1A/ALDH6A1/ECHS1/BCKDHB/QDPR/PCCA/BDH1/AFMID/LDHD/ALDH7A1/SARDH/XYLB/SDSL/HPD/HAGH/CTH/PPM1K/TKFC/PRODH2/GALM/PNP/PHYH/ALDH1B1/ADHFE1/ACAT1/ALDH5A1/OXCT1/GLDC/IDNK/ECI2/HAO2/GK/AHCY/CRYL1/SHMT1/OAT/MIOX/FABP1/CYP4A11/CRAT/AASS/SLC25A44/PIPOX/ACADM/DAO/RENBP/BDH2/HIBCH/HOGA1/ENTPD5/GCAT/CYP4F2/UMOD/DPYS/ALDOB/QPRT/FTCD/GPT2/SLC27A2/CRABP1/HGD/CRYM/RIDA/GPT/ALDH1L1/AGXT2/CYP4F3/UPB1/ALDH8A1/HAO1/CYP24A1",89
"GO:0016054","BP","GO:0016054","organic acid catabolic process","70/509","249/14417",7.10088455297555e-44,1.27070329075498e-40,1.12343468243392e-40,"HYKK/ACAA1/HADH/PCCB/DCXR/ACAD8/SLC27A4/ACADSB/PCK2/DLST/AGXT/SORD/GCDH/DBT/IVD/ALDH6A1/ECHS1/BCKDHB/QDPR/PCCA/AFMID/LDHD/ALDH7A1/SARDH/XYLB/SDSL/HPD/CTH/PPM1K/PRODH2/PHYH/ADHFE1/ACAT1/ALDH5A1/GLDC/IDNK/ECI2/HAO2/AHCY/CRYL1/SHMT1/OAT/FABP1/CYP4A11/CRAT/AASS/SLC25A44/PIPOX/ACADM/DAO/RENBP/BDH2/HIBCH/HOGA1/GCAT/CYP4F2/QPRT/FTCD/GPT2/SLC27A2/CRABP1/HGD/CRYM/RIDA/GPT/ALDH1L1/AGXT2/CYP4F3/ALDH8A1/HAO1",70
"GO:0046395","BP","GO:0046395","carboxylic acid catabolic process","64/509","234/14417",2.60990743028032e-39,3.11361956432443e-36,2.75276552120093e-36,"HYKK/ACAA1/HADH/PCCB/DCXR/ACAD8/SLC27A4/PCK2/DLST/AGXT/SORD/GCDH/IVD/ALDH6A1/ECHS1/QDPR/PCCA/AFMID/LDHD/ALDH7A1/SARDH/XYLB/SDSL/HPD/PRODH2/PHYH/ADHFE1/ACAT1/ALDH5A1/GLDC/IDNK/ECI2/HAO2/AHCY/CRYL1/SHMT1/OAT/FABP1/CYP4A11/CRAT/AASS/PIPOX/ACADM/DAO/RENBP/BDH2/HIBCH/HOGA1/GCAT/CYP4F2/QPRT/FTCD/GPT2/SLC27A2/CRABP1/HGD/CRYM/RIDA/GPT/ALDH1L1/AGXT2/CYP4F3/ALDH8A1/HAO1",64
"GO:1901605","BP","GO:1901605","alpha-amino acid metabolic process","49/509","179/14417",3.08716655928544e-30,2.76224227892065e-27,2.44211123084527e-27,"HYKK/ASS1/ACADSB/DLST/AGXT/GCDH/QDPR/AFMID/ALDH7A1/SARDH/IYD/TTC36/SDSL/HPD/CTH/DPEP1/PRODH2/AGMAT/ADHFE1/ACAT1/ALDH5A1/MSRA/GLDC/AHCY/SHMT1/OAT/SLC7A7/AASS/PIPOX/DAO/PSAT1/HOGA1/GCAT/BHMT/PHGDH/GLYATL1/FTCD/GPT2/GLYAT/BHMT2/HGD/CRYM/NOX4/RIDA/GPT/AGXT2/HNF4A/ALDH8A1/CPS1",49
"GO:0006520","BP","GO:0006520","cellular amino acid metabolic process","62/509","312/14417",1.78128164214662e-29,1.27504139944855e-26,1.12727002448268e-26,"HYKK/LARS2/ACAD8/ACY1/ASS1/ACADSB/DLST/AGXT/GCDH/IVD/ALDH6A1/DIO1/QDPR/PEPD/AFMID/BPHL/ALDH7A1/SARDH/IYD/TTC36/SDSL/HPD/CTH/DPEP1/PRODH2/AGMAT/ADHFE1/ACAT1/ALDH5A1/MSRA/GLDC/AHCY/SHMT1/OAT/SLC7A7/AASS/PIPOX/DAO/PSAT1/HIBCH/HOGA1/GCAT/DPYS/BHMT/DDC/PHGDH/SLC16A2/GLYATL1/FTCD/GPT2/GLYAT/BHMT2/HGD/CRYM/NOX4/RIDA/GPT/AGXT2/HNF4A/UPB1/ALDH8A1/CPS1",62
"GO:0009063","BP","GO:0009063","cellular amino acid catabolic process","34/509","100/14417",9.59745899441128e-25,5.72488429016633e-22,5.06139679600005e-22,"HYKK/ACAD8/DLST/AGXT/GCDH/IVD/ALDH6A1/QDPR/AFMID/ALDH7A1/SARDH/SDSL/HPD/PRODH2/ADHFE1/ALDH5A1/GLDC/AHCY/SHMT1/OAT/AASS/PIPOX/DAO/HIBCH/HOGA1/GCAT/FTCD/GPT2/HGD/CRYM/RIDA/GPT/AGXT2/ALDH8A1",34
"GO:1901606","BP","GO:1901606","alpha-amino acid catabolic process","30/509","83/14417",7.19313710300303e-23,3.67774824166398e-20,3.25151430550784e-20,"HYKK/ACADSB/DLST/AGXT/GCDH/QDPR/AFMID/ALDH7A1/SARDH/SDSL/HPD/PRODH2/ADHFE1/ACAT1/GLDC/AHCY/SHMT1/OAT/AASS/PIPOX/DAO/HOGA1/GCAT/GPT2/HGD/CRYM/RIDA/GPT/AGXT2/ALDH8A1",30
"GO:0072329","BP","GO:0072329","monocarboxylic acid catabolic process","32/509","128/14417",8.28715936586654e-19,3.70746792130454e-16,3.27778961234142e-16,"ACAA1/HADH/PCCB/DCXR/SLC27A4/PCK2/AGXT/SORD/GCDH/IVD/ECHS1/PCCA/LDHD/XYLB/PHYH/ACAT1/IDNK/ECI2/HAO2/CRYL1/FABP1/CYP4A11/CRAT/ACADM/BDH2/HOGA1/CYP4F2/SLC27A2/CRABP1/AGXT2/CYP4F3/HAO1",32
"GO:0015711","BP","GO:0015711","organic anion transport","46/509","323/14417",4.56913647689702e-16,1.81699327231272e-13,1.60641219293011e-13,"SFXN2/SLC25A5/SLC26A6/SLC7A8/SLC27A4/KCNJ10/STRA6/LLGL2/CASR/SLC25A10/MPC1/SLC16A7/SLC22A13/SLC36A2/SLC3A2/PLA2R1/SFXN5/SLC13A2/SLC25A4/SLC25A29/PLA2G4F/SLC26A1/SLC7A9/SLC7A7/CYP4A11/SLC43A2/SLC2A9/CYP4F2/UMOD/SLC22A7/SLC13A3/SLC22A12/SLC16A9/SLC16A2/SLC23A1/SLC22A6/SLC25A42/SLC4A4/FOLR1/ABCC6/SLC44A4/AQP1/CA4/SLC5A12/MTTP/SLC22A11",46
"GO:0006575","BP","GO:0006575","cellular modified amino acid metabolic process","31/509","179/14417",1.61964711375828e-13,5.79671702014088e-11,5.12490444627093e-11,"ASS1/DIO1/ALDH7A1/SARDH/IYD/HAGH/CLIC5/DPEP1/GGH/GATM/CHDH/PLA2G4F/AHCY/SHMT1/CKM/CRAT/GCH1/PIPOX/ACADM/HOGA1/BHMT/CKMT1A/SLC16A10/SLC16A2/FTCD/BHMT2/CRYM/FOLR1/ALDH1L1/NAT8/GSTM5",31
