"","ONTOLOGY","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0044282","BP","GO:0044282","small molecule catabolic process","14/127","405/14417",1.31658941020613e-05,0.0242515769359968,0.022700773199133,"ACOX2/ABAT/AMT/GLYCTK/PLIN5/CYP27B1/ACOX1/ALDH4A1/PAH/ALDH2/TST/PCK1/AMDHD1/PKLR",14
"GO:1990573","BP","GO:1990573","potassium ion import across plasma membrane","5/127","42/14417",3.21103275908444e-05,0.0295736117111677,0.0276824824177911,"ATP1A1/KCNJ1/SLC12A3/WNK4/ATP1B1",5
"GO:0016054","BP","GO:0016054","organic acid catabolic process","10/127","249/14417",7.02789828866711e-05,0.0431512954924161,0.0403919206906552,"ACOX2/ABAT/AMT/PLIN5/ACOX1/ALDH4A1/PAH/TST/PCK1/AMDHD1",10
"GO:0046395","BP","GO:0046395","carboxylic acid catabolic process","9/127","234/14417",0.000225813662930413,0.103987191779455,0.0973375736526358,"ACOX2/ABAT/AMT/PLIN5/ACOX1/ALDH4A1/PAH/PCK1/AMDHD1",9
"GO:0055119","BP","GO:0055119","relaxation of cardiac muscle","3/127","16/14417",0.000343776658464899,0.126647320978469,0.118548666645369,"ATP1A1/ATP1B1/CHGA",3
"GO:0002028","BP","GO:0002028","regulation of sodium ion transport","5/127","78/14417",0.000618930426609976,0.190011640969263,0.177861059436341,"ATP1A1/WNK4/ATP1B1/FXYD4/CNTN1",5
"GO:0098659","BP","GO:0098659","inorganic cation import across plasma membrane","5/127","85/14417",0.000915716971549964,0.195237965554959,0.18275317879823,"ATP1A1/KCNJ1/SLC12A3/WNK4/ATP1B1",5
"GO:0099587","BP","GO:0099587","inorganic ion import across plasma membrane","5/127","85/14417",0.000915716971549964,0.195237965554959,0.18275317879823,"ATP1A1/KCNJ1/SLC12A3/WNK4/ATP1B1",5
"GO:0006821","BP","GO:0006821","chloride transport","5/127","86/14417",0.000965470752251736,0.195237965554959,0.18275317879823,"CLCNKA/SLC12A3/CLCNKB/WNK4/BSND",5
"GO:0007588","BP","GO:0007588","excretion","4/127","52/14417",0.00112125295870767,0.195237965554959,0.18275317879823,"CLCNKA/KCNJ1/CLCNKB/GRHPR",4
"GO:0032231","BP","GO:0032231","regulation of actin filament bundle assembly","5/127","94/14417",0.00143902303103586,0.195237965554959,0.18275317879823,"PPM1E/RAPGEF3/CGNL1/TACSTD2/VIL1",5
"GO:0032411","BP","GO:0032411","positive regulation of transporter activity","5/127","94/14417",0.00143902303103586,0.195237965554959,0.18275317879823,"HSPA2/WNK4/SGK2/RGN/ATP1B1",5
"GO:0055075","BP","GO:0055075","potassium ion homeostasis","3/127","26/14417",0.00149671600836105,0.195237965554959,0.18275317879823,"ATP1A1/SLC12A3/ATP1B1",3
"GO:0090075","BP","GO:0090075","relaxation of muscle","3/127","27/14417",0.00167303786396681,0.195237965554959,0.18275317879823,"ATP1A1/ATP1B1/CHGA",3
"GO:0098739","BP","GO:0098739","import across plasma membrane","6/127","144/14417",0.00171845864501092,0.195237965554959,0.18275317879823,"ATP1A1/SLC15A2/KCNJ1/SLC12A3/WNK4/ATP1B1",6
"GO:0051017","BP","GO:0051017","actin filament bundle assembly","6/127","145/14417",0.00177992823356843,0.195237965554959,0.18275317879823,"PPM1E/RAPGEF3/CGNL1/TACSTD2/AIF1L/VIL1",6
"GO:0009063","BP","GO:0009063","cellular amino acid catabolic process","5/127","100/14417",0.00189283706415226,0.195237965554959,0.18275317879823,"ABAT/AMT/ALDH4A1/PAH/AMDHD1",5
"GO:0061572","BP","GO:0061572","actin filament bundle organization","6/127","147/14417",0.00190786285558592,0.195237965554959,0.18275317879823,"PPM1E/RAPGEF3/CGNL1/TACSTD2/AIF1L/VIL1",6
"GO:0098657","BP","GO:0098657","import into cell","7/127","202/14417",0.00207092806217496,0.200771025817173,0.187932419160254,"ATP1A1/SLC15A2/KCNJ1/SLC12A3/WNK4/ATP1B1/RAB3B",7
"GO:0010765","BP","GO:0010765","positive regulation of sodium ion transport","3/127","33/14417",0.00300303756640595,0.22568217087615,0.211250583401985,"WNK4/ATP1B1/CNTN1",3
"GO:0071805","BP","GO:0071805","potassium ion transmembrane transport","6/127","161/14417",0.00300845472334994,0.22568217087615,0.211250583401985,"ATP1A1/KCNJ1/SLC12A3/WNK4/ATP1B1/FXYD4",6
"GO:1901021","BP","GO:1901021","positive regulation of calcium ion transmembrane transporter activity","3/127","34/14417",0.00327265078374887,0.22568217087615,0.211250583401985,"HSPA2/RGN/ATP1B1",3
