"","ONTOLOGY","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0051607","BP","GO:0051607","defense response to virus","21/243","222/14417",1.67335460027987e-10,1.75383795091928e-07,1.43775880013823e-07,"TLR3/APOBEC3G/TLR8/TRIM22/BIRC3/BST2/SAMHD1/DTX3L/DDX60/CXCL9/IFIH1/PARP9/OASL/ISG15/RNF125/TNFAIP3/GBP1/IFITM3/IFIT2/IFIT3/MX1",21
"GO:0140546","BP","GO:0140546","defense response to symbiont","21/243","222/14417",1.67335460027987e-10,1.75383795091928e-07,1.43775880013823e-07,"TLR3/APOBEC3G/TLR8/TRIM22/BIRC3/BST2/SAMHD1/DTX3L/DDX60/CXCL9/IFIH1/PARP9/OASL/ISG15/RNF125/TNFAIP3/GBP1/IFITM3/IFIT2/IFIT3/MX1",21
"GO:0002683","BP","GO:0002683","negative regulation of immune system process","26/243","348/14417",2.00427511293076e-10,1.75383795091928e-07,1.43775880013823e-07,"TLR3/IDO1/VSIR/HLA-G/PARP14/LYAR/MILR1/BST2/TRIM21/HLA-DRB1/SAMHD1/CD74/RUNX3/LOXL3/LYN/GPNMB/TGFB1/RNF125/TNFAIP3/GBP1/FCGR2B/MAFB/CD274/CEBPB/LRRC17/COL3A1",26
"GO:0030198","BP","GO:0030198","extracellular matrix organization","26/243","352/14417",2.57091648262518e-10,1.75383795091928e-07,1.43775880013823e-07,"LAMA4/COLGALT1/ITGA4/PECAM1/HAPLN1/ITGA5/ITGAM/ITGAX/COL5A3/ETS1/OLFML2A/ITGAL/LOXL3/COL5A2/ACAN/TGFB1/SH3PXD2B/FSCN1/SERPINH1/MMP9/RAMP2/SERPINE1/COL1A2/COL3A1/FBLN2/ADAMTS4",26
"GO:0043062","BP","GO:0043062","extracellular structure organization","26/243","353/14417",2.73447077026571e-10,1.75383795091928e-07,1.43775880013823e-07,"LAMA4/COLGALT1/ITGA4/PECAM1/HAPLN1/ITGA5/ITGAM/ITGAX/COL5A3/ETS1/OLFML2A/ITGAL/LOXL3/COL5A2/ACAN/TGFB1/SH3PXD2B/FSCN1/SERPINH1/MMP9/RAMP2/SERPINE1/COL1A2/COL3A1/FBLN2/ADAMTS4",26
"GO:0045229","BP","GO:0045229","external encapsulating structure organization","26/243","355/14417",3.09137124133833e-10,1.75383795091928e-07,1.43775880013823e-07,"LAMA4/COLGALT1/ITGA4/PECAM1/HAPLN1/ITGA5/ITGAM/ITGAX/COL5A3/ETS1/OLFML2A/ITGAL/LOXL3/COL5A2/ACAN/TGFB1/SH3PXD2B/FSCN1/SERPINH1/MMP9/RAMP2/SERPINE1/COL1A2/COL3A1/FBLN2/ADAMTS4",26
"GO:0009615","BP","GO:0009615","response to virus","23/243","308/14417",2.38716182338351e-09,1.02289983562067e-06,8.38551383582906e-07,"TLR3/APOBEC3G/TLR8/TRIM22/BIRC3/BST2/SAMHD1/DTX3L/DDX60/IFI44/CXCL9/IFIH1/PARP9/OASL/ISG15/RNF125/TNFAIP3/GBP1/ENO1/IFITM3/IFIT2/IFIT3/MX1",23
"GO:0050727","BP","GO:0050727","regulation of inflammatory response","22/243","282/14417",2.40399491332708e-09,1.02289983562067e-06,8.38551383582906e-07,"TLR3/IDO1/PLA2G7/GPSM3/HCK/BIRC3/HLA-DRB1/ETS1/TLR2/ALOX5/TRADD/LYN/CALCRL/TNFAIP3/LACC1/FCGR2B/LRRK2/TNFRSF11A/MMP9/CEBPB/SERPINE1/C1QTNF3",22
"GO:0070661","BP","GO:0070661","leukocyte proliferation","21/243","268/14417",5.21782394124056e-09,1.97349696622032e-06,1.61783055768757e-06,"CD70/IDO1/BTN3A1/VSIR/HLA-G/CD4/BST2/HLA-DRB1/CD74/MEF2C/TCIRG1/LYN/PSMB10/GPNMB/CARD11/TNFAIP3/FCGR2B/CD38/CD274/CEBPB/CDKN1A",21
"GO:0045765","BP","GO:0045765","regulation of angiogenesis","20/243","251/14417",9.23077963639893e-09,3.1421573882302e-06,2.57587334906248e-06,"TLR3/ANGPT2/FLT1/PGF/ADM/HLA-G/CYBB/ITGA5/ITGAX/PGK1/ETS1/ALOX5/GPNMB/TNFAIP3/ECSCR/PRKCB/ENPP2/RAMP2/SERPINE1/THBS2",20
"GO:1901342","BP","GO:1901342","regulation of vasculature development","20/243","254/14417",1.1299353298479e-08,3.49663623891114e-06,2.86646752098257e-06,"TLR3/ANGPT2/FLT1/PGF/ADM/HLA-G/CYBB/ITGA5/ITGAX/PGK1/ETS1/ALOX5/GPNMB/TNFAIP3/ECSCR/PRKCB/ENPP2/RAMP2/SERPINE1/THBS2",20
"GO:0007159","BP","GO:0007159","leukocyte cell-cell adhesion","22/243","322/14417",2.72496789365396e-08,7.36616887228845e-06,6.03862752193601e-06,"CD70/IDO1/ITGA4/PECAM1/VSIR/HLA-G/CD4/ITGA5/HLA-DRB1/ETS1/ALOX5/CD74/RUNX3/ITGAL/LOXL3/LYN/LCK/GPNMB/CARD11/FCGR2B/CD274/CEBPB",22
"GO:0070663","BP","GO:0070663","regulation of leukocyte proliferation","18/243","217/14417",2.81316672560957e-08,7.36616887228845e-06,6.03862752193601e-06,"CD70/IDO1/VSIR/HLA-G/CD4/BST2/HLA-DRB1/CD74/MEF2C/LYN/GPNMB/CARD11/TNFAIP3/FCGR2B/CD38/CD274/CEBPB/CDKN1A",18
"GO:0034341","BP","GO:0034341","response to interferon-gamma","16/243","179/14417",6.00437709202114e-08,1.38230170781025e-05,1.13318134312727e-05,"TLR3/HLA-G/TRIM22/HCK/PARP14/FCGR1A/BST2/TRIM21/HLA-DRB1/TLR2/GBP5/CD74/PARP9/OASL/GBP1/IFITM3",16
"GO:0002250","BP","GO:0002250","adaptive immune response","23/243","366/14417",6.09122374181953e-08,1.38230170781025e-05,1.13318134312727e-05,"CD70/BTN3A1/TAP1/HLA-G/TLR8/CD4/HLA-DRB1/CD247/CD74/MEF2C/TAP2/TCIRG1/LOXL3/LYN/TGFB1/RNF125/TNFAIP3/IL4I1/FCGR2B/TNFRSF11A/CD274/PRKCB/ERAP2",23
