"","ONTOLOGY","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0051783","BP","GO:0051783","regulation of nuclear division","26/698","117/14417",4.55902723919525e-11,1.99457441714792e-07,1.82217120286572e-07,"NUSAP1/KNTC1/DLGAP5/TGFA/NDC80/BUB1/PKMYT1/NEK2/RGCC/AURKB/CDC25C/BUB1B/HORMAD1/KIF20B/DUSP1/EDN1/BORA/MAD2L1/CDT1/MSX1/STRA8/AURKA/CCNB1/ZWINT/HOXA13/OOEP",26
"GO:0007088","BP","GO:0007088","regulation of mitotic nuclear division","22/698","98/14417",1.15986075891707e-09,2.53719541013108e-06,2.3178901587411e-06,"NUSAP1/KNTC1/DLGAP5/TGFA/NDC80/BUB1/PKMYT1/NEK2/RGCC/AURKB/CDC25C/BUB1B/KIF20B/DUSP1/EDN1/BORA/MAD2L1/CDT1/AURKA/CCNB1/ZWINT/HOXA13",22
"GO:0048285","BP","GO:0048285","organelle fission","51/698","427/14417",2.12159226231021e-09,3.01274097114345e-06,2.75233142073544e-06,"BRCA2/NUSAP1/CENPK/KNTC1/TMCC1/DLGAP5/KIF14/TGFA/KIF4A/NDC80/CENPE/BUB1/BRIP1/PKMYT1/KIF18B/NEK2/RGCC/AURKB/MYBL2/CDC25C/NUF2/BUB1B/KIF2C/KIF11/EME1/HORMAD1/FIGNL1/KIF20B/DUSP1/RAD51/EDN1/CDCA8/REEP4/BORA/KDR/MAD2L1/CDT1/BNIP3/MSX1/SGO2/STRA8/CCNB2/RAD54B/AURKA/CCNB1/MTFR2/ZWINT/HOXA13/SMC1B/MEIKIN/OOEP",51
"GO:0000280","BP","GO:0000280","nuclear division","47/698","379/14417",2.75450603075973e-09,3.01274097114345e-06,2.75233142073544e-06,"BRCA2/NUSAP1/CENPK/KNTC1/DLGAP5/KIF14/TGFA/KIF4A/NDC80/CENPE/BUB1/BRIP1/PKMYT1/KIF18B/NEK2/RGCC/AURKB/MYBL2/CDC25C/NUF2/BUB1B/KIF2C/KIF11/EME1/HORMAD1/FIGNL1/KIF20B/DUSP1/RAD51/EDN1/CDCA8/REEP4/BORA/MAD2L1/CDT1/MSX1/SGO2/STRA8/CCNB2/RAD54B/AURKA/CCNB1/ZWINT/HOXA13/SMC1B/MEIKIN/OOEP",47
"GO:0140014","BP","GO:0140014","mitotic nuclear division","36/698","275/14417",5.17185883640041e-08,4.52537648185036e-05,4.1342206319605e-05,"NUSAP1/CENPK/KNTC1/DLGAP5/KIF14/TGFA/KIF4A/NDC80/CENPE/BUB1/PKMYT1/KIF18B/NEK2/RGCC/AURKB/MYBL2/CDC25C/NUF2/BUB1B/KIF2C/KIF11/KIF20B/DUSP1/EDN1/CDCA8/REEP4/BORA/MAD2L1/CDT1/SGO2/CCNB2/AURKA/CCNB1/ZWINT/HOXA13/SMC1B",36
"GO:0000075","BP","GO:0000075","cell cycle checkpoint","29/698","195/14417",6.55540112572833e-08,4.77997998751024e-05,4.36681720603341e-05,"DTL/CLSPN/KNTC1/BAX/RPA4/WDR76/SOX11/NDC80/E2F8/BUB1/CDC45/BRIP1/BLM/RGCC/AURKB/CDC25C/BUB1B/GTSE1/EME1/HORMAD1/DUSP1/TICRR/MAD2L1/CDT1/ZNF385A/AURKA/CCNB1/ZWINT/ORC1",29
"GO:0001708","BP","GO:0001708","cell fate specification","15/698","60/14417",1.12663301136784e-07,7.04145632104901e-05,6.43282036716345e-05,"EOMES/TBX15/TBX21/SIX1/TBX19/MIAT/HOXA13/POU4F1/MNX1/WNT3A/TBX5/FOXA2/GSC/TBX18/SFRP2",15
"GO:0007156","BP","GO:0007156","homophilic cell adhesion via plasma membrane adhesion molecules","23/698","150/14417",8.65604478951261e-07,0.000473377449426471,0.000432460553497097,"PCDH17/CDH8/PCDHGC3/PTPRM/EMB/PCDHB12/PCDHGA11/PCDHGA1/PCDHGB2/PCDHB18P/PCDHGA5/PCDHGB7/PCDHB11/PCDHGB3/PCDHGA6/PCDHB15/PCDHB2/PCDHB16/PCDHB6/PCDHGA8/PCDHGA7/PCDHGB1/PCDHGA4",23
"GO:0000070","BP","GO:0000070","mitotic sister chromatid segregation","23/698","157/14417",1.95040961770256e-06,0.000913133295511412,0.000834205623592621,"NUSAP1/CENPK/KNTC1/DLGAP5/KIF14/KIF4A/NDC80/CENPE/BUB1/KIF18B/NEK2/AURKB/NUF2/BUB1B/KIF2C/DUSP1/CDCA8/MAD2L1/CDT1/SGO2/CCNB1/ZWINT/SMC1B",23
"GO:0000819","BP","GO:0000819","sister chromatid segregation","25/698","182/14417",2.36157376595918e-06,0.000913133295511412,0.000834205623592621,"NUSAP1/CENPK/KNTC1/DLGAP5/KIF14/KIF4A/NDC80/CENPE/BUB1/KIF18B/NEK2/AURKB/NUF2/BUB1B/KIF2C/HORMAD1/DUSP1/CDCA8/MAD2L1/CDT1/SGO2/CCNB1/ZWINT/SMC1B/MEIKIN",25
