"","ONTOLOGY","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0035725","BP","GO:0035725","sodium ion transmembrane transport","27/817","139/14417",1.47796938142815e-08,6.47498386003671e-05,6.07678779353509e-05,"SLC24A2/SLC9A2/NOS1/TPCN1/SCN2A/WNK1/SCN7A/SLC9A4/WNK3/ATP12A/SCNN1B/PTPN3/SCN3A/SHROOM2/SLC4A8/SCNN1G/SCN11A/HCN2/SLC17A1/CACNA1H/SLC6A16/PCSK9/SCN8A/SLC9C1/WNK2/SLC6A18/SLC6A20",27
"GO:0034765","BP","GO:0034765","regulation of ion transmembrane transport","55/817","447/14417",4.33118736684995e-08,8.67769719371065e-05,8.14403950999743e-05,"CACNA2D2/NPSR1/PLCG2/GNB5/KCNQ1/DPP6/LRRC52/KCNG3/NOS1/TPCN1/SCN2A/CBARP/WNK1/SCN7A/ITLN1/GPR89B/STIMATE/WNK3/KCNK5/KCNG2/CACNA2D3/PTPN3/SCN3A/KCNH6/RASGRF1/KCNH3/DLG2/CAPN3/KCNK13/STRIT1/PM20D1/KCNC3/CA2/SCN11A/PIRT/KCNJ9/HCN2/KCNJ11/CACNA1S/TRPM5/KCNB2/CACNA1H/TRDN/ARC/KLF15/PCSK9/BDKRB1/SCN8A/GRIA3/WNK2/CACNA1E/KCNJ6/ADIPOQ/STAC2/LACRT",55
"GO:0034762","BP","GO:0034762","regulation of transmembrane transport","55/817","452/14417",6.33270984401881e-08,8.67769719371065e-05,8.14403950999743e-05,"CACNA2D2/NPSR1/PLCG2/GNB5/KCNQ1/DPP6/LRRC52/KCNG3/NOS1/TPCN1/SCN2A/CBARP/WNK1/SCN7A/ITLN1/GPR89B/STIMATE/WNK3/KCNK5/KCNG2/CACNA2D3/PTPN3/SCN3A/KCNH6/RASGRF1/KCNH3/DLG2/CAPN3/KCNK13/STRIT1/PM20D1/KCNC3/CA2/SCN11A/PIRT/KCNJ9/HCN2/KCNJ11/CACNA1S/TRPM5/KCNB2/CACNA1H/TRDN/ARC/KLF15/PCSK9/BDKRB1/SCN8A/GRIA3/WNK2/CACNA1E/KCNJ6/ADIPOQ/STAC2/LACRT",55
"GO:0007600","BP","GO:0007600","sensory perception","56/817","467/14417",7.92302870916289e-08,8.67769719371065e-05,8.14403950999743e-05,"ACP3/ADGRV1/SLC26A4/KCNQ1/SLC24A2/PCARE/RORB/ZFHX2/HOMER2/RDH8/TECTA/SCNN1B/CDH3/LRIT3/TRPV1/SLC52A3/SOBP/SCNN1G/AZGP1/CNGA1/NMUR2/RP1/OTOGL/OR5P2/TFAP2A/CHRNA4/RAB3A/TULP1/GJA3/SCN11A/TRPM5/KIT/OR13D1/RTP3/GUCA1C/UGT2A1/CXCL12/PAX2/SNAI2/OR2A5/OR2T11/OR2A25/OR2A12/BDKRB1/HTR2A/GABRB2/OR2G6/HOXD1/LUM/OR2T34/OR2T10/OR2T3/OR2T29/OXT/OR2T5/IAPP",56
"GO:0006813","BP","GO:0006813","potassium ion transport","27/817","178/14417",2.65039386036053e-06,0.0023222751004479,0.00217946071969857,"KCNQ1/DPP6/SLC24A2/LRRC52/KCNG3/SLC9A2/NOS1/WNK1/SLC9A4/WNK3/ATP12A/KCNK5/KCNG2/KCNH6/KCNH3/KCNK13/KCNC3/KCNJ9/HCN2/KCNJ11/ABCC8/KCNMB2/KCNB2/HTR2A/SLC9C1/WNK2/KCNJ6",27
"GO:0008202","BP","GO:0008202","steroid metabolic process","36/817","281/14417",3.79300431360074e-06,0.00251802066211829,0.00236316839612057,"CEL/SCAP/CGA/TM7SF2/PRLR/VDR/RDH8/HSD3B1/ACACB/CYP2E1/CYP2B6/MALRD1/CAT/G6PC1/PROX1/CYP3A7/CYP3A4/SOAT2/UGT1A4/PDGFRA/KIT/HSD3B2/LDLR/UGT1A7/UGT2A1/CACNA1H/SNAI2/BMP6/UGT1A1/APOF/SULT1A2/PCSK9/BMP5/SLC22A24/DGAT2/CYP11A1",36
"GO:0071805","BP","GO:0071805","potassium ion transmembrane transport","25/817","161/14417",4.02331536973933e-06,0.00251802066211829,0.00236316839612057,"KCNQ1/DPP6/SLC24A2/LRRC52/KCNG3/SLC9A2/WNK1/SLC9A4/WNK3/ATP12A/KCNK5/KCNG2/KCNH6/KCNH3/KCNK13/KCNC3/KCNJ9/HCN2/KCNJ11/ABCC8/KCNMB2/KCNB2/SLC9C1/WNK2/KCNJ6",25
"GO:0006814","BP","GO:0006814","sodium ion transport","28/817","197/14417",6.32765689613707e-06,0.00346518310774706,0.00325208261004097,"SLC24A2/SLC9A2/NOS1/TPCN1/SCN2A/WNK1/SCN7A/SLC9A4/WNK3/ATP12A/SCNN1B/PTPN3/SCN3A/SHROOM2/SLC4A8/SCNN1G/SCN11A/HCN2/SLC17A1/SLC10A5/CACNA1H/SLC6A16/PCSK9/SCN8A/SLC9C1/WNK2/SLC6A18/SLC6A20",28
"GO:0030001","BP","GO:0030001","metal ion transport","45/817","404/14417",1.08257931403478e-05,0.00526975552754042,0.00494567812937995,"CACNA2D2/NPSR1/PLCG2/GNB5/TRPV5/KCNQ1/SLC24A2/NIPAL1/NOS1/TPCN1/CBARP/PLPP4/SLC39A4/STIMATE/WNK3/ATP12A/KCNK5/HOMER2/SLC25A25/TRPC7/CACNA2D3/PLCZ1/SLC30A8/TRPV1/CAPN3/STRIT1/NMUR2/CHRNA4/CACNA1S/TRPM5/NCS1/GRAMD2A/CXCL12/CACNA1H/ATP2B3/CAMK2B/TRDN/BDKRB1/HTR2A/CACNA1E/FAM155B/EPPIN/CCL19/STAC2/LACRT",45
"GO:0006816","BP","GO:0006816","calcium ion transport","39/817","335/14417",1.52038895523638e-05,0.00666082401289056,0.00625119922016135,"CACNA2D2/NPSR1/PLCG2/GNB5/TRPV5/SLC24A2/NOS1/TPCN1/CBARP/PLPP4/STIMATE/WNK3/HOMER2/SLC25A25/TRPC7/CACNA2D3/PLCZ1/TRPV1/CAPN3/STRIT1/NMUR2/CHRNA4/CACNA1S/TRPM5/NCS1/GRAMD2A/CXCL12/CACNA1H/ATP2B3/CAMK2B/TRDN/BDKRB1/HTR2A/CACNA1E/FAM155B/EPPIN/CCL19/STAC2/LACRT",39
