"","ONTOLOGY","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0050865","BP","GO:0050865","regulation of cell activation","69/412","362/10313",9.110907307583e-29,3.49858840611187e-25,2.72751793502801e-25,"TREM2/ENPP3/PAG1/SLC15A4/CAV1/TYROBP/LAPTM5/CD300A/CGAS/LILRB4/CD40/BTK/HLA-F/LGALS1/CD84/FCER1G/HLA-DPB1/NCKAP1L/LGALS9/SASH3/RASAL3/HLA-DRA/HLA-DPA1/MNDA/ITGB2/MMP14/HLA-DMB/CCDC88B/INPP5D/HLA-E/VAV1/HLA-A/PLEK/PTPRC/CCL5/TNFAIP8L2/CORO1A/PYCARD/AHR/SIRPA/JAK3/CD276/RAC2/PTPN6/CD2/HMOX1/ADA/ANXA1/AIF1/SAMSN1/LILRB2/UNC13D/PRAM1/VSIG4/LGALS3/ZAP70/SPTA1/VCAM1/GRAP2/TBC1D10C/CD3E/RUNX1/ADGRE2/HAVCR1/UBASH3B/NFATC2/HHLA2/HAVCR2/MZB1",69
"GO:0002694","BP","GO:0002694","regulation of leukocyte activation","66/412","337/10313",3.11562592859823e-28,5.22564529874773e-25,4.07394057830004e-25,"TREM2/ENPP3/PAG1/SLC15A4/CAV1/TYROBP/LAPTM5/CD300A/CGAS/LILRB4/CD40/BTK/HLA-F/LGALS1/CD84/HLA-DPB1/NCKAP1L/LGALS9/SASH3/RASAL3/HLA-DRA/HLA-DPA1/MNDA/ITGB2/MMP14/HLA-DMB/CCDC88B/INPP5D/HLA-E/VAV1/HLA-A/PTPRC/CCL5/TNFAIP8L2/CORO1A/PYCARD/AHR/SIRPA/JAK3/CD276/RAC2/PTPN6/CD2/HMOX1/ADA/ANXA1/AIF1/SAMSN1/LILRB2/UNC13D/PRAM1/VSIG4/LGALS3/ZAP70/SPTA1/VCAM1/GRAP2/TBC1D10C/CD3E/RUNX1/ADGRE2/HAVCR1/NFATC2/HHLA2/HAVCR2/MZB1",66
"GO:0046649","BP","GO:0046649","lymphocyte activation","75/412","438/10313",4.08253538964667e-28,5.22564529874773e-25,4.07394057830004e-25,"PAG1/SLC15A4/CAV1/TYROBP/LAPTM5/CD300A/CGAS/LILRB4/CD40/BTK/HLA-F/LGALS1/FCER1G/HLA-DPB1/NCKAP1L/LGALS9/SASH3/DOCK2/RASAL3/HLA-DRA/PRF1/HLA-DPA1/DOCK10/MNDA/ITGB2/MMP14/HLA-DMB/CCDC88B/INPP5D/HLA-E/B2M/VAV1/SPI1/HLA-A/LCP1/PIK3CG/PTPRC/CCL5/TNFAIP8L2/CORO1A/PYCARD/CD180/AHR/SIRPA/JAK3/CD276/RAC2/PTPN6/WAS/IKZF1/CD2/ADA/ANXA1/CD8A/AIF1/CD3G/ICAM1/SAMSN1/LILRB2/THEMIS/UNC13D/VSIG4/LGALS3/ZAP70/SPTA1/VCAM1/GRAP2/TBC1D10C/CD3E/RUNX1/NFATC2/HHLA2/HAVCR2/CD44/MZB1",75
"GO:0051249","BP","GO:0051249","regulation of lymphocyte activation","57/412","280/10313",2.6519398322073e-25,2.54586223891901e-22,1.9847676007362e-22,"PAG1/SLC15A4/CAV1/TYROBP/LAPTM5/CD300A/CGAS/LILRB4/CD40/BTK/HLA-F/LGALS1/HLA-DPB1/NCKAP1L/LGALS9/SASH3/RASAL3/HLA-DRA/HLA-DPA1/MNDA/MMP14/HLA-DMB/CCDC88B/INPP5D/HLA-E/VAV1/HLA-A/PTPRC/CCL5/TNFAIP8L2/CORO1A/PYCARD/AHR/SIRPA/JAK3/CD276/RAC2/PTPN6/CD2/ADA/ANXA1/AIF1/SAMSN1/LILRB2/VSIG4/LGALS3/ZAP70/SPTA1/VCAM1/GRAP2/TBC1D10C/CD3E/RUNX1/NFATC2/HHLA2/HAVCR2/MZB1",57
"GO:0070663","BP","GO:0070663","regulation of leukocyte proliferation","42/412","149/10313",1.07982463082298e-24,8.29305316472047e-22,6.46530789486431e-22,"ENPP3/TYROBP/CD300A/LILRB4/CD40/BTK/HLA-DPB1/NCKAP1L/LGALS9/SASH3/RASAL3/HLA-DPA1/MNDA/HLA-DMB/CCDC88B/INPP5D/HLA-E/HLA-A/PTPRC/CCL5/CORO1A/PYCARD/AHR/JAK3/CD276/RAC2/PTPN6/CSF1R/ADA/ANXA1/AIF1/LILRB2/VSIG4/LGALS3/ZAP70/SPTA1/VCAM1/CD3E/NFATC2/HHLA2/HAVCR2/MZB1",42
"GO:0007159","BP","GO:0007159","leukocyte cell-cell adhesion","51/412","231/10313",2.10352651751585e-24,1.34625697121014e-21,1.04954902031843e-21,"PAG1/CAV1/LAPTM5/CD300A/LILRB4/LGALS1/HLA-DPB1/NCKAP1L/LGALS9/SASH3/RASAL3/HLA-DRA/HLA-DPA1/ITGB2/HLA-DMB/CCDC88B/HLA-E/STK10/VAV1/FERMT3/HLA-A/PTPRC/CCL5/TNFAIP8L2/CORO1A/PYCARD/SIRPA/JAK3/CD276/RAC2/PTPN6/ADA/ANXA1/AIF1/ADD2/TNIP1/ICAM1/LILRB2/VSIG4/LGALS3/ZAP70/SPTA1/VCAM1/GRAP2/CD3E/RUNX1/HHLA2/S100A9/S100A8/HAVCR2/CD44",51
"GO:0050670","BP","GO:0050670","regulation of lymphocyte proliferation","40/412","136/10313",2.47809463330072e-24,1.35941191312496e-21,1.05980468227176e-21,"TYROBP/CD300A/LILRB4/CD40/BTK/HLA-DPB1/NCKAP1L/LGALS9/SASH3/RASAL3/HLA-DPA1/MNDA/HLA-DMB/CCDC88B/INPP5D/HLA-E/HLA-A/PTPRC/CCL5/CORO1A/PYCARD/AHR/JAK3/CD276/RAC2/PTPN6/ADA/ANXA1/AIF1/LILRB2/VSIG4/LGALS3/ZAP70/SPTA1/VCAM1/CD3E/NFATC2/HHLA2/HAVCR2/MZB1",40
"GO:0032944","BP","GO:0032944","regulation of mononuclear cell proliferation","40/412","138/10313",4.58415651116845e-24,2.20039512536086e-21,1.7154396207583e-21,"TYROBP/CD300A/LILRB4/CD40/BTK/HLA-DPB1/NCKAP1L/LGALS9/SASH3/RASAL3/HLA-DPA1/MNDA/HLA-DMB/CCDC88B/INPP5D/HLA-E/HLA-A/PTPRC/CCL5/CORO1A/PYCARD/AHR/JAK3/CD276/RAC2/PTPN6/ADA/ANXA1/AIF1/LILRB2/VSIG4/LGALS3/ZAP70/SPTA1/VCAM1/CD3E/NFATC2/HHLA2/HAVCR2/MZB1",40
"GO:0070661","BP","GO:0070661","leukocyte proliferation","46/412","191/10313",8.93698336726855e-24,3.81311290336792e-21,2.97272288848091e-21,"TREM2/ENPP3/TYROBP/CD300A/LILRB4/CD40/BTK/HLA-DPB1/NCKAP1L/LGALS9/SASH3/DOCK2/RASAL3/HLA-DPA1/MNDA/HLA-DMB/CCDC88B/INPP5D/HLA-E/HLA-A/PIK3CG/PTPRC/CCL5/CORO1A/PYCARD/CD180/AHR/JAK3/CD276/RAC2/PTPN6/CSF1R/ADA/ANXA1/AIF1/LILRB2/VSIG4/LGALS3/ZAP70/SPTA1/VCAM1/CD3E/NFATC2/HHLA2/HAVCR2/MZB1",46
"GO:0046651","BP","GO:0046651","lymphocyte proliferation","43/412","169/10313",2.66313437154782e-23,1.02264359867436e-20,7.97258331861263e-21,"TYROBP/CD300A/LILRB4/CD40/BTK/HLA-DPB1/NCKAP1L/LGALS9/SASH3/DOCK2/RASAL3/HLA-DPA1/MNDA/HLA-DMB/CCDC88B/INPP5D/HLA-E/HLA-A/PIK3CG/PTPRC/CCL5/CORO1A/PYCARD/CD180/AHR/JAK3/CD276/RAC2/PTPN6/ADA/ANXA1/AIF1/LILRB2/VSIG4/LGALS3/ZAP70/SPTA1/VCAM1/CD3E/NFATC2/HHLA2/HAVCR2/MZB1",43
