"","ONTOLOGY","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0006959","BP","GO:0006959","humoral immune response","33/361","146/10313",3.60108985378709e-18,1.32700161112054e-14,1.151969691122e-14,"C1QA/C1QB/RPL39/C3/RNASE6/EBI3/CD5L/RNASE3/F2/BCL2/CFP/TREM1/C1S/CD28/TF/SPINK5/MASP1/CXCL8/CFB/C1R/PI3/CFD/PRTN3/CAMP/C2/KRT6A/REG1A/FCN3/PF4/PPBP/FGB/C6/ELANE",33
"GO:0042742","BP","GO:0042742","defense response to bacterium","24/361","127/10313",9.7665966576475e-12,1.79949543417155e-08,1.56214143382057e-08,"RPL39/SHC1/SPN/RNASE6/IRF8/MR1/HAMP/STAB1/CCL20/RNASE3/GSDMA/F2/CFP/TF/NR1H4/PRG2/SPINK5/PI3/CAMP/KRT6A/PPBP/LBP/FGB/ELANE",24
"GO:0002250","BP","GO:0002250","adaptive immune response","34/361","257/10313",1.73817374227151e-11,2.10420134471651e-08,1.82665654119645e-08,"C1QA/C1QB/LILRB1/LAT2/CD86/PKN1/C3/IL17RA/TNFSF13B/SPN/EBI3/FYN/SIT1/CD7/CD8B/MR1/CD3D/SLAMF6/IRF7/GZMM/CD6/CD27/IRF1/LAX1/C1S/CD28/LILRB5/C1R/C2/CD209/LEF1/CD79A/FGB/C6",34
"GO:0009617","BP","GO:0009617","response to bacterium","41/361","363/10313",2.2840720159745e-11,2.10420134471651e-08,1.82665654119645e-08,"LILRB1/RPL39/CD86/SHC1/C3/LILRA2/SPN/NLRC5/RNASE6/LY96/PTAFR/CHIT1/CD14/IRF8/MR1/SERPINB9/TSPO/CD6/IKZF3/HAMP/STAB1/CCL20/RNASE3/GSDMA/F2/APOB/CFP/TF/NR1H4/PRG2/SPINK5/CXCL8/LRG1/PI3/CAMP/KRT6A/PF4/PPBP/LBP/FGB/ELANE",41
"GO:0019730","BP","GO:0019730","antimicrobial humoral response","16/361","63/10313",2.98453997859004e-10,2.19960596422086e-07,1.9094772620916e-07,"RPL39/RNASE6/RNASE3/F2/TF/SPINK5/CXCL8/PI3/PRTN3/CAMP/KRT6A/REG1A/PF4/PPBP/FGB/ELANE",16
"GO:0007186","BP","GO:0007186","G protein-coupled receptor signaling pathway","37/361","333/10313",3.72048984412632e-10,2.28500084593425e-07,1.98360853268419e-07,"ABCA1/ARRB2/C3/CCL18/PIK3R6/CCRL2/FGD2/DGKD/ATP2B4/ARHGEF6/PTAFR/P2RY13/GNGT2/ADCY3/S1PR1/GNG2/GNA15/CCL20/FPR1/RAPGEF4/P2RY12/TMOD2/FZD1/F2/MARCO/DGKA/ADGRA2/LRP1/SAA1/PLCB4/CPE/ANO1/AVPR1B/GNGT1/CXCL8/PF4/PPBP",37
"GO:0061844","BP","GO:0061844","antimicrobial humoral immune response mediated by antimicrobial peptide","12/361","33/10313",5.15859392938654e-10,2.71563123282706e-07,2.35743863930913e-07,"RPL39/RNASE6/RNASE3/F2/SPINK5/CXCL8/CAMP/KRT6A/REG1A/PF4/PPBP/ELANE",12
"GO:0050778","BP","GO:0050778","positive regulation of immune response","44/361","466/10313",1.4411726729569e-09,6.63840162480774e-07,5.76279441199477e-07,"C1QA/C1QB/LILRB1/LAT2/CD86/C3/FCGR2A/LILRA2/TNFSF13B/NLRC5/PTAFR/ARPC1B/PYHIN1/FYN/MR1/CD3D/SLAMF6/IRF7/CD5L/FPR1/ICAM2/LAX1/RBCK1/F2/BCL2/KCNN4/MYB/CFP/C1S/CD28/IKBKE/ADAM8/MASP1/CFB/C1R/CFD/CD22/C2/CD209/FCN3/LBP/CD79A/C6/ELANE",44
"GO:0001817","BP","GO:0001817","regulation of cytokine production","43/361","467/10313",4.85392020327785e-09,1.81486840897744e-06,1.57548670852887e-06,"LILRB1/CD86/ARRB2/C3/LILRA2/IL17RA/SPN/PLD4/NLRC5/CD33/IFNGR1/EBI3/LY96/PTAFR/BRCA1/PYHIN1/CD14/IRF8/MEFV/SLAMF6/TSPO/IRF7/CD6/CD200R1/IL1RAP/SRGN/CD34/IRF1/SULF1/F2/LRP1/MYB/SAA1/CD28/NR1H4/IKBKE/ADAM8/MDK/INHBA/PF4/LEF1/LBP/ELANE",43
"GO:0006956","BP","GO:0006956","complement activation","14/361","56/10313",4.92501603521694e-09,1.81486840897744e-06,1.57548670852887e-06,"C1QA/C1QB/C3/CD5L/F2/CFP/C1S/MASP1/CFB/C1R/CFD/C2/FCN3/C6",14
"GO:0001906","BP","GO:0001906","cell killing","18/361","102/10313",1.25912106996451e-08,4.03553203417366e-06,3.50324411964686e-06,"LILRB1/ARRB2/C3/PIK3R6/TUBB/GZMB/MR1/SLAMF6/SERPINB9/GZMM/APOL1/HAMP/CD5L/F2/CAMP/KRT6A/PF4/ELANE",18
"GO:0050865","BP","GO:0050865","regulation of cell activation","36/361","362/10313",1.31414883066714e-08,4.03553203417366e-06,3.50324411964686e-06,"CD300LF/ATM/LILRB1/CD86/PKN1/LILRA2/PIK3R6/TNFSF13B/SPN/CST7/CD33/EBI3/PTAFR/FYN/SIT1/CD6/RHOH/IKZF3/HAMP/CD27/CD5/IRF1/LAX1/F2/MAP3K8/BCL2/MYB/CD28/SPINK5/ADAM8/MDK/INHBA/CD22/CD209/LEF1/LBP",36
"GO:0002694","BP","GO:0002694","regulation of leukocyte activation","34/361","337/10313",2.38441204304899e-08,6.75889106048888e-06,5.86739125411003e-06,"CD300LF/ATM/LILRB1/CD86/PKN1/PIK3R6/TNFSF13B/SPN/CST7/CD33/EBI3/PTAFR/FYN/SIT1/CD6/RHOH/IKZF3/HAMP/CD27/CD5/IRF1/LAX1/MAP3K8/BCL2/MYB/CD28/SPINK5/ADAM8/MDK/INHBA/CD22/CD209/LEF1/LBP",34
"GO:0002521","BP","GO:0002521","leukocyte differentiation","33/361","328/10313",4.14939589919907e-08,1.09218027775347e-05,9.48121363734283e-06,"ATM/LILRB1/CD86/PIK3R6/OSCAR/SPN/JAG2/EZH2/IRF8/MR1/CD3D/SLAMF6/UBD/IRF7/RHOH/IKZF3/CD27/BCL11B/IRF1/BCL2/MYB/CD28/TF/SPINK5/CD109/FBN1/ADAM8/MDK/INHBA/PRTN3/PF4/LEF1/CD79A",33
"GO:0019731","BP","GO:0019731","antibacterial humoral response","9/361","24/10313",5.86571840086262e-08,1.36247224704962e-05,1.18276173927981e-05,"RPL39/RNASE6/RNASE3/TF/SPINK5/PI3/CAMP/FGB/ELANE",9
"GO:0002920","BP","GO:0002920","regulation of humoral immune response","12/361","48/10313",6.29870381550125e-08,1.36247224704962e-05,1.18276173927981e-05,"C1QA/C1QB/C3/CD5L/F2/CFP/C1S/SPINK5/CFB/C1R/C2/C6",12
