"","ONTOLOGY","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0048562","BP","GO:0048562","embryonic organ morphogenesis","11/91","137/10313",2.90598249318493e-08,6.06769144577014e-05,5.16958990892898e-05,"GATA3/GRHL2/HOXB6/POU3F4/TCF21/RDH10/TBX3/PAX8/GATA2/HOXD10/VANGL2",11
"GO:0048568","BP","GO:0048568","embryonic organ development","12/91","219/10313",4.48375212118048e-07,0.000468103721451242,0.000398817951831316,"GATA3/GRHL2/HOXB6/POU3F4/TCF21/RDH10/TBX3/PAX8/GATA2/HOXD10/KITLG/VANGL2",12
"GO:0048705","BP","GO:0048705","skeletal system morphogenesis","8/91","114/10313",6.90183551342111e-06,0.00480367751734109,0.00409266737462515,"GRHL2/HOXB6/HOXD8/RDH10/FGFR3/HOXD10/TSKU/LTF",8
"GO:0060562","BP","GO:0060562","epithelial tube morphogenesis","10/91","204/10313",1.17302698554802e-05,0.00612320086456065,0.00521688317256882,"GATA3/KLHL3/GRHL2/TCF21/RDH10/SOSTDC1/TBX3/PAX8/WT1/VANGL2",10
"GO:0072078","BP","GO:0072078","nephron tubule morphogenesis","5/91","37/10313",1.67023637226915e-05,0.00644484851487427,0.00549092256006126,"GATA3/KLHL3/TCF21/PAX8/WT1",5
"GO:0072088","BP","GO:0072088","nephron epithelium morphogenesis","5/91","38/10313",1.90998311373281e-05,0.00644484851487427,0.00549092256006126,"GATA3/KLHL3/TCF21/PAX8/WT1",5
"GO:0072028","BP","GO:0072028","nephron morphogenesis","5/91","39/10313",2.17569263957619e-05,0.00644484851487427,0.00549092256006126,"GATA3/KLHL3/TCF21/PAX8/WT1",5
"GO:0061333","BP","GO:0061333","renal tubule morphogenesis","5/91","40/10313",2.46929061872577e-05,0.00644484851487427,0.00549092256006126,"GATA3/KLHL3/TCF21/PAX8/WT1",5
"GO:0048598","BP","GO:0048598","embryonic morphogenesis","12/91","331/10313",3.1664482613528e-05,0.0066274044801183,0.00564645773916108,"GATA3/GRHL2/HOXB6/POU3F4/TCF21/RDH10/TBX3/PAX8/GATA2/HOXD10/APOA1/VANGL2",12
"GO:0003002","BP","GO:0003002","regionalization","8/91","141/10313",3.27048877560162e-05,0.0066274044801183,0.00564645773916108,"EMX1/HOXB6/HOXD8/SOSTDC1/TBX3/PAX8/HOXD10/WT1",8
"GO:0031589","BP","GO:0031589","cell-substrate adhesion","11/91","284/10313",3.80743761511085e-05,0.0066274044801183,0.00564645773916108,"BCAM/BCR/COL26A1/JUP/NTNG1/HRG/ATP1B2/THY1/PLAU/APOA1/NDNF",11
"GO:0007389","BP","GO:0007389","pattern specification process","9/91","187/10313",3.80885314949328e-05,0.0066274044801183,0.00564645773916108,"EMX1/HOXB6/HOXD8/SOSTDC1/TBX3/PAX8/HOXD10/WT1/VANGL2",9
"GO:0001656","BP","GO:0001656","metanephros development","5/91","48/10313",6.07852056508807e-05,0.00976303918454145,0.00831797551012051,"GATA3/TCF21/RDH10/PAX8/WT1",5
"GO:0060993","BP","GO:0060993","kidney morphogenesis","5/91","50/10313",7.41774298349538e-05,0.0108825774619302,0.00927180677085198,"GATA3/KLHL3/TCF21/PAX8/WT1",5
"GO:0051093","BP","GO:0051093","negative regulation of developmental process","14/91","483/10313",7.81794357897282e-05,0.0108825774619302,0.00927180677085198,"GATA3/GRHL2/SOSTDC1/HRG/TBX3/PAX8/FGFR3/GATA2/NMRK2/CNTN4/THY1/TSKU/WT1/LTF",14
