"","ONTOLOGY","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0042273","BP","GO:0042273","ribosomal large subunit biogenesis","15/277","67/10313",1.8493759211047e-10,6.21945122267512e-07,5.82066737274006e-07,"RSL1D1/NIFK/RPL23A/RPF2/RPL6/BRIX1/RPL24/NOP53/NOP16/RPL7/NSA2/EBNA1BP2/RPL3/SURF6/RRS1",15
"GO:0042254","BP","GO:0042254","ribosome biogenesis","27/277","280/10313",7.58998508777859e-09,1.27625599250997e-05,1.19442396907674e-05,"RSL1D1/NIFK/RPL23A/TSR1/RPF2/GNL2/ABT1/SRFBP1/RIOK2/RPL6/RPS24/RRP1/BRIX1/RPL24/UTP23/NOP53/NOP16/RPL7/RPS6/NSA2/EBNA1BP2/REXO4/RPL3/SURF6/DDX54/RRS1/LTV1",27
"GO:0006614","BP","GO:0006614","SRP-dependent cotranslational protein targeting to membrane","15/277","92/10313",1.91738160286366e-08,2.14938477681016e-05,2.01156876932012e-05,"RPL23A/RPL13A/RPL6/RPS24/RPL19/RPL13/RPL24/RPL4/RPL7/RPS6/RPL34/RPL32/RPL28/RPL29/RPL3",15
"GO:0006613","BP","GO:0006613","cotranslational protein targeting to membrane","15/277","96/10313",3.47644474860519e-08,2.92282092238981e-05,2.73541310482356e-05,"RPL23A/RPL13A/RPL6/RPS24/RPL19/RPL13/RPL24/RPL4/RPL7/RPS6/RPL34/RPL32/RPL28/RPL29/RPL3",15
"GO:0000184","BP","GO:0000184","nuclear-transcribed mRNA catabolic process, nonsense-mediated decay","16/277","115/10313",6.55059798220672e-08,4.40593220283224e-05,4.1234290456417e-05,"RPL23A/RPL13A/RPL6/HELZ2/RPS24/RPL19/RPL13/RPL24/RPL4/RPL7/RPS6/RPL34/RPL32/RPL28/RPL29/RPL3",16
"GO:0000027","BP","GO:0000027","ribosomal large subunit assembly","8/277","24/10313",1.23975193143091e-07,6.50485660244955e-05,6.08777289742058e-05,"RPL23A/RPF2/RPL6/BRIX1/RPL24/NOP53/RPL3/RRS1",8
"GO:0045047","BP","GO:0045047","protein targeting to ER","15/277","106/10313",1.35396955745307e-07,6.50485660244955e-05,6.08777289742058e-05,"RPL23A/RPL13A/RPL6/RPS24/RPL19/RPL13/RPL24/RPL4/RPL7/RPS6/RPL34/RPL32/RPL28/RPL29/RPL3",15
"GO:0072599","BP","GO:0072599","establishment of protein localization to endoplasmic reticulum","15/277","109/10313",1.97263401041232e-07,8.29246022127077e-05,7.76075748833266e-05,"RPL23A/RPL13A/RPL6/RPS24/RPL19/RPL13/RPL24/RPL4/RPL7/RPS6/RPL34/RPL32/RPL28/RPL29/RPL3",15
"GO:0070972","BP","GO:0070972","protein localization to endoplasmic reticulum","16/277","130/10313",3.70020543918648e-07,0.000138264343244268,0.00012939899723003,"RPL23A/RPL13A/RPL6/RPS24/RPL19/RPL13/RPL24/RPL4/RPL7/RPS6/RPL34/RPL32/RPL28/RPL29/RPL3/PDIA2",16
"GO:0022613","BP","GO:0022613","ribonucleoprotein complex biogenesis","28/277","403/10313",3.71635226771511e-06,0.00124980926763259,0.00116967297689139,"RSL1D1/NIFK/RPL23A/TSR1/RPF2/GNL2/ABT1/RPL13A/SRFBP1/RIOK2/RPL6/RPS24/RRP1/BRIX1/RPL24/UTP23/NOP53/NOP16/RPL7/RPS6/NSA2/EBNA1BP2/REXO4/RPL3/SURF6/DDX54/RRS1/LTV1",28
"GO:0006413","BP","GO:0006413","translational initiation","17/277","176/10313",4.91347988893231e-06,0.00150218480604358,0.00140586649453661,"RPL23A/RPL13A/RPL6/RPS24/RPL19/RPL13/RPL24/RPL4/RPL7/RPS6/RPL34/RPL32/RPL28/EIF1AD/RPL29/HSPB1/RPL3",17
