"","ONTOLOGY","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0006954","BP","GO:0006954","inflammatory response","39/243","434/10313",3.36584824457156e-13,1.11746161719776e-09,9.28619815686532e-10,"TLR3/IDO1/PLA2G7/ADM/TLR8/GPSM3/CYBB/HCK/BIRC3/HLA-DRB1/ETS1/TLR2/GBP5/ALOX5/TCIRG1/TRADD/ITGAL/GJA1/LOXL3/LXN/LYN/CXCL9/CALCRL/TGFB1/TNFAIP3/LACC1/NAIP/PSTPIP1/FCGR2B/SIGLEC1/LRRK2/TNFRSF11A/MMP9/APOL2/F8/CEBPB/PTGS1/SERPINE1/C1QTNF3",39
"GO:0031347","BP","GO:0031347","regulation of defense response","37/243","436/10313",8.20806413695967e-12,1.36253864673531e-08,1.13228084752481e-08,"TLR3/IDO1/PLA2G7/APOBEC3G/HLA-G/TLR8/GPSM3/HCK/PARP14/LYAR/BIRC3/TRIM21/HLA-DRB1/ETS1/SAMHD1/TLR2/DTX3L/GBP5/ALOX5/MEF2C/TRADD/GJA1/LYN/PSMB10/CALCRL/PARP9/RNF125/CARD11/TNFAIP3/LACC1/FCGR2B/LRRK2/TNFRSF11A/MMP9/CEBPB/SERPINE1/C1QTNF3",37
"GO:0002683","BP","GO:0002683","negative regulation of immune system process","26/243","249/10313",1.57074799775811e-10,1.73829445085231e-07,1.44453701828913e-07,"TLR3/IDO1/VSIR/HLA-G/PARP14/LYAR/MILR1/BST2/TRIM21/HLA-DRB1/SAMHD1/CD74/RUNX3/LOXL3/LYN/GPNMB/TGFB1/RNF125/TNFAIP3/GBP1/FCGR2B/MAFB/CD274/CEBPB/LRRC17/COL3A1",26
"GO:0019221","BP","GO:0019221","cytokine-mediated signaling pathway","36/243","493/10313",1.1096786246604e-09,6.62091350180839e-07,5.50203369950533e-07,"CD70/HLA-G/CD4/TRIM22/HCK/PARP14/ITGAM/BIRC3/ITGAX/FCGR1A/BST2/TRIM21/HLA-DRB1/SAMHD1/ALOX5/CD74/TRADD/CXCL9/PSMB10/PARP9/OASL/TGFB1/ISG15/TNFAIP3/GBP1/P4HB/FSCN1/IFITM3/IFIT2/IFIT3/TNFRSF11A/MMP9/MX1/CDKN1A/COL1A2/MT3",36
"GO:0051607","BP","GO:0051607","defense response to virus","21/243","179/10313",1.19655063285694e-09,6.62091350180839e-07,5.50203369950533e-07,"TLR3/APOBEC3G/TLR8/TRIM22/BIRC3/BST2/SAMHD1/DTX3L/DDX60/CXCL9/IFIH1/PARP9/OASL/ISG15/RNF125/TNFAIP3/GBP1/IFITM3/IFIT2/IFIT3/MX1",21
"GO:0140546","BP","GO:0140546","defense response to symbiont","21/243","179/10313",1.19655063285694e-09,6.62091350180839e-07,5.50203369950533e-07,"TLR3/APOBEC3G/TLR8/TRIM22/BIRC3/BST2/SAMHD1/DTX3L/DDX60/CXCL9/IFIH1/PARP9/OASL/ISG15/RNF125/TNFAIP3/GBP1/IFITM3/IFIT2/IFIT3/MX1",21
"GO:0050727","BP","GO:0050727","regulation of inflammatory response","22/243","201/10313",1.79503150284722e-09,8.51357798493253e-07,7.07485348716175e-07,"TLR3/IDO1/PLA2G7/GPSM3/HCK/BIRC3/HLA-DRB1/ETS1/TLR2/ALOX5/TRADD/LYN/CALCRL/TNFAIP3/LACC1/FCGR2B/LRRK2/TNFRSF11A/MMP9/CEBPB/SERPINE1/C1QTNF3",22
"GO:0030198","BP","GO:0030198","extracellular matrix organization","26/243","287/10313",3.43933964026785e-09,1.20268448014746e-06,9.99440717332433e-07,"LAMA4/COLGALT1/ITGA4/PECAM1/HAPLN1/ITGA5/ITGAM/ITGAX/COL5A3/ETS1/OLFML2A/ITGAL/LOXL3/COL5A2/ACAN/TGFB1/SH3PXD2B/FSCN1/SERPINH1/MMP9/RAMP2/SERPINE1/COL1A2/COL3A1/FBLN2/ADAMTS4",26
"GO:0043062","BP","GO:0043062","extracellular structure organization","26/243","287/10313",3.43933964026785e-09,1.20268448014746e-06,9.99440717332433e-07,"LAMA4/COLGALT1/ITGA4/PECAM1/HAPLN1/ITGA5/ITGAM/ITGAX/COL5A3/ETS1/OLFML2A/ITGAL/LOXL3/COL5A2/ACAN/TGFB1/SH3PXD2B/FSCN1/SERPINH1/MMP9/RAMP2/SERPINE1/COL1A2/COL3A1/FBLN2/ADAMTS4",26
"GO:0070661","BP","GO:0070661","leukocyte proliferation","21/243","191/10313",3.9367868477366e-09,1.20268448014746e-06,9.99440717332433e-07,"CD70/IDO1/BTN3A1/VSIR/HLA-G/CD4/BST2/HLA-DRB1/CD74/MEF2C/TCIRG1/LYN/PSMB10/GPNMB/CARD11/TNFAIP3/FCGR2B/CD38/CD274/CEBPB/CDKN1A",21
