"","ONTOLOGY","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0051301","BP","GO:0051301","cell division","41/333","447/10313",1.16625630101453e-09,3.90579235209767e-06,3.63871965916534e-06,"CDCA2/BRCA2/NUSAP1/ASPM/TUBA1B/KNTC1/MIS18BP1/KIF14/KIF4A/NDC80/CENPE/BUB1/BIRC5/BLM/LIG1/KIF18B/SPC24/AURKB/KIF20A/SKA1/CCNA2/NUF2/BUB1B/KIF2C/KIF11/HAUS6/KIF20B/CDCA8/REEP4/MAD2L1/TRIM36/SGO2/CCND2/CCNB2/OIP5/AURKA/CCNB1/ECT2/ZWINT/RHOB/SFRP2",41
"GO:0048285","BP","GO:0048285","organelle fission","33/333","323/10313",3.8538627410177e-09,6.45329315983414e-06,6.01202587598761e-06,"BRCA2/NUSAP1/CENPK/KNTC1/TMCC1/DLGAP5/KIF14/KIF4A/NDC80/CENPE/BUB1/PKMYT1/KIF18B/RGCC/AURKB/NUF2/BUB1B/KIF2C/KIF11/EME1/FIGNL1/KIF20B/DUSP1/CDCA8/REEP4/KDR/MAD2L1/BNIP3/SGO2/CCNB2/AURKA/CCNB1/ZWINT",33
"GO:0000280","BP","GO:0000280","nuclear division","30/333","282/10313",8.03349593110373e-09,8.9680592910888e-06,8.35483576834788e-06,"BRCA2/NUSAP1/CENPK/KNTC1/DLGAP5/KIF14/KIF4A/NDC80/CENPE/BUB1/PKMYT1/KIF18B/RGCC/AURKB/NUF2/BUB1B/KIF2C/KIF11/EME1/FIGNL1/KIF20B/DUSP1/CDCA8/REEP4/MAD2L1/SGO2/CCNB2/AURKA/CCNB1/ZWINT",30
"GO:0140014","BP","GO:0140014","mitotic nuclear division","27/333","237/10313",1.07907681831581e-08,9.03457066134914e-06,8.41679918286334e-06,"NUSAP1/CENPK/KNTC1/DLGAP5/KIF14/KIF4A/NDC80/CENPE/BUB1/PKMYT1/KIF18B/RGCC/AURKB/NUF2/BUB1B/KIF2C/KIF11/KIF20B/DUSP1/CDCA8/REEP4/MAD2L1/SGO2/CCNB2/AURKA/CCNB1/ZWINT",27
"GO:0000070","BP","GO:0000070","mitotic sister chromatid segregation","20/333","137/10313",1.43485636900067e-08,9.61066795956652e-06,8.95350374256421e-06,"NUSAP1/CENPK/KNTC1/DLGAP5/KIF14/KIF4A/NDC80/CENPE/BUB1/KIF18B/AURKB/NUF2/BUB1B/KIF2C/DUSP1/CDCA8/MAD2L1/SGO2/CCNB1/ZWINT",20
"GO:0007059","BP","GO:0007059","chromosome segregation","27/333","244/10313",2.01811507853481e-08,1.04359226269967e-05,9.7223286342878e-06,"CDCA2/NUSAP1/CENPK/KNTC1/DLGAP5/KIF14/KIF4A/NDC80/CENPE/BUB1/BIRC5/KIF18B/AURKB/SKA1/NUF2/BUB1B/KIF2C/EME1/DUSP1/HJURP/CDCA8/MAD2L1/SGO2/OIP5/CCNB1/ECT2/ZWINT",27
"GO:0007088","BP","GO:0007088","regulation of mitotic nuclear division","15/333","78/10313",2.1812916807697e-08,1.04359226269967e-05,9.7223286342878e-06,"NUSAP1/KNTC1/DLGAP5/NDC80/BUB1/PKMYT1/RGCC/AURKB/BUB1B/KIF20B/DUSP1/MAD2L1/AURKA/CCNB1/ZWINT",15
"GO:0051783","BP","GO:0051783","regulation of nuclear division","15/333","88/10313",1.18221571880429e-07,4.90525560360391e-05,4.56984099230941e-05,"NUSAP1/KNTC1/DLGAP5/NDC80/BUB1/PKMYT1/RGCC/AURKB/BUB1B/KIF20B/DUSP1/MAD2L1/AURKA/CCNB1/ZWINT",15
"GO:0000819","BP","GO:0000819","sister chromatid segregation","20/333","156/10313",1.3264074590441e-07,4.90525560360391e-05,4.56984099230941e-05,"NUSAP1/CENPK/KNTC1/DLGAP5/KIF14/KIF4A/NDC80/CENPE/BUB1/KIF18B/AURKB/NUF2/BUB1B/KIF2C/DUSP1/CDCA8/MAD2L1/SGO2/CCNB1/ZWINT",20
"GO:0098813","BP","GO:0098813","nuclear chromosome segregation","22/333","187/10313",1.46469262574019e-07,4.90525560360391e-05,4.56984099230941e-05,"NUSAP1/CENPK/KNTC1/DLGAP5/KIF14/KIF4A/NDC80/CENPE/BUB1/KIF18B/AURKB/NUF2/BUB1B/KIF2C/EME1/DUSP1/CDCA8/MAD2L1/SGO2/CCNB1/ECT2/ZWINT",22
