"","ONTOLOGY","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0044282","BP","GO:0044282","small molecule catabolic process","89/509","355/10313",9.39256951143499e-40,3.20756248815505e-36,2.84940898231112e-36,"HYKK/ACAA1/HADH/INPP5J/PFKFB2/PCCB/DCXR/NUDT9/ACAD8/SLC27A4/ACADSB/PCK2/DLST/AGXT/SORD/GCDH/DBT/IVD/NT5C1A/ALDH6A1/ECHS1/BCKDHB/QDPR/PCCA/BDH1/AFMID/LDHD/ALDH7A1/SARDH/XYLB/SDSL/HPD/HAGH/CTH/PPM1K/TKFC/PRODH2/GALM/PNP/PHYH/ALDH1B1/ADHFE1/ACAT1/ALDH5A1/OXCT1/GLDC/IDNK/ECI2/HAO2/GK/AHCY/CRYL1/SHMT1/OAT/MIOX/FABP1/CYP4A11/CRAT/AASS/SLC25A44/PIPOX/ACADM/DAO/RENBP/BDH2/HIBCH/HOGA1/ENTPD5/GCAT/CYP4F2/UMOD/DPYS/ALDOB/QPRT/FTCD/GPT2/SLC27A2/CRABP1/HGD/CRYM/RIDA/GPT/ALDH1L1/AGXT2/CYP4F3/UPB1/ALDH8A1/HAO1/CYP24A1",89
"GO:0016054","BP","GO:0016054","organic acid catabolic process","70/509","223/10313",4.00445816064502e-38,6.83761230930137e-35,6.07413074683102e-35,"HYKK/ACAA1/HADH/PCCB/DCXR/ACAD8/SLC27A4/ACADSB/PCK2/DLST/AGXT/SORD/GCDH/DBT/IVD/ALDH6A1/ECHS1/BCKDHB/QDPR/PCCA/AFMID/LDHD/ALDH7A1/SARDH/XYLB/SDSL/HPD/CTH/PPM1K/PRODH2/PHYH/ADHFE1/ACAT1/ALDH5A1/GLDC/IDNK/ECI2/HAO2/AHCY/CRYL1/SHMT1/OAT/FABP1/CYP4A11/CRAT/AASS/SLC25A44/PIPOX/ACADM/DAO/RENBP/BDH2/HIBCH/HOGA1/GCAT/CYP4F2/QPRT/FTCD/GPT2/SLC27A2/CRABP1/HGD/CRYM/RIDA/GPT/ALDH1L1/AGXT2/CYP4F3/ALDH8A1/HAO1",70
"GO:0046395","BP","GO:0046395","carboxylic acid catabolic process","64/509","209/10313",3.85926219387064e-34,4.39312679735607e-31,3.90259426060883e-31,"HYKK/ACAA1/HADH/PCCB/DCXR/ACAD8/SLC27A4/PCK2/DLST/AGXT/SORD/GCDH/IVD/ALDH6A1/ECHS1/QDPR/PCCA/AFMID/LDHD/ALDH7A1/SARDH/XYLB/SDSL/HPD/PRODH2/PHYH/ADHFE1/ACAT1/ALDH5A1/GLDC/IDNK/ECI2/HAO2/AHCY/CRYL1/SHMT1/OAT/FABP1/CYP4A11/CRAT/AASS/PIPOX/ACADM/DAO/RENBP/BDH2/HIBCH/HOGA1/GCAT/CYP4F2/QPRT/FTCD/GPT2/SLC27A2/CRABP1/HGD/CRYM/RIDA/GPT/ALDH1L1/AGXT2/CYP4F3/ALDH8A1/HAO1",64
"GO:1901605","BP","GO:1901605","alpha-amino acid metabolic process","49/509","159/10313",2.06815191676785e-26,1.76568469894055e-23,1.56852995371709e-23,"HYKK/ASS1/ACADSB/DLST/AGXT/GCDH/QDPR/AFMID/ALDH7A1/SARDH/IYD/TTC36/SDSL/HPD/CTH/DPEP1/PRODH2/AGMAT/ADHFE1/ACAT1/ALDH5A1/MSRA/GLDC/AHCY/SHMT1/OAT/SLC7A7/AASS/PIPOX/DAO/PSAT1/HOGA1/GCAT/BHMT/PHGDH/GLYATL1/FTCD/GPT2/GLYAT/BHMT2/HGD/CRYM/NOX4/RIDA/GPT/AGXT2/HNF4A/ALDH8A1/CPS1",49
"GO:0006520","BP","GO:0006520","cellular amino acid metabolic process","62/509","268/10313",1.38507798621628e-25,9.46008264585719e-23,8.40377843426383e-23,"HYKK/LARS2/ACAD8/ACY1/ASS1/ACADSB/DLST/AGXT/GCDH/IVD/ALDH6A1/DIO1/QDPR/PEPD/AFMID/BPHL/ALDH7A1/SARDH/IYD/TTC36/SDSL/HPD/CTH/DPEP1/PRODH2/AGMAT/ADHFE1/ACAT1/ALDH5A1/MSRA/GLDC/AHCY/SHMT1/OAT/SLC7A7/AASS/PIPOX/DAO/PSAT1/HIBCH/HOGA1/GCAT/DPYS/BHMT/DDC/PHGDH/SLC16A2/GLYATL1/FTCD/GPT2/GLYAT/BHMT2/HGD/CRYM/NOX4/RIDA/GPT/AGXT2/HNF4A/UPB1/ALDH8A1/CPS1",62
"GO:0032787","BP","GO:0032787","monocarboxylic acid metabolic process","82/509","497/10313",4.06299156563388e-23,2.31251936610662e-20,2.05430556002751e-20,"ACAA1/HADH/PFKFB2/PCCB/PDHA1/ACSF2/DCXR/ATP6V1B1/SLC27A4/ACADSB/PCK2/AGXT/SORD/GCDH/ACOT11/PDHB/IVD/ECHS1/PCCA/FBP1/LDHB/LDHD/BTD/ADH6/OSBPL6/ACOT2/XYLB/HAGH/SLC22A13/PRODH2/ALDH1A2/GATM/PHYH/ACAT1/ALDH5A1/HTD2/IDNK/PLA2G4F/ECI2/HAO2/CRYL1/CKM/PRKAR2B/FABP1/CYP4A11/CRAT/PC/ACADM/BDH2/HPGD/EPHX2/PTGDS/HOGA1/ENTPD5/CYP4F2/ALDOB/CKMT1A/ACSM3/PHGDH/FTCD/SLC4A4/UGT2B7/CYP8B1/GLYAT/GPD1/SLC27A2/CRABP1/ECHDC3/AGXT2/LIPG/CYP4F3/MLXIPL/ADH1B/ACSM2B/CRABP2/ALDH8A1/UGT1A9/ACSM2A/HAO1/ANGPTL3/UGT2B4/CYP24A1",82
"GO:0009063","BP","GO:0009063","cellular amino acid catabolic process","34/509","91/10313",1.05142543706382e-21,5.12945409653279e-19,4.5567039242375e-19,"HYKK/ACAD8/DLST/AGXT/GCDH/IVD/ALDH6A1/QDPR/AFMID/ALDH7A1/SARDH/SDSL/HPD/PRODH2/ADHFE1/ALDH5A1/GLDC/AHCY/SHMT1/OAT/AASS/PIPOX/DAO/HIBCH/HOGA1/GCAT/FTCD/GPT2/HGD/CRYM/RIDA/GPT/AGXT2/ALDH8A1",34
"GO:1901606","BP","GO:1901606","alpha-amino acid catabolic process","30/509","77/10313",6.65104899010361e-20,2.83916653765048e-17,2.52214778808929e-17,"HYKK/ACADSB/DLST/AGXT/GCDH/QDPR/AFMID/ALDH7A1/SARDH/SDSL/HPD/PRODH2/ADHFE1/ACAT1/GLDC/AHCY/SHMT1/OAT/AASS/PIPOX/DAO/HOGA1/GCAT/GPT2/HGD/CRYM/RIDA/GPT/AGXT2/ALDH8A1",30
"GO:0015711","BP","GO:0015711","organic anion transport","46/509","228/10313",1.10030598253924e-16,4.175049922635e-14,3.70886765108548e-14,"SFXN2/SLC25A5/SLC26A6/SLC7A8/SLC27A4/KCNJ10/STRA6/LLGL2/CASR/SLC25A10/MPC1/SLC16A7/SLC22A13/SLC36A2/SLC3A2/PLA2R1/SFXN5/SLC13A2/SLC25A4/SLC25A29/PLA2G4F/SLC26A1/SLC7A9/SLC7A7/CYP4A11/SLC43A2/SLC2A9/CYP4F2/UMOD/SLC22A7/SLC13A3/SLC22A12/SLC16A9/SLC16A2/SLC23A1/SLC22A6/SLC25A42/SLC4A4/FOLR1/ABCC6/SLC44A4/AQP1/CA4/SLC5A12/MTTP/SLC22A11",46
"GO:0072329","BP","GO:0072329","monocarboxylic acid catabolic process","32/509","112/10313",1.56116631605658e-16,5.33138296933323e-14,4.73608560302639e-14,"ACAA1/HADH/PCCB/DCXR/SLC27A4/PCK2/AGXT/SORD/GCDH/IVD/ECHS1/PCCA/LDHD/XYLB/PHYH/ACAT1/IDNK/ECI2/HAO2/CRYL1/FABP1/CYP4A11/CRAT/ACADM/BDH2/HOGA1/CYP4F2/SLC27A2/CRABP1/AGXT2/CYP4F3/HAO1",32
"GO:0015849","BP","GO:0015849","organic acid transport","37/509","194/10313",7.5948310325722e-13,2.26659241574387e-10,2.01350677111007e-10,"SFXN2/SLC26A6/SLC7A8/SLC27A4/KCNJ10/STRA6/LLGL2/SLC25A10/MPC1/SLC16A7/SLC22A13/SLC36A2/SLC3A2/PLA2R1/SFXN5/SLC13A2/SLC25A29/PLA2G4F/SLC26A1/SLC7A9/FABP1/SLC7A7/CYP4A11/SLC43A2/SLC25A44/CYP4F2/UMOD/SLC13A3/SLC16A10/SLC6A19/SLC16A2/SLC23A1/ABCB1/SLC22A6/SLC27A2/FOLR1/SLC5A12",37
"GO:0046942","BP","GO:0046942","carboxylic acid transport","34/509","166/10313",7.96459999675739e-13,2.26659241574387e-10,2.01350677111007e-10,"SFXN2/SLC26A6/SLC7A8/SLC27A4/KCNJ10/STRA6/LLGL2/CASR/SLC25A10/MPC1/SLC16A7/SLC22A13/SLC36A2/SLC3A2/PLA2R1/SFXN5/SLC13A2/SLC25A29/PLA2G4F/SLC26A1/SLC7A9/SLC7A7/CYP4A11/SLC43A2/CYP4F2/UMOD/SLC13A3/SLC16A9/SLC16A2/SLC23A1/SLC22A6/FOLR1/ABCC6/SLC5A12",34
"GO:0006575","BP","GO:0006575","cellular modified amino acid metabolic process","31/509","152/10313",9.43345096786551e-12,2.47809500425082e-09,2.20139317322983e-09,"ASS1/DIO1/ALDH7A1/SARDH/IYD/HAGH/CLIC5/DPEP1/GGH/GATM/CHDH/PLA2G4F/AHCY/SHMT1/CKM/CRAT/GCH1/PIPOX/ACADM/HOGA1/BHMT/CKMT1A/SLC16A10/SLC16A2/FTCD/BHMT2/CRYM/FOLR1/ALDH1L1/NAT8/GSTM5",31
"GO:0098656","BP","GO:0098656","anion transmembrane transport","50/509","356/10313",1.34908081870584e-11,3.29079356848604e-09,2.92334655602274e-09,"MFSD4A/SFXN2/SLC25A5/SLC26A6/SLC7A8/SLC27A4/KCNJ10/STRA6/SLC5A2/GPC3/SLC2A11/CASR/SLC25A10/MPC1/SLC16A7/SLC36A2/CLIC5/SLC3A2/SLC12A1/SLC12A6/SLC5A11/SLC34A1/SLC13A2/SLC25A4/SLC25A29/AIFM1/SLC26A1/CLCN5/SLC7A9/SLC7A7/SLC43A2/SLC2A9/ENPP1/SLC9A3/SLC13A3/SLC16A10/SLC6A19/SLC16A2/SLC23A1/ABCB1/SLC22A6/SLC25A42/SLC4A4/FOLR1/ABCC6/SLC44A4/AQP1/SLC5A12/SLC19A3/SLC13A1",50
"GO:0006631","BP","GO:0006631","fatty acid metabolic process","43/509","288/10313",5.38298731894313e-11,1.22552677961272e-08,1.08868557566274e-08,"ACAA1/HADH/PCCB/ACSF2/ATP6V1B1/SLC27A4/ACADSB/PCK2/GCDH/ACOT11/IVD/ECHS1/PCCA/ACOT2/SLC22A13/PHYH/ACAT1/HTD2/PLA2G4F/ECI2/HAO2/CRYL1/PRKAR2B/FABP1/CYP4A11/CRAT/ACADM/BDH2/HPGD/EPHX2/PTGDS/CYP4F2/ACSM3/SLC27A2/ECHDC3/LIPG/CYP4F3/MLXIPL/ACSM2B/ACSM2A/HAO1/ANGPTL3/CYP24A1",43
"GO:1901615","BP","GO:1901615","organic hydroxy compound metabolic process","49/509","382/10313",5.61756162721436e-10,1.19899830980857e-07,1.06511925063367e-07,"ACAA1/INPP5J/PFKFB2/SPHK2/PCK2/PTH1R/SORD/DIO1/FGF1/QDPR/LDHD/ADH6/RDH12/IYD/OSBPL6/HAGH/NAPEPLD/TKFC/ALDH1A2/DHRS4/RDH11/SMPD1/SLC34A1/ALDH1B1/FMO5/GK/MIOX/EBP/CYP4A11/GCH1/DAO/PSAT1/EPHX2/CYP4F2/DDC/SLC16A10/SLC16A2/CYP8B1/GPD1/SLC27A2/CRYM/CYP4F3/CUBN/ADH1B/MOXD1/HAO1/ANGPTL3/RBP4/CYP24A1",49
"GO:0009066","BP","GO:0009066","aspartate family amino acid metabolic process","15/509","44/10313",1.24979843848288e-09,2.51062451024649e-07,2.23029046421527e-07,"HYKK/ASS1/DLST/GCDH/ALDH7A1/SDSL/MSRA/AASS/PIPOX/GCAT/BHMT/PHGDH/BHMT2/CRYM/RIDA",15
"GO:0006790","BP","GO:0006790","sulfur compound metabolic process","41/509","301/10313",2.6253062773476e-09,4.98078940952337e-07,4.42463900076947e-07,"PCCB/PDHA1/ACSF2/GLRX5/DLST/AGXT/GCDH/ACOT11/PDHB/SUOX/ABHD14B/PCCA/SLC25A10/BTD/ACOT2/HAGH/CTH/CLIC5/DPEP1/ACAT1/MSRA/HTD2/AHCY/SLC26A1/AASS/PIPOX/PC/ENPP1/BHMT/ACSM3/PHGDH/GLYAT/BHMT2/NOX4/ACSM2B/NAT8/SLC19A3/DCN/ACSM2A/CPS1/GSTM5",41
"GO:0009081","BP","GO:0009081","branched-chain amino acid metabolic process","11/509","23/10313",2.99807055983052e-09,5.38863734832697e-07,4.7869470102114e-07,"ACAD8/ACADSB/DBT/IVD/ALDH6A1/BCKDHB/SDSL/PPM1K/ACAT1/SLC25A44/HIBCH",11
"GO:1903825","BP","GO:1903825","organic acid transmembrane transport","22/509","105/10313",6.03999488845102e-09,9.69938050421252e-07,8.6163565117178e-07,"SFXN2/SLC7A8/KCNJ10/STRA6/SLC25A10/MPC1/SLC16A7/SLC36A2/SLC3A2/SLC13A2/SLC25A29/SLC7A9/SLC7A7/SLC43A2/SLC13A3/SLC16A10/SLC6A19/SLC16A2/SLC23A1/ABCB1/FOLR1/SLC5A12",22
"GO:1905039","BP","GO:1905039","carboxylic acid transmembrane transport","22/509","105/10313",6.03999488845102e-09,9.69938050421252e-07,8.6163565117178e-07,"SFXN2/SLC7A8/KCNJ10/STRA6/SLC25A10/MPC1/SLC16A7/SLC36A2/SLC3A2/SLC13A2/SLC25A29/SLC7A9/SLC7A7/SLC43A2/SLC13A3/SLC16A10/SLC6A19/SLC16A2/SLC23A1/ABCB1/FOLR1/SLC5A12",22
"GO:0006091","BP","GO:0006091","generation of precursor metabolites and energy","51/509","436/10313",6.24850281384115e-09,9.69938050421252e-07,8.6163565117178e-07,"SUCLG1/PFKFB2/ND5/PDHA1/SPHK2/UQCRC1/UQCRFS1/COX1/ND6/FECH/DLST/ND1/ATP5F1A/PDHB/ND2/COX2/QDPR/ND4/BDH1/FBP1/ATP6/COQ10A/COX3/ADH6/XYLB/FH/TACO1/ACO1/KL/ALDH1B1/SLC25A4/ACAT1/ND3/OXCT1/GLDC/NQO2/ACO2/BDH2/ENPP1/AKR7A3/AK4/ENTPD5/ALDOB/PHGDH/SLC4A4/GPD1/NOX4/MLXIPL/PPP1R1A/ADH1B/AOX1",51
"GO:0098660","BP","GO:0098660","inorganic ion transmembrane transport","51/509","438/10313",7.30239235729558e-09,1.08424651739845e-06,9.63180538843289e-07,"ATP6V1C2/GPD1L/ND5/LETM1/SPHK2/SLC26A6/ATP6V1B1/COX1/KCNJ10/NOS1AP/ATP5F1A/COX2/SLC5A2/ND4/ATP6/COX3/CASR/SLC25A10/ATP6V0A4/HECW1/TACO1/SLC36A2/CLIC5/SLC3A2/SLC12A1/SLC12A6/TMEM38A/SLC34A1/ATP6V0D2/SLC26A1/CLCN5/SLC30A2/LIME1/SLC2A9/TRPM4/SLC34A3/KCNJ15/ANK2/SLC9A3/ATP6V1G3/KCNJ16/SLC8A1/SLC6A19/SLC23A1/ATP6V1G2/SLC4A4/ANK3/AQP1/SLC39A5/SLC13A1/ADRA2A",51
