external_gene_name,logFC_rna,padj_rna,CpG_Beta_diff,logFC_meth,padj_meth,ensembl_gene_id,entrezgene_id,hgnc_symbol,logFC_protein,padj_protein,RG1_All_filtered,RG2_Changes_filtered,RG3_Translation_filtered,RG4_Detection_filtered,Methylation,RNA,Protein,RG1_All,RG2_Changes,RG3_Translation
VEGFA,3.24762034885509,0.0,-0.340600773414347,-2.33455924397887,2.07655869064212e-99,ENSG00000112715,7422.0,VEGFA,1.29133046745775,6.4206062316437705e-52,Hypomethylation + RNA UP + Protein UP,MDE,MDE,MDE,Hypomethylation,RNA UP,Protein UP,Hypomethylation + RNA UP + Protein UP,MDE,MDE
SAP30,2.80684291503877,0.0,-0.1426264135019189,-2.17964989331486,2.4025148893459105e-104,ENSG00000164105,8819.0,SAP30,0.882948769027928,2.84207043969281e-70,Hypomethylation + RNA UP + Protein UP,MDE,MDE,MDE,Hypomethylation,RNA UP,Protein UP,Hypomethylation + RNA UP + Protein UP,MDE,MDE
HILPDA,5.67342072497976,0.0,0.0343427603970203,0.212579081285682,0.0020515111027499,ENSG00000135245,29923.0,HILPDA,2.32506336214506,3.09661868918546e-91,Methylation No change + RNA UP + Protein UP,TPDE,TPDE,TPDE,Methylation No change,RNA UP,Protein UP,Methylation No change + RNA UP + Protein UP,TPDE,TPDE
CA9,9.47066828161392,0.0,,,,ENSG00000107159,768.0,CA9,1.92029045645467,7.46184314060549e-70,Methylation No change + RNA UP + Protein UP,TPDE,TPDE,TPDE,Methylation No change,RNA UP,Protein UP,Methylation No change + RNA UP + Protein UP,TPDE,TPDE
SPAG4,3.81994471218309,0.0,-0.2402309033863733,-1.49997426678526,1.3011246556012e-55,ENSG00000061656,6676.0,SPAG4,0.0723160194174749,0.107523110300915,Hypomethylation + RNA UP + Protein not-significant,MDE_TMDS,None,MDE_TMDS,Hypomethylation,RNA UP,Protein not-significant,Hypomethylation + RNA UP + Protein not-significant,MDE_TMDS,None
PDK1,3.0537361021217,0.0,-0.067515279063727,-0.428644665480199,7.26748293952016e-05,ENSG00000152256,5163.0,PDK1,1.20170380079108,4.917927019265278e-69,Methylation No change + RNA UP + Protein UP,TPDE,TPDE,TPDE,Methylation No change,RNA UP,Protein UP,Methylation No change + RNA UP + Protein UP,TPDE,TPDE
FUT11,2.0936778409024,0.0,-0.2769727075097468,-1.80993876855111,2.21204768838907e-68,ENSG00000196968,170384.0,FUT11,0.47194165121962,6.876253535001569e-40,Hypomethylation + RNA UP + Protein significant-positive,MDE_TMDS,MDE,MDE,Hypomethylation,RNA UP,Protein significant-positive,Hypomethylation + RNA UP + Protein significant-positive,MDE_TMDS,MDE
HYKK,-2.62638715401427,0.0,0.0502516348568128,0.352345502638919,6.28313488059798e-06,ENSG00000188266,123688.0,HYKK,-0.649419040661614,4.25239709687009e-32,Methylation No change + RNA DOWN + Protein DOWN,TPDS,TPDS,TPDS,Methylation No change,RNA DOWN,Protein DOWN,Methylation No change + RNA DOWN + Protein DOWN,TPDS,TPDS
APOC1,6.10345680314617,0.0,-0.2098308993954875,-1.350333754556,3.59721566039813e-33,ENSG00000130208,341.0,APOC1,0.0957678836412297,0.274315921293922,Hypomethylation + RNA UP + Protein not-significant,MDE_TMDS,None,MDE_TMDS,Hypomethylation,RNA UP,Protein not-significant,Hypomethylation + RNA UP + Protein not-significant,MDE_TMDS,None
COL23A1,5.17266977715335,0.0,-0.3345082397485556,-2.94892599429341,7.30845820163593e-75,ENSG00000050767,91522.0,COL23A1,2.08568759770819,4.16522612903879e-56,Hypomethylation + RNA UP + Protein UP,MDE,MDE,MDE,Hypomethylation,RNA UP,Protein UP,Hypomethylation + RNA UP + Protein UP,MDE,MDE
