,cluster,motif,p-value,q-value,odds-ratio,count-genes-in-cluster,count-genes-bg,remainder-cluster,remainder-bg,tf-log2FC,tf-padj,tf-cluster,%-coverage,genes
0,TPDE,AR,0.1897534293061709,0.2585529182943732,2.5780853517877738,2,51,255,16713,0.219801156064963,9.64284324854606e-08,None,0.7782101167315175,"CDKN1A,CD4"
1,TMDS,AR,0.7384971232946584,0.744891037782058,1.21635,3,50,800,16168,0.219801156064963,9.64284324854606e-08,None,0.37359900373599,"MRPS27,MUC1,RNASE4"
2,MDE_TMDS,AR,0.0233542612001763,0.05496507939031392,3.9216608833735225,4,49,347,16621,0.219801156064963,9.64284324854606e-08,None,1.1396011396011396,"CDC6,PRAME,ATP2B4,ATM"
3,TPDS,AR,0.4163202198480342,0.4572998765297978,0.0,0,53,539,16429,0.219801156064963,9.64284324854606e-08,None,0.0,
4,MDE,AR,4.686004676255642e-06,3.7649623778191885e-05,8.366211374832064,9,44,406,16562,0.219801156064963,9.64284324854606e-08,None,2.1686746987951806,"HLA-E,AKR1B1,STK39,VEGFA,HK2,IFI35,IGFBP3,NDRG1,EGFR"
5,TPDE_TMDS,AR,0.0172730830209135,0.0442266850975038,4.314389046757944,4,49,316,16652,0.219801156064963,9.64284324854606e-08,None,1.25,"PTPRM,QSOX1,ORM2,FAM13A"
6,TMDE,AR,0.625505679754859,0.6434567202548461,1.0298323471400397,1,52,312,16656,0.219801156064963,9.64284324854606e-08,None,0.3194888178913738,HSD17B11
7,TPDE,ATF2,0.1010070718717444,0.1681046267579746,10.9140625,1,6,256,16758,0.361607835143277,1.19871279486952e-38,None,0.3891050583657587,CDKN1A
8,MDE,ATF2,0.0114763876255983,0.032216847189932576,16.08329297820823,2,5,413,16601,0.361607835143277,1.19871279486952e-38,None,0.4819277108433735,"FN1,CCND1"
9,TPDE_TMDS,ATF2,0.1243872150505503,0.19193523911773655,8.725705329153605,1,6,319,16695,0.361607835143277,1.19871279486952e-38,None,0.3125,DUSP1
