"Metabolite","Log2FC_ TvN_Early","p.val_ TvN_Early","p.adj_ TvN_Early","Log2FC_ TvN_Late","p.val_ TvN_Late","p.adj_ TvN_Late","Log2FC_S1-S4","SUPER PATHWAY","SUB PATHWAY"
"1-arachidonoylglycerophosphocholine*",-0.871692683948428,0.000420129250817664,0.000927181794907947,-0.0489464510372264,0.738521896699509,0.780529564218197,0.822746232911202,"Lipid","Lysolipid"
"1-arachidonoylglycerophosphoethanolamine*",-1.39626904471935,1.02819837343811e-14,1.20865767979663e-13,-1.1293785942365,1.10601144679752e-17,1.13761177384888e-16,0.266890450482852,"Lipid","Lysolipid"
"1-arachidonoylglycerophosphoinositol*",-0.98969013474763,2.63432930838495e-10,1.33102954528924e-09,-0.789549924605808,1.22034689813386e-13,6.4488056268358e-13,0.200140210141822,"Lipid","Lysolipid"
"1-arachidonylglycerol",-0.419877296923558,0.225131176181274,0.288167905512031,-0.45049834169853,0.11361698805011,0.142268228514921,-0.0306210447749724,"Lipid","Monoacylglycerol"
"1-docosahexaenoylglycerophosphocholine*",-1.25618353361557,2.13049052478111e-07,7.62212759176347e-07,-0.701609787353949,0.000288020025961972,0.000508894279000293,0.554573746261621,"Lipid","Lysolipid"
"1-heptadecanoylglycerophosphocholine",-2.59090678780011,3.43764183650017e-09,1.54693882642508e-08,-1.47700636380194,2.2457202119832e-09,7.83960510365045e-09,1.11390042399817,"Lipid","Lysolipid"
"1-heptadecanoylglycerophosphoethanolamine*",-5.44210867071909,8.61966890224401e-20,2.48246464384628e-17,-4.04818153553375,1.94677984120713e-23,5.33973899302527e-22,1.39392713518534,"Lipid","Lysolipid"
"1-linoleoylglycerol (1-monolinolein)",0.643622332333472,0.0849680870920758,0.12144322125319,0.866474610588209,0.00309958012399467,0.00483836897404046,0.222852278254737,"Lipid","Monoacylglycerol"
"1-linoleoylglycerophosphocholine",-1.21666642109269,4.92494655929309e-05,0.000127782397214091,-0.261361486307007,0.450384015842707,0.502754250243021,0.955304934785683,"Lipid","Lysolipid"
"1-linoleoylglycerophosphoethanolamine*",-3.21050795421722,7.0918975080379e-17,1.94520617363325e-15,-2.82993037584007,3.3126216845651e-22,6.81453603681963e-21,0.380577578377155,"Lipid","Lysolipid"
"1-methylimidazoleacetate",-0.427829648832131,0.000367599243553952,0.000820686683283242,-0.989411814136098,2.80315417792194e-11,1.17855241349127e-10,-0.561582165303968,"Amino acid","Histidine metabolism"
"1-myristoylglycerophosphocholine",-1.98598586056529,1.08534039762425e-08,4.63078569653014e-08,-1.00271431358892,1.39497098577087e-06,3.34297655958392e-06,0.983271546976377,"Lipid","Lysolipid"
"1-myristoylglycerophosphoethanolamine",-3.05046010187947,4.93704359089132e-13,3.69316507578363e-12,-2.46957929459078,1.37918802530937e-16,1.18569000384806e-15,0.580880807288688,"Lipid","Lysolipid"
"1-oleoylglycerol (1-monoolein)",0.526314920638135,0.238914160128649,0.30311576263018,0.918579768139759,8.66648838921297e-05,0.000163668764333989,0.392264847501624,"Lipid","Monoacylglycerol"
"1-oleoylglycerophosphocholine",-2.5240673373821,5.67537054596173e-11,3.05515274249903e-10,-1.29205187768264,4.39556997781803e-08,1.24721591488827e-07,1.23201545969945,"Lipid","Lysolipid"
"1-oleoylglycerophosphoethanolamine",-4.67585569888895,9.94749096899454e-19,9.10717050670174e-17,-4.07663774404474,2.29536985978106e-25,1.65266629904236e-23,0.59921795484421,"Lipid","Lysolipid"
"1-oleoylglycerophosphoinositol*",-1.6410613108317,1.13977146368128e-15,1.77434692724437e-14,-1.47898476371138,4.91123359134098e-21,8.84022046441377e-20,0.162076547120316,"Lipid","Lysolipid"
"1-oleoylglycerophosphoserine",-1.35509866605453,8.31623645104505e-13,5.98769024475244e-12,-0.968049326684303,1.25100020739305e-13,6.55069199507632e-13,0.38704933937023,"Lipid","Lysolipid"
"1-palmitoleoylglycerophosphocholine*",-1.92822648856499,4.97494983452959e-08,1.91038073645936e-07,-0.811569700804967,0.000215581846379959,0.00038683845331731,1.11665678776003,"Lipid","Lysolipid"
"1-palmitoleoylglycerophosphoethanolamine*",-3.89614268576206,1.77822113083502e-16,3.53191507365852e-15,-3.45672952966212,2.05072228137952e-19,2.41064496749919e-18,0.439413156099937,"Lipid","Lysolipid"
"1-palmitoylglycerol (1-monopalmitin)",-0.578403889769914,0.00156453670480419,0.00321847550702576,-0.145497856044101,0.293366136414714,0.339997775804579,0.432906033725813,"Lipid","Monoacylglycerol"
"1-palmitoylglycerophosphocholine",-1.85353188099103,2.17558683448343e-09,1.00251041332997e-08,-1.32305427184906,2.6113005763601e-09,9.06089838544228e-09,0.530477609141977,"Lipid","Lysolipid"
"1-palmitoylglycerophosphoethanolamine",-5.5334902947643,4.68853649034442e-19,9.00199006146129e-17,-4.88708523301808,1.23056712902755e-25,1.11075154180358e-23,0.646405061746226,"Lipid","Lysolipid"
"1-palmitoylglycerophosphoinositol*",-2.47406370911845,5.69474470863855e-18,2.7334774601465e-16,-2.04671975057234,2.04767977604901e-24,9.07279654618638e-23,0.427343958546107,"Lipid","Lysolipid"
"1-palmitoylplasmenylethanolamine*",-3.42534354399118,1.78644984551525e-17,6.37294655521389e-16,-2.80873746959653,1.2961223033403e-22,2.85623458578674e-21,0.616606074394655,"Lipid","Lysolipid"
"1-pentadecanoylglycerophosphocholine*",-2.52390210955613,1.28425548747555e-11,7.32407089887049e-11,-1.3670776341202,1.33096288200545e-07,3.53287843334165e-07,1.15682447543593,"Lipid","Lysolipid"
"1-stearoylglycerol (1-monostearin)",-0.798723041648622,6.95666222992033e-08,2.63620884502244e-07,-0.609678682765321,8.53255677542295e-06,1.84073134930473e-05,0.189044358883301,"Lipid","Monoacylglycerol"
"1-stearoylglycerophosphocholine",-2.01041247767069,3.81699529946658e-06,1.1103986325721e-05,-1.04777815759432,6.76631592403893e-05,0.000129913265741547,0.962634320076375,"Lipid","Lysolipid"
"1-stearoylglycerophosphoethanolamine",-3.75958652979904,1.46654139019907e-16,3.29583485066866e-15,-3.14300635660086,4.90708645796893e-19,5.54212117605902e-18,0.616580173198179,"Lipid","Lysolipid"
"1-stearoylglycerophosphoinositol",-2.12125826177681,3.19881535160632e-18,1.84251764252524e-16,-1.533909721518,2.26227941683962e-19,2.60614588819925e-18,0.587348540258807,"Lipid","Lysolipid"
"1,2-propanediol",-0.156765982758928,0.369829648736913,0.447524953093408,-0.233330734714249,0.0964114943899211,0.122050595095812,-0.0765647519553214,"Lipid","Ketone bodies"
"1,3-dihydroxyacetone",0.176130125595871,0.938870391326627,0.967422800365183,0.607144492638384,0.014137007793668,0.0204083120028891,0.431014367042513,"Carbohydrate","Glycolysis, gluconeogenesis, pyruvate metabolism"
"1,5-anhydroglucitol (1,5-AG)",0.0330138993719871,0.59261861403279,0.669310434672328,-0.0741516446867919,0.593045330646217,0.646958542523146,-0.107165544058779,"Carbohydrate","Glycolysis, gluconeogenesis, pyruvate metabolism"
"10-heptadecenoate (17:1n7)",0.717494289677875,2.32725685964124e-07,8.27469105650218e-07,0.715847373582169,4.84588236328547e-10,1.77684506981838e-09,-0.00164691609570566,"Lipid","Long chain fatty acid"
"10-nonadecenoate (19:1n9)",1.14669295951917,4.66835829281313e-09,2.06844182820028e-08,1.20255520475654,4.79294993760382e-15,3.23772086294578e-14,0.0558622452373672,"Lipid","Long chain fatty acid"
"13-HODE + 9-HODE",0.356442118210042,0.684365075633074,0.758065929932021,0.104720605649528,0.660623781691795,0.709924063907601,-0.251721512560514,"Lipid","Fatty acid, monohydroxy"
"15-methylpalmitate (isobar with 2-methylpalmitate)",0.513771256009014,7.19194229250087e-08,2.70755474541209e-07,0.404675803289902,8.7542836629254e-08,2.34533366969536e-07,-0.109095452719113,"Lipid","Fatty acid, branched"
