Comparison	Regulation_Grouping_2	Pathway	 fGSEA NES	 fGSEA padj	 fGSEA pval 	 fGSEA size
old-young	MDE&TMDS	HALLMARK_MITOTIC_SPINDLE	-2.2639226275822453	0.11037265606456206	0.0007564296520423602	8
old-young	MDE&TMDS	HALLMARK_G2M_CHECKPOINT	-1.6232878264293034	0.6061421447278729	0.02301255230125523	15
old-young	MDE&TMDS	REACTOME_FACTORS_INVOLVED_IN_MEGAKARYOCYTE_DEVELOPMENT_AND_PLATELET_PRODUCTION	-1.6060065020517906	0.6654055749402125	0.035545023696682464	9
old-young	MDE&TMDS	KEGG_GLYCEROPHOSPHOLIPID_METABOLISM	-1.5186740314546308	0.8387112058753851	0.08034934497816594	4
old-young	MDE&TMDS	REACTOME_POTASSIUM_CHANNELS	-1.5152384212673613	0.7345971563981043	0.059241706161137435	9
old-young	MDE&TMDS	BIOCARTA_IL1R_PATHWAY	-1.4902761210463242	0.8482469512195121	0.08962264150943396	6
old-young	MDE&TMDS	REACTOME_THE_ROLE_OF_NEF_IN_HIV1_REPLICATION_AND_DISEASE_PATHOGENESIS	-1.4730970847297795	0.8482469512195121	0.09810771470160116	4
old-young	MDE&TMDS	KEGG_HYPERTROPHIC_CARDIOMYOPATHY_HCM	-1.472899574254422	0.8482469512195121	0.10375	5
old-young	MDE&TMDS	HALLMARK_BILE_ACID_METABOLISM	-1.4484222489417975	0.8482469512195121	0.1121875	5
old-young	MDE&TMDS	KEGG_ARRHYTHMOGENIC_RIGHT_VENTRICULAR_CARDIOMYOPATHY_ARVC	-1.4216865067924291	0.8698585269991495	0.12809315866084425	4
old-young	MDE&TMDS	KEGG_PPAR_SIGNALING_PATHWAY	-1.3535961434488062	0.8857074277396226	0.1653566229985444	4
old-young	MDE&TMDS	REACTOME_ACTIVATION_OF_IRF3_IRF7_MEDIATED_BY_TBK1_IKK_EPSILON	-1.3384733846800472	0.8857074277396226	0.15625	5
old-young	MDE&TMDS	REACTOME_KINESINS	-1.3141582547123278	0.9424201207435512	0.18544395924308588	4
old-young	MDE&TMDS	BIOCARTA_TOLL_PATHWAY	-1.292329871645	0.9441097724230254	0.1997088791848617	4
old-young	MDE&TMDS	KEGG_P53_SIGNALING_PATHWAY	-1.256132400673022	0.9441097724230254	0.198125	5
old-young	MDE&TMDS	REACTOME_SIGNALING_BY_RHO_GTPASES	-1.2330308505168923	0.9441097724230254	0.2028828828828829	7
old-young	MDE&TMDS	REACTOME_SIGNAL_AMPLIFICATION	-1.23029498077166	0.949375	0.21375	5
old-young	MDE&TMDS	REACTOME_REGULATION_OF_INSULIN_SECRETION	-1.2289885288103406	0.949375	0.214375	5
old-young	MDE&TMDS	REACTOME_IL1_SIGNALING	-1.2196729442879624	0.9441097724230254	0.20653638814016173	6
old-young	MDE&TMDS	REACTOME_ADP_SIGNALLING_THROUGH_P2RY12	-1.1571221213563194	0.9954624491132008	0.27510917030567683	4
old-young	MDE&TMDS	REACTOME_REGULATION_OF_INSULIN_SECRETION_BY_GLUCAGON_LIKE_PEPTIDE1	-1.155432011426196	0.9954624491132008	0.2759825327510917	4
old-young	MDE&TMDS	REACTOME_CD28_DEPENDENT_VAV1_PATHWAY	-1.145356659256908	0.9954624491132008	0.2829694323144105	4
old-young	MDE&TMDS	REACTOME_METABOLISM_OF_CARBOHYDRATES	-1.1327052204565349	0.9954624491132008	0.28875	5
old-young	MDE&TMDS	REACTOME_CD28_CO_STIMULATION	-1.1289206070241775	0.9954624491132008	0.2857657657657658	7
old-young	MDE&TMDS	REACTOME_CD28_DEPENDENT_PI3K_AKT_SIGNALING	-1.1289206070241775	0.9954624491132008	0.2857657657657658	7
old-young	MDE&TMDS	REACTOME_HOST_INTERACTIONS_OF_HIV_FACTORS	-1.120921678033329	0.9954624491132008	0.2860512129380054	6
