"Pathway","Comparison","Regulation_Grouping_2","fGSEA NES","fGSEA padj","fGSEA pval","fGSEA size","gene","Genes_in_Pathway","Percentage_of_Pathway_detected","In Threshold?"
"Alanine and Aspartate Metabolism","Stage IV-Stage I","MDE&TMDS",-0.76731165605338,0.86706740756128,0.749896136269215,4,"SLC7A8",32,12.5,"NO"
"Alanine and Aspartate Metabolism","Stage IV-Stage I","MDE&TMDS",-0.76731165605338,0.86706740756128,0.749896136269215,4,"GOT1",32,12.5,"NO"
"Alanine and Aspartate Metabolism","Stage IV-Stage I","MDE&TMDS",-0.76731165605338,0.86706740756128,0.749896136269215,4,"AGXT",32,12.5,"NO"
"Alanine and Aspartate Metabolism","Stage IV-Stage I","MDE&TMDS",-0.76731165605338,0.86706740756128,0.749896136269215,4,"SLC38A1",32,12.5,"NO"
"Alanine and Aspartate Metabolism","Stage IV-Stage I","MDE&TMDS",-0.76731165605338,0.86706740756128,0.749896136269215,4,"SLC25A13",32,12.5,"NO"
"Alanine and Aspartate Metabolism","Stage IV-Stage I","MDE&TMDS",-0.76731165605338,0.86706740756128,0.749896136269215,4,"SLC36A1",32,12.5,"NO"
"Alanine and Aspartate Metabolism","Stage IV-Stage I","MDE&TMDS",-0.76731165605338,0.86706740756128,0.749896136269215,4,"SLC38A3",32,12.5,"NO"
"Alanine and Aspartate Metabolism","Stage IV-Stage I","MDE&TMDS",-0.76731165605338,0.86706740756128,0.749896136269215,4,"SLC1A7",32,12.5,"NO"
"Alanine and Aspartate Metabolism","Stage IV-Stage I","MDE&TMDS",-0.76731165605338,0.86706740756128,0.749896136269215,4,"ASNS",32,12.5,"NO"
"Alanine and Aspartate Metabolism","Stage IV-Stage I","MDE&TMDS",-0.76731165605338,0.86706740756128,0.749896136269215,4,"SLC38A4",32,12.5,"NO"
"Alanine and Aspartate Metabolism","Stage IV-Stage I","MDE&TMDS",-0.76731165605338,0.86706740756128,0.749896136269215,4,"SLC6A14",32,12.5,"NO"
"Alanine and Aspartate Metabolism","Stage IV-Stage I","MDE&TMDS",-0.76731165605338,0.86706740756128,0.749896136269215,4,"GPT",32,12.5,"NO"
"Alanine and Aspartate Metabolism","Stage IV-Stage I","MDE&TMDS",-0.76731165605338,0.86706740756128,0.749896136269215,4,"DDO",32,12.5,"NO"
"Alanine and Aspartate Metabolism","Stage IV-Stage I","MDE&TMDS",-0.76731165605338,0.86706740756128,0.749896136269215,4,"SLC1A1",32,12.5,"NO"
"Alanine and Aspartate Metabolism","Stage IV-Stage I","MDE&TMDS",-0.76731165605338,0.86706740756128,0.749896136269215,4,"SLC1A2",32,12.5,"NO"
"Alanine and Aspartate Metabolism","Stage IV-Stage I","MDE&TMDS",-0.76731165605338,0.86706740756128,0.749896136269215,4,"SLC1A4",32,12.5,"NO"
"Alanine and Aspartate Metabolism","Stage IV-Stage I","MDE&TMDS",-0.76731165605338,0.86706740756128,0.749896136269215,4,"SLC38A5",32,12.5,"NO"
"Alanine and Aspartate Metabolism","Stage IV-Stage I","MDE&TMDS",-0.76731165605338,0.86706740756128,0.749896136269215,4,"SLC38A2",32,12.5,"NO"
"Alanine and Aspartate Metabolism","Stage IV-Stage I","MDE&TMDS",-0.76731165605338,0.86706740756128,0.749896136269215,4,"SLC1A6",32,12.5,"NO"
"Alanine and Aspartate Metabolism","Stage IV-Stage I","MDE&TMDS",-0.76731165605338,0.86706740756128,0.749896136269215,4,"ASPA",32,12.5,"NO"
"Alanine and Aspartate Metabolism","Stage IV-Stage I","MDE&TMDS",-0.76731165605338,0.86706740756128,0.749896136269215,4,"ACY3",32,12.5,"NO"
"Alanine and Aspartate Metabolism","Stage IV-Stage I","MDE&TMDS",-0.76731165605338,0.86706740756128,0.749896136269215,4,"GOT2",32,12.5,"NO"
"Alanine and Aspartate Metabolism","Stage IV-Stage I","MDE&TMDS",-0.76731165605338,0.86706740756128,0.749896136269215,4,"SLC7A3",32,12.5,"NO"
"Alanine and Aspartate Metabolism","Stage IV-Stage I","MDE&TMDS",-0.76731165605338,0.86706740756128,0.749896136269215,4,"AGXT2",32,12.5,"NO"
"Alanine and Aspartate Metabolism","Stage IV-Stage I","MDE&TMDS",-0.76731165605338,0.86706740756128,0.749896136269215,4,"SLC1A5",32,12.5,"NO"
"Alanine and Aspartate Metabolism","Stage IV-Stage I","MDE&TMDS",-0.76731165605338,0.86706740756128,0.749896136269215,4,"SLC7A10",32,12.5,"NO"
"Alanine and Aspartate Metabolism","Stage IV-Stage I","MDE&TMDS",-0.76731165605338,0.86706740756128,0.749896136269215,4,"GPT2",32,12.5,"NO"
"Alanine and Aspartate Metabolism","Stage IV-Stage I","MDE&TMDS",-0.76731165605338,0.86706740756128,0.749896136269215,4,"ASRGL1",32,12.5,"NO"
"Alanine and Aspartate Metabolism","Stage IV-Stage I","MDE&TMDS",-0.76731165605338,0.86706740756128,0.749896136269215,4,"SLC1A3",32,12.5,"NO"
"Alanine and Aspartate Metabolism","Stage IV-Stage I","MDE&TMDS",-0.76731165605338,0.86706740756128,0.749896136269215,4,"AGXT2L1",32,12.5,"NO"
"Alanine and Aspartate Metabolism","Stage IV-Stage I","MDE&TMDS",-0.76731165605338,0.86706740756128,0.749896136269215,4,"SLC7A2",32,12.5,"NO"
"Alanine and Aspartate Metabolism","Stage IV-Stage I","MDE&TMDS",-0.76731165605338,0.86706740756128,0.749896136269215,4,"SLC25A12",32,12.5,"NO"
"Alanine and Aspartate Metabolism","Stage IV-Stage I","TMDS",0.835549366695232,0.793778984857414,0.737729057591623,3,"SLC7A8",32,9.38,"NO"
"Alanine and Aspartate Metabolism","Stage IV-Stage I","TMDS",0.835549366695232,0.793778984857414,0.737729057591623,3,"GOT1",32,9.38,"NO"
"Alanine and Aspartate Metabolism","Stage IV-Stage I","TMDS",0.835549366695232,0.793778984857414,0.737729057591623,3,"AGXT",32,9.38,"NO"
"Alanine and Aspartate Metabolism","Stage IV-Stage I","TMDS",0.835549366695232,0.793778984857414,0.737729057591623,3,"SLC38A1",32,9.38,"NO"
"Alanine and Aspartate Metabolism","Stage IV-Stage I","TMDS",0.835549366695232,0.793778984857414,0.737729057591623,3,"SLC25A13",32,9.38,"NO"
"Alanine and Aspartate Metabolism","Stage IV-Stage I","TMDS",0.835549366695232,0.793778984857414,0.737729057591623,3,"SLC36A1",32,9.38,"NO"
"Alanine and Aspartate Metabolism","Stage IV-Stage I","TMDS",0.835549366695232,0.793778984857414,0.737729057591623,3,"SLC38A3",32,9.38,"NO"
"Alanine and Aspartate Metabolism","Stage IV-Stage I","TMDS",0.835549366695232,0.793778984857414,0.737729057591623,3,"SLC1A7",32,9.38,"NO"
"Alanine and Aspartate Metabolism","Stage IV-Stage I","TMDS",0.835549366695232,0.793778984857414,0.737729057591623,3,"ASNS",32,9.38,"NO"
"Alanine and Aspartate Metabolism","Stage IV-Stage I","TMDS",0.835549366695232,0.793778984857414,0.737729057591623,3,"SLC38A4",32,9.38,"NO"
"Alanine and Aspartate Metabolism","Stage IV-Stage I","TMDS",0.835549366695232,0.793778984857414,0.737729057591623,3,"SLC6A14",32,9.38,"NO"
"Alanine and Aspartate Metabolism","Stage IV-Stage I","TMDS",0.835549366695232,0.793778984857414,0.737729057591623,3,"GPT",32,9.38,"NO"
"Alanine and Aspartate Metabolism","Stage IV-Stage I","TMDS",0.835549366695232,0.793778984857414,0.737729057591623,3,"DDO",32,9.38,"NO"
"Alanine and Aspartate Metabolism","Stage IV-Stage I","TMDS",0.835549366695232,0.793778984857414,0.737729057591623,3,"SLC1A1",32,9.38,"NO"
"Alanine and Aspartate Metabolism","Stage IV-Stage I","TMDS",0.835549366695232,0.793778984857414,0.737729057591623,3,"SLC1A2",32,9.38,"NO"
"Alanine and Aspartate Metabolism","Stage IV-Stage I","TMDS",0.835549366695232,0.793778984857414,0.737729057591623,3,"SLC1A4",32,9.38,"NO"
"Alanine and Aspartate Metabolism","Stage IV-Stage I","TMDS",0.835549366695232,0.793778984857414,0.737729057591623,3,"SLC38A5",32,9.38,"NO"
"Alanine and Aspartate Metabolism","Stage IV-Stage I","TMDS",0.835549366695232,0.793778984857414,0.737729057591623,3,"SLC38A2",32,9.38,"NO"
"Alanine and Aspartate Metabolism","Stage IV-Stage I","TMDS",0.835549366695232,0.793778984857414,0.737729057591623,3,"SLC1A6",32,9.38,"NO"
"Alanine and Aspartate Metabolism","Stage IV-Stage I","TMDS",0.835549366695232,0.793778984857414,0.737729057591623,3,"ASPA",32,9.38,"NO"
"Alanine and Aspartate Metabolism","Stage IV-Stage I","TMDS",0.835549366695232,0.793778984857414,0.737729057591623,3,"ACY3",32,9.38,"NO"
"Alanine and Aspartate Metabolism","Stage IV-Stage I","TMDS",0.835549366695232,0.793778984857414,0.737729057591623,3,"GOT2",32,9.38,"NO"
"Alanine and Aspartate Metabolism","Stage IV-Stage I","TMDS",0.835549366695232,0.793778984857414,0.737729057591623,3,"SLC7A3",32,9.38,"NO"
"Alanine and Aspartate Metabolism","Stage IV-Stage I","TMDS",0.835549366695232,0.793778984857414,0.737729057591623,3,"AGXT2",32,9.38,"NO"
"Alanine and Aspartate Metabolism","Stage IV-Stage I","TMDS",0.835549366695232,0.793778984857414,0.737729057591623,3,"SLC1A5",32,9.38,"NO"
"Alanine and Aspartate Metabolism","Stage IV-Stage I","TMDS",0.835549366695232,0.793778984857414,0.737729057591623,3,"SLC7A10",32,9.38,"NO"
"Alanine and Aspartate Metabolism","Stage IV-Stage I","TMDS",0.835549366695232,0.793778984857414,0.737729057591623,3,"GPT2",32,9.38,"NO"
"Alanine and Aspartate Metabolism","Stage IV-Stage I","TMDS",0.835549366695232,0.793778984857414,0.737729057591623,3,"ASRGL1",32,9.38,"NO"
"Alanine and Aspartate Metabolism","Stage IV-Stage I","TMDS",0.835549366695232,0.793778984857414,0.737729057591623,3,"SLC1A3",32,9.38,"NO"
"Alanine and Aspartate Metabolism","Stage IV-Stage I","TMDS",0.835549366695232,0.793778984857414,0.737729057591623,3,"AGXT2L1",32,9.38,"NO"
"Alanine and Aspartate Metabolism","Stage IV-Stage I","TMDS",0.835549366695232,0.793778984857414,0.737729057591623,3,"SLC7A2",32,9.38,"NO"
"Alanine and Aspartate Metabolism","Stage IV-Stage I","TMDS",0.835549366695232,0.793778984857414,0.737729057591623,3,"SLC25A12",32,9.38,"NO"
"Alanine and Aspartate Metabolism","Stage IV-Stage I","MDE",1.08714728494948,0.700483711747285,0.38400789733465,1,"SLC7A8",32,3.12,"NO"
"Alanine and Aspartate Metabolism","Stage IV-Stage I","MDE",1.08714728494948,0.700483711747285,0.38400789733465,1,"GOT1",32,3.12,"NO"
"Alanine and Aspartate Metabolism","Stage IV-Stage I","MDE",1.08714728494948,0.700483711747285,0.38400789733465,1,"AGXT",32,3.12,"NO"
"Alanine and Aspartate Metabolism","Stage IV-Stage I","MDE",1.08714728494948,0.700483711747285,0.38400789733465,1,"SLC38A1",32,3.12,"NO"
"Alanine and Aspartate Metabolism","Stage IV-Stage I","MDE",1.08714728494948,0.700483711747285,0.38400789733465,1,"SLC25A13",32,3.12,"NO"
"Alanine and Aspartate Metabolism","Stage IV-Stage I","MDE",1.08714728494948,0.700483711747285,0.38400789733465,1,"SLC36A1",32,3.12,"NO"
"Alanine and Aspartate Metabolism","Stage IV-Stage I","MDE",1.08714728494948,0.700483711747285,0.38400789733465,1,"SLC38A3",32,3.12,"NO"
"Alanine and Aspartate Metabolism","Stage IV-Stage I","MDE",1.08714728494948,0.700483711747285,0.38400789733465,1,"SLC1A7",32,3.12,"NO"
"Alanine and Aspartate Metabolism","Stage IV-Stage I","MDE",1.08714728494948,0.700483711747285,0.38400789733465,1,"ASNS",32,3.12,"NO"
"Alanine and Aspartate Metabolism","Stage IV-Stage I","MDE",1.08714728494948,0.700483711747285,0.38400789733465,1,"SLC38A4",32,3.12,"NO"
"Alanine and Aspartate Metabolism","Stage IV-Stage I","MDE",1.08714728494948,0.700483711747285,0.38400789733465,1,"SLC6A14",32,3.12,"NO"
"Alanine and Aspartate Metabolism","Stage IV-Stage I","MDE",1.08714728494948,0.700483711747285,0.38400789733465,1,"GPT",32,3.12,"NO"
"Alanine and Aspartate Metabolism","Stage IV-Stage I","MDE",1.08714728494948,0.700483711747285,0.38400789733465,1,"DDO",32,3.12,"NO"
"Alanine and Aspartate Metabolism","Stage IV-Stage I","MDE",1.08714728494948,0.700483711747285,0.38400789733465,1,"SLC1A1",32,3.12,"NO"
"Alanine and Aspartate Metabolism","Stage IV-Stage I","MDE",1.08714728494948,0.700483711747285,0.38400789733465,1,"SLC1A2",32,3.12,"NO"
"Alanine and Aspartate Metabolism","Stage IV-Stage I","MDE",1.08714728494948,0.700483711747285,0.38400789733465,1,"SLC1A4",32,3.12,"NO"
"Alanine and Aspartate Metabolism","Stage IV-Stage I","MDE",1.08714728494948,0.700483711747285,0.38400789733465,1,"SLC38A5",32,3.12,"NO"
"Alanine and Aspartate Metabolism","Stage IV-Stage I","MDE",1.08714728494948,0.700483711747285,0.38400789733465,1,"SLC38A2",32,3.12,"NO"
"Alanine and Aspartate Metabolism","Stage IV-Stage I","MDE",1.08714728494948,0.700483711747285,0.38400789733465,1,"SLC1A6",32,3.12,"NO"
"Alanine and Aspartate Metabolism","Stage IV-Stage I","MDE",1.08714728494948,0.700483711747285,0.38400789733465,1,"ASPA",32,3.12,"NO"
