Regulatory Cluster label,Cell type,p-value,odds-ratio,genes in cell type and cluster,genes in cluster but not cell type,genes in cell type but not cluster,genes not in cell type or cluster,gene_ids,gene_names,p.adj
MDS (+),CD45- Myofibroblast,0.002487404930243206,7.868421052631579,6,4,57,299,ENSG00000127955 ENSG00000134504 ENSG00000109654 ENSG00000074527 ENSG00000173598 ENSG00000143416,GNAI1 KCTD1 TRIM2 NTN4 NUDT4 SELENBP1,0.01720455076751551
MDS (+),CD45- PAX8+ renal epithelium,0.0037184791338615137,11.805194805194805,9,1,154,202,ENSG00000127955 ENSG00000126562 ENSG00000134504 ENSG00000005108 ENSG00000109654 ENSG00000139344 ENSG00000114378 ENSG00000173598 ENSG00000143416,GNAI1 WNK4 KCTD1 THSD7A TRIM2 AMDHD1 HYAL1 NUDT4 SELENBP1,0.02140545280813339
MDS (+),CD45- Vascular Endothelium,0.03222506310953351,4.159420289855072,5,5,69,287,ENSG00000127955 ENSG00000005108 ENSG00000109654 ENSG00000074527 ENSG00000114378,GNAI1 THSD7A TRIM2 NTN4 HYAL1,0.10698720952365125
MDS (+),CD45- ccRCC CA9+,0.26993927930448486,1.8031496062992125,5,5,127,229,ENSG00000127955 ENSG00000126562 ENSG00000134504 ENSG00000109654 ENSG00000143416,GNAI1 WNK4 KCTD1 TRIM2 SELENBP1,0.5151819283906488
MDS (+),TAM ISGhi,0.0013955238567586,8.891891891891891,7,3,74,282,ENSG00000127955 ENSG00000005108 ENSG00000109654 ENSG00000074527 ENSG00000114378 ENSG00000173598 ENSG00000143416,GNAI1 THSD7A TRIM2 NTN4 HYAL1 NUDT4 SELENBP1,0.012869831123440421
MDS (-),CD45- PAX8+ renal epithelium,0.0016152326750084078,7.986754966887418,12,2,151,201,ENSG00000130413 ENSG00000099812 ENSG00000159166 ENSG00000182795 ENSG00000198203 ENSG00000127831 ENSG00000088899 ENSG00000127324 ENSG00000143412 ENSG00000175707 ENSG00000145626 ENSG00000143627,STK33 MISP LAD1 C1orf116 SULT1C2 VIL1 LZTS3 TSPAN8 ANXA9 KDF1 UGT3A1 PKLR,0.013406431202569784
MDS (-),CD45- ccRCC CA9+,0.39057920839978566,1.3452380952380953,6,8,126,226,ENSG00000130413 ENSG00000099812 ENSG00000159166 ENSG00000198203 ENSG00000088899 ENSG00000173786,STK33 MISP LAD1 SULT1C2 LZTS3 CNP,0.6356485156310238
MDE (+),CD45- Myofibroblast,0.008392043632662828,3.4404761904761907,9,14,54,289,ENSG00000116991 ENSG00000140939 ENSG00000024422 ENSG00000138722 ENSG00000105974 ENSG00000132639 ENSG00000091127 ENSG00000173269 ENSG00000173548,SIPA1L2 NOL3 EHD2 MMRN1 CAV1 SNAP25 PUS7 MMRN2 SNX33,0.03869664563950082
MDE (+),CD45- PAX8+ renal epithelium,0.2917295257151867,1.387116195063215,12,11,151,192,ENSG00000140939 ENSG00000024422 ENSG00000109107 ENSG00000133619 ENSG00000105974 ENSG00000185100 ENSG00000132639 ENSG00000173548 ENSG00000179403 ENSG00000104881 ENSG00000141756 ENSG00000123610,NOL3 EHD2 ALDOC KRBA1 CAV1 ADSS1 SNAP25 SNX33 VWA1 PPP1R13L FKBP10 TNFAIP6,0.5151819283906488
MDE (+),CD45- Vascular Endothelium,0.0004182745130855559,4.944281524926686,12,11,62,281,ENSG00000116991 ENSG00000024422 ENSG00000138722 ENSG00000105974 ENSG00000104881 ENSG00000173269 ENSG00000173548 ENSG00000179403 ENSG00000183688 ENSG00000170962 ENSG00000185100 ENSG00000138411,SIPA1L2 EHD2 MMRN1 CAV1 PPP1R13L MMRN2 SNX33 VWA1 RFLNB PDGFD ADSS1 HECW2,0.00578613076435019
MDE (+),CD45- ccRCC CA9+,0.03167003809118133,2.447058823529412,13,10,119,224,ENSG00000116991 ENSG00000140939 ENSG00000024422 ENSG00000109107 ENSG00000133619 ENSG00000105974 ENSG00000185100 ENSG00000132639 ENSG00000091127 ENSG00000173548 ENSG00000104881 ENSG00000141756 ENSG00000123610,SIPA1L2 NOL3 EHD2 ALDOC KRBA1 CAV1 ADSS1 SNAP25 PUS7 SNX33 PPP1R13L FKBP10 TNFAIP6,0.10698720952365125
