ONTOLOGY,ID,Description,GeneRatio,BgRatio,pvalue,p.adjust,qvalue,geneID,Count,Data
BP,GO:0016054,organic acid catabolic process,113/2134,258/18862,1.7959543389400794e-40,1.0080691704470668e-36,8.648938000685121e-37,CYP26B1/AASS/ACAA1/OAT/HSD17B10/ACAT1/ACACB/MCCC1/ARG2/BCKDHB/NOS1/XYLB/CRAT/GCAT/PCK2/HAO1/AHCY/RENBP/CRYM/QPRT/ETFB/GCDH/OGDH/PHYH/DAO/ALDH5A1/AGXT2/EHHADH/HGD/PCCB/CTH/HAO2/ACADM/HMGCL/AKR1A1/ABCD3/ALDH8A1/DLST/ALDH6A1/GOT1/SARDH/PCK1/GOT2/ECHS1/MPST/TST/GAD1/IVD/CDO1/SESN2/HACL1/MCCC2/RIDA/DBT/HADH/AMDHD1/SDSL/SORD/SLC27A2/GCSH/GADL1/ALDH1L1/AMT/MMUT/HMGCLL1/ADHFE1/IDNK/MAT1A/ACAD8/QDPR/DDAH1/HPD/ALDH4A1/CBS/FTCD/SLC25A44/ACOX1/FABP1/PPM1K/BDH2/ALDH7A1/CRYL1/GPT2/CRABP1/LDHD/SLC27A4/GPT/ACOX2/DCXR/CEL/PAH/CYP4F11/AGXT/PCCA/SHMT1/GLDC/PIPOX/ABAT/AFMID/CYP4F2/CYP4F12/CYP4F3/PPARA/CYP4A11/HYKK/IDO2/ACADSB/HIBCH/ECI2/PLIN5/HOGA1/PRODH2/CBSL,113,RNAseq_Negative_LogFC-1_pvalue0.05.csv
BP,GO:0044282,small molecule catabolic process,151/2134,431/18862,1.610935786469875e-39,4.521091284727704e-36,3.878963801631409e-36,CYP26B1/UPP2/AASS/CYP24A1/ENTPD2/ACAA1/HAGH/OAT/HSD17B10/ACAT1/ACACB/MCCC1/ARG2/BCKDHB/OXCT1/NOS1/XYLB/CRAT/UPB1/GCAT/MIOX/PCK2/HAO1/AHCY/RENBP/CRYM/QPRT/DHDH/ETFB/GCDH/OGDH/PHYH/GALK1/DAO/CYP27B1/ALDH2/ALDH5A1/AGXT2/EHHADH/HGD/PCCB/CTH/HAO2/NT5C1A/ACADM/HMGCL/AKR1A1/ABCD3/ALDH8A1/DLST/ALDH6A1/GOT1/SARDH/PFKFB2/PCK1/GOT2/PNKD/ECHS1/MPST/TST/GAD1/IVD/CDO1/APOE/SESN2/HACL1/MCCC2/RIDA/ALDH3B2/ALDOB/ALDH1B1/DBT/KHK/HADH/AMDHD1/SDSL/SORD/SLC27A2/CYP1A1/GCSH/PKLR/GALM/GADL1/ALDH1L1/AMT/MMUT/HMGCLL1/CYP39A1/ADHFE1/DPYS/IDNK/TKFC/MAT1A/ACAD8/QDPR/DDAH1/FUT6/HPD/ALDH4A1/CBS/FTCD/SLC25A44/BDH1/ACOX1/FABP1/PPM1K/BDH2/ALDH7A1/CRYL1/GPT2/CRABP1/LDHD/SLC27A4/GPT/ENTPD3/GLYCTK/ACOX2/UMOD/DCXR/NUDT9/CEL/PAH/CYP4F11/AGXT/PCCA/SHMT1/GLDC/PIPOX/ABAT/AFMID/INPP5J/CYP4F2/CYP4F12/CYP4F3/PPARA/CYP4A11/ENTPD5/HYKK/IDO2/ENTPD8/ACADSB/SULT1A2/AKR1B10/HIBCH/ECI2/PNP/GK/PLIN5/HOGA1/PRODH2/CBSL,151,RNAseq_Negative_LogFC-1_pvalue0.05.csv
BP,GO:0046395,carboxylic acid catabolic process,104/2134,243/18862,3.0958150275713695e-36,5.792269916586033e-33,4.969597807417199e-33,CYP26B1/AASS/ACAA1/OAT/HSD17B10/ACAT1/ACACB/MCCC1/ARG2/NOS1/XYLB/CRAT/GCAT/PCK2/HAO1/AHCY/RENBP/CRYM/QPRT/ETFB/GCDH/OGDH/PHYH/DAO/ALDH5A1/AGXT2/EHHADH/HGD/PCCB/HAO2/ACADM/HMGCL/AKR1A1/ABCD3/ALDH8A1/DLST/ALDH6A1/GOT1/SARDH/PCK1/GOT2/ECHS1/GAD1/IVD/CDO1/SESN2/HACL1/MCCC2/RIDA/HADH/AMDHD1/SDSL/SORD/SLC27A2/GCSH/ALDH1L1/AMT/MMUT/HMGCLL1/ADHFE1/IDNK/MAT1A/ACAD8/QDPR/DDAH1/HPD/ALDH4A1/CBS/FTCD/ACOX1/FABP1/BDH2/ALDH7A1/CRYL1/GPT2/CRABP1/LDHD/SLC27A4/GPT/ACOX2/DCXR/CEL/PAH/CYP4F11/AGXT/PCCA/SHMT1/GLDC/PIPOX/ABAT/AFMID/CYP4F2/CYP4F12/CYP4F3/PPARA/CYP4A11/HYKK/IDO2/HIBCH/ECI2/PLIN5/HOGA1/PRODH2/CBSL,104,RNAseq_Negative_LogFC-1_pvalue0.05.csv
BP,GO:0009063,cellular amino acid catabolic process,56/2134,106/18862,8.902928442531859e-26,1.249303433698283e-22,1.0718657269627171e-22,AASS/OAT/MCCC1/ARG2/NOS1/GCAT/AHCY/CRYM/GCDH/OGDH/DAO/ALDH5A1/AGXT2/HGD/HMGCL/ALDH8A1/DLST/ALDH6A1/GOT1/SARDH/GOT2/GAD1/IVD/CDO1/MCCC2/RIDA/AMDHD1/SDSL/GCSH/AMT/HMGCLL1/ADHFE1/MAT1A/ACAD8/QDPR/DDAH1/HPD/ALDH4A1/CBS/FTCD/ALDH7A1/GPT2/GPT/PAH/AGXT/SHMT1/GLDC/PIPOX/ABAT/AFMID/HYKK/IDO2/HIBCH/HOGA1/PRODH2/CBSL,56,RNAseq_Negative_LogFC-1_pvalue0.05.csv
BP,GO:1901605,alpha-amino acid metabolic process,75/2134,191/18862,1.1975651306871313e-23,1.3443866157093735e-20,1.1534443100828684e-20,AASS/IYD/DPEP1/CPS1/OAT/HSD17B10/ACAT1/ARG2/NOX4/NOS1/PHGDH/GGT1/GCAT/HNF4A/AHCY/CRYM/GCDH/OGDH/DAO/ALDH5A1/AGXT2/HGD/CTH/AGMAT/ALDH8A1/DLST/GOT1/SARDH/GNMT/GOT2/MPST/TST/GAD1/CDO1/ASS1/RIDA/BHMT2/PSAT1/AMDHD1/SDSL/GCSH/AMT/BHMT/MMUT/ADHFE1/GLYAT/MAT1A/QDPR/DDAH1/SLC7A7/HPD/ALDH4A1/CBS/FTCD/NAGS/ALDH7A1/GPT2/GLYATL1/GPT/PAH/TTC36/AGXT/MSRA/SHMT1/GLDC/PIPOX/SEPHS2/ADI1/AFMID/HYKK/IDO2/ACADSB/HOGA1/PRODH2/CBSL,75,RNAseq_Negative_LogFC-1_pvalue0.05.csv
BP,GO:1901606,alpha-amino acid catabolic process,47/2134,88/18862,4.04551404898925e-22,3.7845783928294432e-19,3.247057328794004e-19,AASS/OAT/HSD17B10/ACAT1/ARG2/NOS1/GCAT/AHCY/CRYM/GCDH/OGDH/DAO/AGXT2/HGD/ALDH8A1/DLST/GOT1/SARDH/GOT2/GAD1/CDO1/RIDA/SDSL/GCSH/AMT/ADHFE1/MAT1A/QDPR/DDAH1/HPD/ALDH4A1/CBS/ALDH7A1/GPT2/GPT/PAH/AGXT/SHMT1/GLDC/PIPOX/AFMID/HYKK/IDO2/ACADSB/HOGA1/PRODH2/CBSL,47,RNAseq_Negative_LogFC-1_pvalue0.05.csv
BP,GO:0006814,sodium ion transport,82/2134,239/18862,2.8923241424695376e-21,2.3192307730973592e-18,1.989832022826787e-18,HECW1/SLC13A2/CNTN1/NEDD4L/SLC4A8/PRSS8/WNK1/SLC6A16/SLC9A3/PTPN3/SLC12A3/SLC6A15/SLC12A1/ATP12A/SLC4A4/SLC13A1/SLC4A11/NOS1/FXYD3/HCN2/SLC6A2/SLC6A4/ASIC2/RANGRF/ASIC1/SCNN1A/SLC4A9/SLC9A2/SLC5A7/ATP6V1B1/SLC17A1/WNK4/ATP1B2/TRPM4/SLC34A1/SLC41A1/SCN2A/SCN7A/HCN4/SLC5A2/SLC13A5/ATP1B1/HCN3/KLHL3/SLC5A12/DRD2/SCN2B/FXYD4/ANK3/GPD1L/SCN3A/SLC5A10/SLC24A2/SLC13A3/SLC5A11/SPTBN4/ATP1A1/SLC6A20/WNK2/SCNN1G/SLC3A2/SCN11A/SCNN1B/PCSK9/UMOD/SLC38A11/SLC23A1/SLC6A19/SLC9A4/SLC8A1/NKAIN3/ATP4B/TPCN1/SLC38A3/CACNA1H/WNK3/SCN8A/SLC6A17/SLC34A3/SLC5A3/SLC10A5/ASIC5,82,RNAseq_Negative_LogFC-1_pvalue0.05.csv
BP,GO:0006520,cellular amino acid metabolic process,98/2134,331/18862,6.912200012827944e-20,4.849772334000407e-17,4.160962507722085e-17,AASS/IYD/LARS2/DPEP1/CPS1/OAT/HSD17B10/ACAT1/MCCC1/ARG2/NOX4/NOS1/PHGDH/UPB1/GGT1/GCAT/HNF4A/AHCY/CRYM/GCDH/OGDH/DAO/ALDH5A1/AGXT2/HGD/CTH/AGMAT/HMGCL/ALDH8A1/DLST/ALDH6A1/GOT1/SARDH/PEPD/GNMT/GOT2/MPST/TST/GAD1/IVD/CDO1/ASS1/MCCC2/DDC/RIDA/BHMT2/FOLH1B/PSAT1/BPHL/AMDHD1/SDSL/GCSH/GADL1/AMT/BHMT/MMUT/HMGCLL1/SLC16A2/ADHFE1/DPYS/GLYAT/MAT1A/ACAD8/QDPR/DDAH1/SLC7A7/HPD/ALDH4A1/CBS/FTCD/NAGS/PM20D1/ALDH7A1/GPT2/GLYATL1/FN3K/GPT/PAH/TTC36/AGXT/MSRA/SHMT1/GLDC/PIPOX/SEPHS2/ADI1/ABAT/AFMID/NAT8L/HYKK/IDO2/ACADSB/HIBCH/DIO1/HOGA1/ACY1/PRODH2/CBSL,98,RNAseq_Negative_LogFC-1_pvalue0.05.csv
BP,GO:0035725,sodium ion transmembrane transport,63/2134,171/18862,2.0223616665946832e-18,1.2612795593995504e-15,1.082140891774348e-15,HECW1/NEDD4L/SLC4A8/WNK1/SLC6A16/SLC9A3/PTPN3/SLC12A3/SLC6A15/SLC12A1/ATP12A/SLC4A4/SLC4A11/NOS1/FXYD3/HCN2/SLC6A2/SLC6A4/ASIC2/RANGRF/ASIC1/SCNN1A/SLC4A9/SLC9A2/SLC17A1/WNK4/ATP1B2/TRPM4/SLC34A1/SLC41A1/SCN2A/SCN7A/HCN4/SLC5A2/ATP1B1/HCN3/SCN2B/FXYD4/ANK3/GPD1L/SCN3A/SLC5A10/SLC24A2/ATP1A1/SLC6A20/WNK2/SCNN1G/SLC3A2/SCN11A/SCNN1B/PCSK9/SLC23A1/SLC6A19/SLC9A4/SLC8A1/ATP4B/TPCN1/CACNA1H/WNK3/SCN8A/SLC6A17/SLC34A3/ASIC5,63,RNAseq_Negative_LogFC-1_pvalue0.05.csv
BP,GO:0015711,organic anion transport,103/2134,376/18862,3.740392488062569e-18,2.0994823035495202e-15,1.8012942771459215e-15,SLC4A1/SLC25A5/SLC13A2/SLC7A9/ABCC2/CASR/SLC4A8/MPC1/SYT1/SLC6A15/LLGL2/CEACAM1/SLC4A4/SLCO1A2/SLC4A11/SLC26A4/ABCC6/SLC7A8/PLA2G3/AVP/SLC52A3/OXT/SLC25A15/CA2/RAB3A/SLC2A9/FOLR1/FOLR3/SLC26A8/SLC4A9/SLC4A3/SLC19A2/SLC16A7/SLC17A1/SLC7A10/NR0B2/NMUR2/SLC22A7/STRA6/PLA2G12B/MTTP/SLC13A5/SFXN5/SLC25A38/SLC26A1/SLC22A3/SLC16A2/SLC26A7/NTRK2/SLC25A25/SLC5A12/SLC43A1/DRD2/SLC22A9/SLC25A4/GRM1/PLA2R1/SLC7A7/SFXN2/SLC13A3/ACE/SLC6A20/GRM2/NPY5R/SLC7A13/SLC16A9/SLC27A4/CA4/SLC43A2/SLC3A2/SLC22A11/BDKRB2/CA7/PLA2G4F/UMOD/SLC16A5/SLC23A1/SLC22A13/SLC16A11/SLC16A13/SLC26A9/KCNJ10/AGTR2/SLC25A42/GLTPD2/SLC25A18/SLC25A10/SLC22A10/CYP4F2/SLC51B/SLC36A2/CYP4A11/SLC38A3/SLC22A25/SLC6A17/SLC25A29/SLC22A24/SLC22A12/SLC22A6/SLC44A4/SLC26A6/AQP1/SLC10A5,103,RNAseq_Negative_LogFC-1_pvalue0.05.csv
