ONTOLOGY,ID,Description,GeneRatio,BgRatio,pvalue,p.adjust,qvalue,geneID,Count,Data
CC,GO:0016324,apical plasma membrane,0.07710843373493977,351/19520,4.774243820805312e-12,1.499112559732868e-09,1.3116606707686176e-09,DPEP1/CASR/SLC9A3/SLC12A1/SLC5A1/UPK3A/CUBN/KCNA1/PAPPA2/ECRG4/SLC10A2/SLC34A1/PRKG2/SLC5A12/SLC22A8/FRMD1/PTH1R/CD300LG/SLC6A20/AMN/CA4/SLC22A11/PKHD1/SLC22A13/CYP4A11/AJAP1/SLC22A12/SLC34A3/SLC44A4/AQP1/MGAM/GPIHBP1,32,RNA
CC,GO:0045177,apical part of cell,0.0819277108433735,414/19520,1.8415248522503636e-11,2.8911940180330703e-09,2.5296736128281307e-09,DPEP1/CASR/SLC9A3/SLC12A1/SLC5A1/UPK3A/CUBN/KCNA1/PAPPA2/ECRG4/SLC10A2/SLC34A1/EDAR/PRKG2/SLC5A12/SLC22A8/FRMD1/PTH1R/CD300LG/FABP1/SLC6A20/AMN/CA4/SLC22A11/PKHD1/SLC22A13/CYP4A11/AJAP1/SLC22A12/SLC34A3/SLC44A4/AQP1/MGAM/GPIHBP1,34,RNA
MF,GO:0008509,anion transmembrane transporter activity,0.08629441624365482,459/18337,3.7203977725037957e-10,2.1429491169621865e-07,1.828869220799234e-07,SLC9A3/SLC12A1/SLC5A1/SLC10A2/SLC7A10/SLC22A7/SLC28A2/RBP4/SLC25A47/SLC27A2/SLC5A2/SLC25A52/SLC14A1/SLC6A3/SLC25A48/GABRB2/SLC5A12/SLC22A8/SLC16A12/SLC5A11/AZGP1/GABRB1/SLC6A20/SLC16A9/GABRB3/SLC22A11/SLC22A13/SLC16A11/GABRG3/SLC22A12/SLC22A6/SLC44A4/AQP1/GABRQ,34,RNA
CC,GO:0031526,brush border membrane,0.02891566265060241,59/19520,3.305690937932896e-09,3.459956515036432e-07,3.027316964212232e-07,SLC9A3/SLC5A1/CUBN/SLC34A1/SLC28A2/PTH1R/AMN/CA4/DRD5/SLC22A12/SLC34A3/AQP1,12,RNA
MF,GO:0015291,secondary active transmembrane transporter activity,0.0532994923857868,239/18337,5.3742470764913874e-08,1.5477831580295195e-05,1.3209333603797253e-05,SLC9A3/SLC12A1/SLC5A1/SLC8A3/SLC10A2/SLC34A1/SLC22A7/SLC28A2/SLC5A2/SLC6A3/SLC5A12/SLC22A8/SLC16A12/SLC5A11/SLC6A20/SLC16A9/SLC22A11/SLC16A11/SLC47A2/SLC22A6/SLC34A3,21,RNA
CC,GO:0005903,brush border,0.03132530120481928,101/19520,2.2538354233728458e-07,1.7692608073476838e-05,1.548029067106086e-05,SLC9A3/SLC5A1/CUBN/VIL1/SLC34A1/SLC28A2/PTH1R/AMN/CA4/DRD5/SLC22A12/SLC34A3/AQP1,13,RNA
MF,GO:0015370,solute:sodium symporter activity,0.027918781725888325,72/18337,3.6587075582713193e-07,7.024718511880933e-05,5.995145367413003e-05,SLC12A1/SLC5A1/SLC10A2/SLC34A1/SLC28A2/SLC5A2/SLC6A3/SLC5A12/SLC5A11/SLC6A20/SLC34A3,11,RNA
MF,GO:0015081,sodium ion transmembrane transporter activity,0.03807106598984772,146/18337,6.05045790046309e-07,7.439672713029053e-05,6.349282085132617e-05,SCN4A/SLC9A3/SLC12A1/SLC5A1/SLC8A3/SLC10A2/SLC34A1/SLC28A2/SLC5A2/SLC6A3/SCN1A/SLC5A12/SLC5A11/SLC6A20/SLC34A3,15,RNA
MF,GO:0022804,active transmembrane transporter activity,0.05583756345177665,301/18337,6.458049230059942e-07,7.439672713029053e-05,6.349282085132617e-05,SLC9A3/SLC12A1/SLC5A1/SLC8A3/SLC10A2/SLC34A1/SLC22A7/SLC28A2/SLC5A2/ABCA8/SLC6A3/SLC5A12/SLC22A8/SLC16A12/SLC5A11/SLC6A20/SLC16A9/SLC22A11/SLC16A11/SLC47A2/SLC22A6/SLC34A3,22,RNA
MF,GO:0022853,active ion transmembrane transporter activity,0.04314720812182741,206/18337,2.398232943316094e-06,0.00021057966305173105,0.00017971619635445612,SLC9A3/SLC12A1/SLC5A1/SLC8A3/SLC10A2/SLC34A1/SLC22A7/SLC28A2/SLC5A2/SLC6A3/SLC5A12/SLC22A8/SLC5A11/SLC6A20/SLC22A11/SLC22A6/SLC34A3,17,RNA
MF,GO:0015293,symporter activity,0.03553299492385787,143/18337,2.559127849587009e-06,0.00021057966305173105,0.00017971619635445612,SLC12A1/SLC5A1/SLC10A2/SLC34A1/SLC28A2/SLC5A2/SLC6A3/SLC5A12/SLC16A12/SLC5A11/SLC6A20/SLC16A9/SLC16A11/SLC34A3,14,RNA
MF,GO:0039706,co-receptor binding,0.012690355329949238,13/18337,4.985472751222825e-06,0.0003589540380880434,0.0003063441808975077,DKK4/DKK1/WNT3A/DKK2/WNT9B,5,RNA
MF,GO:0046873,metal ion transmembrane transporter activity,0.06345177664974619,425/18337,5.890582918480027e-06,0.00037699730678272174,0.0003217429500503126,SCN4A/SLC9A3/TRPC7/SLC12A1/CACNG5/TRPM3/SLC5A1/KCNK10/SLC8A3/KCNA1/SLC10A2/SLC34A1/SLC28A2/SLC5A2/SLC6A3/SCN1A/SLC5A12/KCNJ15/SLC5A11/KCNJ9/SLC6A20/SLC30A8/KCNH6/SLC34A3/AQP1,25,RNA
CC,GO:0098862,cluster of actin-based cell projections,0.033734939759036145,156/19520,6.361184923270752e-06,0.0003994824131814032,0.0003495303715734034,SLC9A3/SLC5A1/CUBN/VIL1/SLC34A1/SLC28A2/PTH1R/AMN/CA4/DRD5/TPRN/SLC22A12/SLC34A3/AQP1,14,RNA
MF,GO:0015294,solute:cation symporter activity,0.027918781725888325,99/18337,9.087324360733852e-06,0.0005234298831782699,0.0004467137343644956,SLC12A1/SLC5A1/SLC10A2/SLC34A1/SLC28A2/SLC5A2/SLC6A3/SLC5A12/SLC5A11/SLC6A20/SLC34A3,11,RNA
MF,GO:0008236,serine-type peptidase activity,0.03807106598984772,186/18337,1.2375859676570066e-05,0.0006480450157913053,0.0005530647338716,CD5L/F11/CMA1/TPSD1/CTSG/PROC/PLG/PROZ/DPP6/PRSS37/PRSS57/OVCH1/PRTN3/LPA/PRSS58,15,RNA
MF,GO:0017171,serine hydrolase activity,0.03807106598984772,188/18337,1.4064381521511155e-05,0.0006750903130325355,0.0005761461553110271,CD5L/F11/CMA1/TPSD1/CTSG/PROC/PLG/PROZ/DPP6/PRSS37/PRSS57/OVCH1/PRTN3/LPA/PRSS58,15,RNA
MF,GO:0004252,serine-type endopeptidase activity,0.03553299492385787,168/18337,1.6627395932994444e-05,0.0007367215428772922,0.0006287444454014902,CD5L/F11/CMA1/TPSD1/CTSG/PROC/PLG/PROZ/PRSS37/PRSS57/OVCH1/PRTN3/LPA/PRSS58,14,RNA
CC,GO:0044306,neuron projection terminus,0.02891566265060241,130/19520,2.189352164230648e-05,0.0011457609659473,0.001002492833095,CASR/PTPRN/SCGN/SLC8A3/KCNA1/TNN/UNC13C/CRHBP/NTRK2/GPER1/ATCAY/UCN3,12,RNA
CC,GO:0043679,axon terminus,0.02650602409638554,114/19520,3.1778606213510095e-05,0.0012760777364496,0.0011165145464745,CASR/PTPRN/SCGN/SLC8A3/KCNA1/TNN/UNC13C/CRHBP/NTRK2/GPER1/UCN3,11,RNA
CC,GO:0045178,basal part of cell,0.04096385542168675,258/19520,4.063941835826848e-05,0.0012760777364496,0.0011165145464745,CASR/MLC1/CHRM3/SLC22A7/ABCA8/SLC14A1/SLC22A8/SLC16A12/PTH1R/CD300LG/HPGD/FRMPD2/KRT14/AJAP1/SLC22A6/AQP1/GPIHBP1,17,RNA
CC,GO:1902711,GABA-A receptor complex,0.012048192771084338,19/19520,3.85483781585409e-05,0.0012760777364496,0.0011165145464745,GABRB2/GABRB1/GABRB3/GABRG3/GABRQ,5,RNA
CC,GO:0031253,cell projection membrane,0.04819277108433735,337/19520,3.900521992019449e-05,0.0012760777364496,0.0011165145464745,DPEP1/SLC9A3/SLC5A1/CUBN/SLC34A1/RAB25/SLC28A2/PTH1R/GPER1/AMN/CA4/DRD5/GABRG3/ROBO2/MAPT/FZD9/SLC22A12/CNGA1/SLC34A3/AQP1,20,RNA
CC,GO:0016323,basolateral plasma membrane,0.03614457831325301,211/19520,4.846912358083662e-05,0.0013215211083891,0.0011562755926569,CASR/MLC1/SLC22A7/ABCA8/SLC14A1/SLC22A8/SLC16A12/PTH1R/CD300LG/HPGD/FRMPD2/AJAP1/SLC22A6/AQP1/GPIHBP1,15,RNA
CC,GO:1902710,GABA receptor complex,0.012048192771084338,20/19520,5.050399140340705e-05,0.0013215211083891,0.0011562755926569,GABRB2/GABRB1/GABRB3/GABRG3/GABRQ,5,RNA
