ONTOLOGY,ID,Description,GeneRatio,BgRatio,pvalue,p.adjust,qvalue,geneID,Count,Data
BP,GO:0002526,acute inflammatory response,30/814,107/18862,8.99240284803451e-17,4.321748808765386e-13,3.7645038028035e-13,ITIH4/OSM/HAMP/IL1A/FN1/F3/TREM1/APOL2/LBP/EPO/APCS/SAA2/IL6/S100A8/PTGES/ADAM8/ADORA1/IL31RA/SERPINF2/CEBPB/SAA1/IL20RB/F2/F8/SERPINA3/SERPINA1/C2CD4A/ORM2/ORM1/HPR,30,RNA
BP,GO:0006953,acute-phase response,20/814,46/18862,7.753710028662138e-16,1.863216519887512e-12,1.6229739359994382e-12,ITIH4/HAMP/IL1A/FN1/APOL2/LBP/EPO/APCS/SAA2/IL6/PTGES/SERPINF2/CEBPB/SAA1/F2/F8/SERPINA3/SERPINA1/ORM2/ORM1,20,RNA
BP,GO:0045229,external encapsulating structure organization,49/814,396/18862,3.149317886355541e-11,5.0452072539415764e-08,4.394679731240696e-08,CD44/IBSP/LAMC2/CPB2/TLL2/APLP1/HAS1/SERPINE1/KAZALD1/VTN/NR2E1/COL7A1/FN1/QSOX1/MMP8/TTR/MMP19/SOX9/TGM3/COL5A1/ITGB4/LOXL2/IL6/FOXF2/CYP1B1/ADAMTS14/FBN2/FKBP10/COL8A1/MMP3/ADAM8/DSPP/DMP1/ITGA5/PDPN/PTX3/MELTF/MMP10/SERPINF2/KLK5/COL22A1/HAS2/FGG/FGA/FGB/MMP1/LAMB3/EGFL6/MMP12,49,RNA
BP,GO:0030198,extracellular matrix organization,48/814,393/18862,7.939951512479305e-11,8.340700726912947e-08,7.265253256002976e-08,CD44/IBSP/LAMC2/CPB2/TLL2/APLP1/HAS1/SERPINE1/KAZALD1/VTN/NR2E1/COL7A1/FN1/QSOX1/MMP8/TTR/MMP19/SOX9/COL5A1/ITGB4/LOXL2/IL6/FOXF2/CYP1B1/ADAMTS14/FBN2/FKBP10/COL8A1/MMP3/ADAM8/DSPP/DMP1/ITGA5/PDPN/PTX3/MELTF/MMP10/SERPINF2/KLK5/COL22A1/HAS2/FGG/FGA/FGB/MMP1/LAMB3/EGFL6/MMP12,48,RNA
BP,GO:0043062,extracellular structure organization,48/814,394/18862,8.677383194874059e-11,8.340700726912947e-08,7.265253256002976e-08,CD44/IBSP/LAMC2/CPB2/TLL2/APLP1/HAS1/SERPINE1/KAZALD1/VTN/NR2E1/COL7A1/FN1/QSOX1/MMP8/TTR/MMP19/SOX9/COL5A1/ITGB4/LOXL2/IL6/FOXF2/CYP1B1/ADAMTS14/FBN2/FKBP10/COL8A1/MMP3/ADAM8/DSPP/DMP1/ITGA5/PDPN/PTX3/MELTF/MMP10/SERPINF2/KLK5/COL22A1/HAS2/FGG/FGA/FGB/MMP1/LAMB3/EGFL6/MMP12,48,RNA
BP,GO:0010466,negative regulation of peptidase activity,36/814,257/18862,4.5590861092799877e-10,3.186678095908707e-07,2.7757887700525497e-07,PLAUR/HGF/CD44/ITIH4/ITIH1/SERPIND1/TFPI2/SERPINE1/AMBP/VTN/COL7A1/DHCR24/PI3/SLPI/WFDC3/TNFSF14/IFI6/PI15/SERPINA10/SPINT4/CSTB/ITIH3/PTTG1/SERPINA12/SERPINF2/WFDC13/WFDC12/CST2/WFDC5/SFN/WFDC10B/SERPINA11/SERPINA3/SERPINA1/ANXA8L1/ANXA8,36,RNA
BP,GO:0010951,negative regulation of endopeptidase activity,35/814,245/18862,4.6414370934999883e-10,3.186678095908707e-07,2.7757887700525497e-07,PLAUR/HGF/CD44/ITIH4/ITIH1/SERPIND1/TFPI2/SERPINE1/AMBP/VTN/COL7A1/DHCR24/PI3/SLPI/WFDC3/TNFSF14/IFI6/SERPINA10/SPINT4/CSTB/ITIH3/PTTG1/SERPINA12/SERPINF2/WFDC13/WFDC12/CST2/WFDC5/SFN/WFDC10B/SERPINA11/SERPINA3/SERPINA1/ANXA8L1/ANXA8,35,RNA
BP,GO:0019730,antimicrobial humoral response,24/814,142/18862,9.187674178491289e-09,5.519495262728641e-06,4.807813185244717e-06,SLC11A1/TF/PI3/SLPI/WFDC3/BPIFB1/GATA6/S100A8/DCD/S100A9/CXCL3/PPBP/CXCL1/NOD2/KLK5/WFDC13/WFDC12/CXCL8/FGA/FGB/WFDC5/F2/CCL13/WFDC10B,24,RNA
BP,GO:0006959,humoral immune response,42/814,380/18862,2.3943380887742936e-08,1.2785765394054728e-05,1.11371726070823e-05,CFH/SLC11A1/CPB2/TF/VTN/CPN1/PI3/SLPI/WFDC3/TREM1/BPIFB1/FOXJ1/APCS/IL6/GATA6/SUSD4/S100A8/VSIG4/C1R/DCD/S100A9/CXCL3/PPBP/CXCL1/C2/NOD2/KLK5/WFDC13/WFDC12/CXCL8/FGA/FGB/EXO1/WFDC5/C8G/CPN2/F2/CCL13/C1S/WFDC10B/C5AR1/CFHR1,42,RNA
BP,GO:0002576,platelet degranulation,22/814,128/18862,2.7702369796750005e-08,1.3313758924318052e-05,1.1597086808597344e-05,HGF/RAB27B/ITIH4/ACTN2/TF/SERPINE1/LGALS3BP/FN1/QSOX1/SRGN/LHFPL2/ITIH3/PPBP/SERPINF2/FGG/FGA/FGB/F8/SERPINA3/SERPINA1/ORM2/ORM1,22,RNA
