ONTOLOGY,ID,Description,GeneRatio,BgRatio,pvalue,p.adjust,qvalue,geneID,Count,Data
BP,GO:0042110,T cell activation,0.08020989505247376,474/18862,1.827568693095589e-61,1.0981860276811396e-57,7.806603954296738e-58,ITGAL/CD4/FYN/CD6/WAS/SLC11A1/CD74/RUNX3/CD44/BTN3A1/TNFRSF1B/FOXP3/PRDM1/FCGR2B/TBX21/PAG1/IL4R/PAK3/APBB1IP/PTPRC/BAX/SIRPG/LAG3/ICAM1/CD209/IL12RB1/LGALS1/GRAP2/SLA2/NFATC2/SIRPB1/ELF4/CD40LG/TNFSF13B/CORO1A/PYCARD/CD276/IL7/RELB/LILRB1/IL27RA/RASAL3/CLC/EBI3/JAK3/PIK3CG/CAV1/TNFSF8/DOCK8/VSIR/MAP3K8/CCL2/IL2/CRTAM/CD5/MDK/TCIRG1/IFNG/PTPN6/CLEC4A/RIPOR2/TREML2/CCR6/CCND3/ITK/BCL6/CD86/HHLA2/ZAP70/LOXL3/IL18R1/CD2/PLA2G2D/MYB/NKX2-3/CD274/IFNA6/TNFSF18/TNFSF11/CD80/CCR2/SASH3/LAX1/LY9/NCKAP1L/PREX1/BTN2A2/WNT1/IRF1/IL1B/TNFSF9/CD70/TNFSF14/CCR7/BCL11B/RAC2/DLL4/EPO/LILRB2/PRR7/IDO1/LGALS3/SPINK5/PTPN22/RSAD2/IL2RA/DOCK2/KLRC1/ANXA1/HAVCR2/TESPA1/LCP1/GPNMB/IL6/HLX/IL10/SIT1/IRF4/CD27/VAV1/XCL1/DUSP10/GNRH1/IFNA5/GSN/RPS3/ADAM8/MR1/CD8A/VSIG4/BATF/NCK1/CD1D/FCER1G/RUNX1/JAML/CD3G/LAPTM5/IL23R/VCAM1/NLRP3/SLAMF6/TNFAIP8L2/EOMES/SPTA1/CTLA4/ICOS/CGAS/B2M/NOD2/CD3D/NFKBID/TMIGD2/CD300A/NLRC3/CCDC88B/RHOH/IL7R/LGALS9/GPR183/BCL2/IFNB1/LGALS9C/CD8B/CEBPB/CLEC7A/THEMIS/CD7/IL20RB/LEP/ZNF683/CD28/FUT7/TIGIT/CLEC4G/LCK/CLECL1/JAG2/BTLA/LILRB4/TNFRSF4/TNFRSF18/FANCA/ZP3/PDCD1/HLA-DRB1/ADA/IL27/PELI1/SPN/PDCD1LG2/SIRPA/CARD11/NRARP/CD3E/MAFB/HLA-DOA/HLA-DRA/AIF1/MICB/HLA-E/HLA-G/PSMB10/HLA-A/MIR27A/KLRK1/HLA-DPB1/HLA-DPA1/HLA-DMB/LYN/INS/CCL5/CD24/PIK3R6,214,RNA S1
BP,GO:0070661,leukocyte proliferation,0.05734632683658171,312/18862,9.84343613738955e-50,2.656829672524996e-46,1.888643317673741e-46,CD38/CD4/BTK/FYN/TYROBP/CD22/CD6/SLC11A1/CD74/BTN3A1/TNFRSF1B/FOXP3/FCGR2B/MEF2C/PTPRC/BAX/CD209/TREM2/IL12RB1/CD40/NFATC2/ELF4/CD40LG/TNFSF13B/CORO1A/PYCARD/CD276/IL7/LILRB1/IL27RA/RASAL3/CLC/EBI3/CD79A/JAK3/PIK3CG/AHR/TNFSF8/DOCK8/VSIR/CCL8/IL2/CRTAM/TCIRG1/PTPN6/CCND3/BCL6/CD86/HHLA2/ZAP70/PLA2G2D/TNFAIP3/CD274/IFNA6/TNFSF18/TNFSF11/CLU/CD80/CCR2/SASH3/PKN1/NCKAP1L/BTN2A2/CDKN1A/IRF1/IL1B/TNFSF9/CD70/TNFSF14/RAC2/BST2/EPO/LILRB2/IDO1/LGALS3/CRP/CD180/PTPN22/IL2RA/DOCK2/ANXA1/HAVCR2/GPNMB/IL6/IL10/TLR4/IL33/XCL1/GNRH1/IFNA5/RPS3/ATM/HHEX/ENPP3/WNT3A/VSIG4/MS4A1/NCK1/CD1D/FCRL3/IKZF3/IL23R/VCAM1/SPTA1/MNDA/CTLA4/GREM1/TMIGD2/CD300A/CCDC88B/IL7R/INPP5D/LGALS9/GPR183/MZB1/BCL2/IFNB1/LGALS9C/CEBPB/IL20RB/LEP/GAPT/SOX11/CD19/CD28/CLEC4G/CSF1R/CLECL1/CSF1/LILRB4/TNFRSF4/ZP3/HLA-DRB1/ADA/IL27/PELI1/SPN/PDCD1LG2/CARD11/CD3E/AIF1/LST1/HLA-E/HLA-G/PSMB10/HLA-A/MIR181B1/HLA-DPB1/HLA-DPA1/HLA-DMB/LYN/CCL5/CD24,153,RNA S1
BP,GO:0007159,leukocyte cell-cell adhesion,0.06296851574212893,366/18862,1.6887781584815629e-49,2.656829672524996e-46,1.888643317673741e-46,ITGAL/CD4/FYN/ALOX5/CD6/CD74/RUNX3/CD44/FOXP3/FCGR2B/STK10/TBX21/ADD2/PAG1/IL4R/PAK3/PTPRC/SIRPG/LAG3/ICAM1/CD209/IL12RB1/LGALS1/GRAP2/SIRPB1/CD40LG/TNFSF13B/CORO1A/PYCARD/CD276/IL7/LILRB1/IL27RA/RASAL3/EBI3/JAK3/CAV1/DOCK8/VSIR/MAP3K8/CCL2/IL2/CRTAM/CD5/MDK/SELPLG/IFNG/PTPN6/RIPOR2/BCL6/CD86/HHLA2/ZAP70/ITGA4/LOXL3/PLA2G2D/MYB/CD274/TNFSF18/TNFSF11/CD80/CCR2/SASH3/LAX1/NCKAP1L/BTN2A2/IRF1/IL1B/TNFSF9/CD70/TNFSF14/CCR7/RAC2/EPO/LILRB2/IDO1/LGALS3/PTPN22/IL2RA/ETS1/ANXA1/HAVCR2/TESPA1/GPNMB/IL6/HLX/IL10/CD27/ITGB7/VAV1/XCL1/DUSP10/S100A8/GNRH1/RPS3/FERMT3/ITGB1/ADAM8/CCL28/VSIG4/NCK1/CD1D/RUNX1/ITGB2/ITGA5/LAPTM5/IL23R/VCAM1/NLRP3/TNFAIP8L2/S100A9/SPTA1/CTLA4/ICOS/NOD2/NFKBID/TMIGD2/CD300A/CCDC88B/CX3CR1/RHOH/IL7R/LGALS9/PTAFR/IFNB1/LGALS9C/CEBPB/OLR1/IL20RB/LEP/CD28/FUT7/TIGIT/CLEC4G/LCK/CLECL1/BTLA/LILRB4/GCNT1/ZP3/PDCD1/SELL/HLA-DRB1/ADA/PELI1/SPN/ELANE/PDCD1LG2/SIRPA/CARD11/NRARP/CD3E/HLA-DRA/AIF1/HLA-E/HLA-G/HLA-A/MIR27A/KLRK1/HLA-DPB1/HLA-DPA1/TNF/HLA-DMB/LYN/PECAM1/CCL5/CD24/PIK3R6,168,RNA S1
BP,GO:0050863,regulation of T cell activation,0.0588455772113943,327/18862,1.768566931286401e-49,2.656829672524996e-46,1.888643317673741e-46,CD4/FYN/CD6/CD74/RUNX3/TNFRSF1B/FOXP3/PRDM1/FCGR2B/TBX21/PAG1/IL4R/PAK3/PTPRC/SIRPG/LAG3/CD209/IL12RB1/LGALS1/GRAP2/NFATC2/SIRPB1/CD40LG/TNFSF13B/CORO1A/PYCARD/CD276/IL7/LILRB1/IL27RA/RASAL3/CLC/EBI3/JAK3/CAV1/TNFSF8/DOCK8/VSIR/MAP3K8/CCL2/IL2/CRTAM/CD5/MDK/IFNG/PTPN6/RIPOR2/BCL6/CD86/HHLA2/ZAP70/LOXL3/CD2/PLA2G2D/MYB/CD274/TNFSF18/TNFSF11/CD80/CCR2/SASH3/LAX1/NCKAP1L/BTN2A2/IRF1/IL1B/TNFSF9/CD70/TNFSF14/CCR7/RAC2/EPO/LILRB2/IDO1/LGALS3/SPINK5/PTPN22/IL2RA/ANXA1/HAVCR2/TESPA1/GPNMB/IL6/HLX/IL10/SIT1/IRF4/CD27/VAV1/XCL1/DUSP10/GNRH1/RPS3/ADAM8/VSIG4/NCK1/CD1D/RUNX1/LAPTM5/IL23R/VCAM1/NLRP3/TNFAIP8L2/SPTA1/CTLA4/ICOS/CGAS/NOD2/NFKBID/TMIGD2/CD300A/CCDC88B/RHOH/IL7R/LGALS9/IFNB1/LGALS9C/CEBPB/IL20RB/LEP/ZNF683/CD28/TIGIT/CLEC4G/LCK/CLECL1/BTLA/LILRB4/TNFRSF18/FANCA/ZP3/PDCD1/HLA-DRB1/ADA/IL27/PELI1/SPN/PDCD1LG2/SIRPA/CARD11/NRARP/CD3E/HLA-DOA/HLA-DRA/AIF1/HLA-E/HLA-G/HLA-A/MIR27A/KLRK1/HLA-DPB1/HLA-DPA1/HLA-DMB/LYN/CCL5/CD24/PIK3R6,157,RNA S1
BP,GO:0070663,regulation of leukocyte proliferation,0.04835082458770615,241/18862,1.6110270707478326e-47,1.9361323336247454e-44,1.3763258638094118e-44,CD38/CD4/BTK/TYROBP/CD22/CD6/CD74/TNFRSF1B/FOXP3/FCGR2B/MEF2C/PTPRC/CD209/IL12RB1/CD40/NFATC2/CD40LG/TNFSF13B/CORO1A/PYCARD/CD276/IL7/LILRB1/IL27RA/RASAL3/CLC/EBI3/JAK3/AHR/TNFSF8/VSIR/CCL8/IL2/CRTAM/PTPN6/BCL6/CD86/HHLA2/ZAP70/PLA2G2D/TNFAIP3/CD274/TNFSF18/CD80/CCR2/SASH3/PKN1/NCKAP1L/BTN2A2/CDKN1A/IRF1/IL1B/TNFSF9/CD70/RAC2/BST2/EPO/LILRB2/IDO1/LGALS3/CRP/PTPN22/IL2RA/ANXA1/HAVCR2/GPNMB/IL6/IL10/TLR4/IL33/XCL1/GNRH1/RPS3/ATM/HHEX/ENPP3/WNT3A/VSIG4/NCK1/CD1D/FCRL3/IKZF3/IL23R/VCAM1/SPTA1/MNDA/CTLA4/GREM1/TMIGD2/CD300A/CCDC88B/INPP5D/LGALS9/GPR183/MZB1/BCL2/LGALS9C/CEBPB/IL20RB/LEP/SOX11/CD28/CLEC4G/CSF1R/CLECL1/CSF1/LILRB4/TNFRSF4/ZP3/HLA-DRB1/ADA/IL27/PELI1/SPN/PDCD1LG2/CARD11/CD3E/AIF1/LST1/HLA-E/HLA-G/HLA-A/MIR181B1/HLA-DPB1/HLA-DPA1/HLA-DMB/LYN/CCL5/CD24,129,RNA S1
BP,GO:0032943,mononuclear cell proliferation,0.05247376311844078,285/18862,1.1184139984037148e-45,1.1200916194013204e-42,7.962322816705744e-43,CD38/CD4/BTK/FYN/TYROBP/CD22/CD6/SLC11A1/CD74/BTN3A1/TNFRSF1B/FOXP3/FCGR2B/MEF2C/PTPRC/BAX/CD209/IL12RB1/CD40/NFATC2/ELF4/CD40LG/TNFSF13B/CORO1A/PYCARD/CD276/IL7/LILRB1/IL27RA/RASAL3/CLC/EBI3/CD79A/JAK3/PIK3CG/AHR/TNFSF8/DOCK8/VSIR/IL2/CRTAM/PTPN6/CCND3/BCL6/CD86/HHLA2/ZAP70/PLA2G2D/CD274/IFNA6/TNFSF18/CD80/CCR2/SASH3/PKN1/NCKAP1L/BTN2A2/CDKN1A/IRF1/IL1B/TNFSF9/CD70/TNFSF14/RAC2/EPO/LILRB2/IDO1/LGALS3/CRP/CD180/PTPN22/IL2RA/DOCK2/ANXA1/HAVCR2/GPNMB/IL6/IL10/TLR4/XCL1/GNRH1/IFNA5/RPS3/ATM/WNT3A/VSIG4/MS4A1/NCK1/CD1D/FCRL3/IKZF3/IL23R/VCAM1/SPTA1/MNDA/CTLA4/TMIGD2/CD300A/CCDC88B/IL7R/INPP5D/LGALS9/GPR183/MZB1/BCL2/IFNB1/LGALS9C/CEBPB/IL20RB/LEP/GAPT/SOX11/CD19/CD28/CLEC4G/CLECL1/CSF1/LILRB4/TNFRSF4/ZP3/HLA-DRB1/ADA/IL27/PELI1/SPN/PDCD1LG2/CARD11/CD3E/AIF1/LST1/HLA-E/HLA-G/PSMB10/HLA-A/HLA-DPB1/HLA-DPA1/HLA-DMB/LYN/CCL5/CD24,140,RNA S1
BP,GO:0022407,regulation of cell-cell adhesion,0.06784107946026986,437/18862,2.269004304248176e-45,1.9477781234610412e-42,1.3846044310735488e-42,CD4/FYN/PLAUR/ALOX5/CD6/CD74/RUNX3/CD44/FOXP3/PTPRU/FSTL3/FCGR2B/TBX21/PAG1/IL4R/PAK3/PTPRC/CEACAM6/SIRPG/FXYD5/LAG3/ICAM1/CD209/IL12RB1/PPM1F/LGALS1/GRAP2/SIRPB1/JAG1/CD40LG/TNFSF13B/RGCC/CORO1A/PYCARD/CD276/IL7/LILRB1/IL27RA/RASAL3/EBI3/TGFB1/JAK3/CAV1/AKNA/DOCK8/VSIR/MAP3K8/CCL2/IL2/CRTAM/CD5/MDK/SH2B3/IFNG/PTPN6/RIPOR2/VEGFA/BCL6/CD86/HHLA2/ZAP70/ITGA4/LOXL3/PLA2G2D/MYB/CD274/TNFSF18/TNFSF11/CD80/CCR2/SASH3/LAX1/NCKAP1L/BTN2A2/WNT1/IRF1/IL1B/TNFSF9/CD70/TNFSF14/FOXA2/BMP2/CCR7/EPO/LILRB2/IDO1/LGALS3/PTPN22/IL2RA/ETS1/ANXA1/ADAM19/HAVCR2/TESPA1/GPNMB/IL6/HLX/IL10/IL1RN/CD27/ADAMTS18/VAV1/XCL1/DUSP10/GNRH1/RPS3/FERMT3/ADAM8/CCL28/UBASH3B/WNT3A/VSIG4/CXCL13/NCK1/CD1D/RUNX1/ITGB2/LAPTM5/IL23R/VCAM1/NLRP3/TNFAIP8L2/SPTA1/CTLA4/ICOS/NOD2/NFKBID/TMIGD2/CD300A/CCDC88B/RHOH/IL7R/LGALS9/PTAFR/FGG/FGA/IFNB1/LGALS9C/CEBPB/C1QTNF1/IL20RB/LEP/CD28/MYADM/FUT7/TIGIT/RNASE10/CLEC4G/LCK/CLECL1/BTLA/LILRB4/ZP3/PDCD1/HLA-DRB1/ADA/PELI1/SPN/ELANE/PDCD1LG2/SIRPA/CARD11/NRARP/CD3E/HLA-DRA/NOTCH4/AIF1/CDSN/HLA-E/HLA-G/HLA-A/MIR27A/KLRK1/HLA-DPB1/HLA-DPA1/TNF/HLA-DMB/LYN/CCL5/CD24/PIK3R6,181,RNA S1
BP,GO:1903037,regulation of leukocyte cell-cell adhesion,0.05697151424287856,330/18862,4.526854437866563e-45,3.4002335396425215e-42,2.417102014324015e-42,CD4/FYN/ALOX5/CD6/CD74/RUNX3/CD44/FOXP3/FCGR2B/TBX21/PAG1/IL4R/PAK3/PTPRC/SIRPG/LAG3/ICAM1/CD209/IL12RB1/LGALS1/GRAP2/SIRPB1/CD40LG/TNFSF13B/CORO1A/PYCARD/CD276/IL7/LILRB1/IL27RA/RASAL3/EBI3/JAK3/CAV1/DOCK8/VSIR/MAP3K8/CCL2/IL2/CRTAM/CD5/MDK/IFNG/PTPN6/RIPOR2/BCL6/CD86/HHLA2/ZAP70/ITGA4/LOXL3/PLA2G2D/MYB/CD274/TNFSF18/TNFSF11/CD80/CCR2/SASH3/LAX1/NCKAP1L/BTN2A2/IRF1/IL1B/TNFSF9/CD70/TNFSF14/CCR7/EPO/LILRB2/IDO1/LGALS3/PTPN22/IL2RA/ETS1/ANXA1/HAVCR2/TESPA1/GPNMB/IL6/HLX/IL10/CD27/VAV1/XCL1/DUSP10/GNRH1/RPS3/ADAM8/CCL28/VSIG4/NCK1/CD1D/RUNX1/ITGB2/LAPTM5/IL23R/VCAM1/NLRP3/TNFAIP8L2/SPTA1/CTLA4/ICOS/NOD2/NFKBID/TMIGD2/CD300A/CCDC88B/RHOH/IL7R/LGALS9/PTAFR/IFNB1/LGALS9C/CEBPB/IL20RB/LEP/CD28/FUT7/TIGIT/CLEC4G/LCK/CLECL1/BTLA/LILRB4/ZP3/PDCD1/HLA-DRB1/ADA/PELI1/SPN/ELANE/PDCD1LG2/SIRPA/CARD11/NRARP/CD3E/HLA-DRA/AIF1/HLA-E/HLA-G/HLA-A/MIR27A/KLRK1/HLA-DPB1/HLA-DPA1/TNF/HLA-DMB/LYN/CCL5/CD24/PIK3R6,152,RNA S1
BP,GO:0046651,lymphocyte proliferation,0.05172413793103448,282/18862,8.61712267542632e-45,5.753365572959639e-42,4.089857756360234e-42,CD38/CD4/BTK/FYN/TYROBP/CD22/CD6/SLC11A1/CD74/BTN3A1/TNFRSF1B/FOXP3/FCGR2B/MEF2C/PTPRC/BAX/CD209/IL12RB1/CD40/NFATC2/ELF4/CD40LG/TNFSF13B/CORO1A/PYCARD/CD276/IL7/LILRB1/IL27RA/RASAL3/CLC/EBI3/CD79A/JAK3/PIK3CG/AHR/TNFSF8/DOCK8/VSIR/IL2/CRTAM/PTPN6/CCND3/BCL6/CD86/HHLA2/ZAP70/PLA2G2D/CD274/IFNA6/TNFSF18/CD80/CCR2/SASH3/PKN1/NCKAP1L/BTN2A2/CDKN1A/IRF1/IL1B/TNFSF9/CD70/TNFSF14/RAC2/EPO/LILRB2/IDO1/LGALS3/CD180/PTPN22/IL2RA/DOCK2/ANXA1/HAVCR2/GPNMB/IL6/IL10/TLR4/XCL1/GNRH1/IFNA5/RPS3/ATM/WNT3A/VSIG4/MS4A1/NCK1/CD1D/FCRL3/IKZF3/IL23R/VCAM1/SPTA1/MNDA/CTLA4/TMIGD2/CD300A/CCDC88B/IL7R/INPP5D/LGALS9/GPR183/MZB1/BCL2/IFNB1/LGALS9C/CEBPB/IL20RB/LEP/GAPT/SOX11/CD19/CD28/CLEC4G/CLECL1/LILRB4/TNFRSF4/ZP3/HLA-DRB1/ADA/IL27/PELI1/SPN/PDCD1LG2/CARD11/CD3E/AIF1/LST1/HLA-E/HLA-G/PSMB10/HLA-A/HLA-DPB1/HLA-DPA1/HLA-DMB/LYN/CCL5/CD24,138,RNA S1
BP,GO:0032944,regulation of mononuclear cell proliferation,0.044977511244377814,223/18862,1.3803112141247208e-44,8.294290085675447e-42,5.896108323071703e-42,CD38/CD4/BTK/TYROBP/CD22/CD6/CD74/TNFRSF1B/FOXP3/FCGR2B/MEF2C/PTPRC/CD209/IL12RB1/CD40/NFATC2/CD40LG/TNFSF13B/CORO1A/PYCARD/CD276/IL7/LILRB1/IL27RA/RASAL3/CLC/EBI3/JAK3/AHR/TNFSF8/VSIR/IL2/CRTAM/PTPN6/BCL6/CD86/HHLA2/ZAP70/PLA2G2D/CD274/TNFSF18/CD80/CCR2/SASH3/PKN1/NCKAP1L/BTN2A2/CDKN1A/IRF1/IL1B/TNFSF9/CD70/RAC2/EPO/LILRB2/IDO1/LGALS3/CRP/PTPN22/IL2RA/ANXA1/HAVCR2/GPNMB/IL6/IL10/TLR4/XCL1/GNRH1/RPS3/ATM/WNT3A/VSIG4/NCK1/CD1D/FCRL3/IKZF3/IL23R/VCAM1/SPTA1/MNDA/CTLA4/TMIGD2/CD300A/CCDC88B/INPP5D/LGALS9/GPR183/MZB1/BCL2/LGALS9C/CEBPB/IL20RB/LEP/SOX11/CD28/CLEC4G/CLECL1/CSF1/LILRB4/TNFRSF4/ZP3/HLA-DRB1/ADA/IL27/PELI1/SPN/PDCD1LG2/CARD11/CD3E/AIF1/LST1/HLA-E/HLA-G/HLA-A/HLA-DPB1/HLA-DPA1/HLA-DMB/LYN/CCL5/CD24,120,RNA S1
