id,external_gene_name,Regulation_Grouping_2,Integrated padj (old-young),Integrated pval (old-young),Integrated diff (old-young),mannwhitneyu stat (old-young),Integrated mean (young),Integrated mean (old),Protein-LogFC mean (old-young),RNA-LogFC mean (old-young),CpG-LogFC mean (old-young),hgnc_symbol,entrezgene_id,Locus,logFC_rna,padj_rna,CpG_Beta_diff,padj_meth,logFC_protein,padj_protein
ENSG00000000005,TNMD,TPDS_TMDE,0.3992603929919977,0.01694640575834817,-0.3069330453872681,119.0,0.3162547,0.009321646999999999,0.0,-0.5584615610986893,-0.13302648974602346,TNMD,64102.0,cg16822540,-1.2249283459782099,2.2764782331531597e-09,-0.3227685604953261,1.57533766452278e-36,0.0,1.0
ENSG00000003096,KLHL13,TPDS_TMDE,0.4941402460140787,0.4315027500404631,-0.021819472312927246,215.0,1.3394876,1.3176681000000001,-0.18365854124343794,0.15661342526567834,-0.0009906563929215073,KLHL13,90293.0,cg03910337,-1.9951144778543002,2.0574945535529398e-98,-0.0736191831446873,3.9732756442575793e-25,-0.334346029971229,1.8768901571558895e-26
ENSG00000004939,SLC4A1,TPDS_TMDE,0.3992603929919977,0.002794710687986779,-0.2574880123138428,87.0,1.418088,1.1606,-0.000710291005291408,-0.5595764662338379,-0.0104190513315381,SLC4A1,6521.0,cg04433322,-5.779428343848551,1.2472092309834695e-104,-0.1292982133259105,5.495074519261889e-25,1.36812729953255,1.08297404878098e-31
ENSG00000005001,PRSS22,TPDS_TMDE,0.4899354959785859,0.3688317219726115,-0.14621669054031372,207.0,-0.5938918000000001,-0.7401085000000001,0.0,-0.2399319933445509,0.024575214679816517,PRSS22,64063.0,cg06186790,-5.086436325123651,2.4613519655940897e-64,-0.1687638866267185,2.22298870900669e-31,0.0,1.0
ENSG00000006071,ABCC8,TPDS_TMDE,0.4874433784787394,0.33125553537463626,-0.14519451558589935,202.0,-0.16089849,-0.306093,0.0,0.022075630577507943,0.006590432244958283,ABCC8,6833.0,cg14051368,-1.7554684742392799,4.8091268685824006e-24,-0.1337942818810536,8.15603080646628e-34,0.0,1.0
ENSG00000006432,MAP3K9,TPDS_TMDE,0.4813222167397909,0.29530625446206593,-0.07409767806529999,197.0,-0.1502164,-0.22431408,0.0,-0.1680774134249874,-0.011520812129707623,MAP3K9,4293.0,cg12814766,-1.8532844532413402,1.0493443433912398e-71,-0.0894382298706881,8.297450747379418e-50,0.0,1.0
ENSG00000007001,UPP2,TPDS_TMDE,0.4956948784583228,0.4555505749212052,-0.002335190773010254,218.0,-0.51239425,-0.51472944,0.0,0.10574559106965653,-0.07103091459238467,UPP2,151531.0,cg07151747,-3.7964894359740096,3.968772761524799e-143,-0.0982442864594918,1.23935839693028e-10,0.0,1.0
ENSG00000007516,BAIAP3,TPDS_TMDE,0.4899354959785859,0.3688317219726115,0.010461121797561646,207.0,0.26593474,0.27639586,0.0,0.031220600413763618,-0.03871696185959755,BAIAP3,8938.0,cg06161600,-1.07474926834746,5.7603870538080796e-21,-0.2850776841912397,2.4192314486949193e-76,0.0,1.0
ENSG00000008226,DLEC1,TPDS_TMDE,0.4540175862434261,0.16242319282511306,-0.11649492383003235,175.0,0.13900343,0.022508506,0.0,-0.2329095777758432,-0.028504629757614336,DLEC1,9940.0,cg13063313,-1.41783142788036,6.313062368270019e-66,-0.1543438542572117,3.30149062502278e-63,0.0,1.0
ENSG00000010319,SEMA3G,TPDS_TMDE,0.4875730795361804,0.3386505079307971,0.07695269584655763,203.0,1.214151,1.2911037,-0.03600366622574931,-0.7981548043206785,0.02486224699418793,SEMA3G,56920.0,cg08448751,-1.01182833166427,4.2789351793008985e-12,-0.1242545907103508,1.5262745126983602e-44,-0.0529930516600759,0.287316676694551
ENSG00000011347,SYT7,TPDS_TMDE,0.493857217624903,0.3998446000803819,-0.007471799850463867,211.0,1.0552404,1.0477686,-0.1668453615520284,0.25514115414602445,0.02999106002223237,SYT7,9066.0,cg13027727,-3.7691030611419998,1.6892332352370396e-80,-0.1604704025170886,4.233763449954739e-51,-0.0901124607455372,0.26981800504923104
ENSG00000013297,CLDN11,TPDS_TMDE,0.43749136245211095,0.10969591602365897,-0.2969759702682495,163.0,0.031066976,-0.265909,0.0,-0.2930515978823476,0.06022799099113591,CLDN11,5010.0,cg25620760,-1.8435312223426399,2.5986495991524902e-25,-0.2828802694225786,9.141728422439988e-77,0.0,1.0
ENSG00000019549,SNAI2,TPDS_TMDE,0.4899354959785859,0.3688317219726115,-0.055321455001831055,207.0,1.1648252000000001,1.1095037,-0.21489491843033404,-0.10863198341580647,-0.02647288384370396,SNAI2,6591.0,cg09881855,-1.01603808531171,8.86300680687276e-18,0.0456956564368662,4.827252421301279e-27,-0.0178335538775009,0.786890922901631
ENSG00000022556,NLRP2,TPDS_TMDE,0.493857217624903,0.4077062251624832,-0.03035263903439045,212.0,0.0066467356,-0.023705902999999997,0.0,0.019940474780983042,0.003176581357801023,NLRP2,55655.0,cg06607594,-1.6364598983237202,7.95510066819441e-21,-0.1590857417972847,6.007809656609729e-50,0.0,1.0
ENSG00000023171,GRAMD1B,TPDS_TMDE,0.4274642025865015,0.07054470365976967,-0.04116153717041016,151.0,1.2156423,1.1744808,-0.0386680114307873,0.6608416810660711,0.0,GRAMD1B,57476.0,0,-2.13145103933293,5.86260672476335e-67,0.0,1.0,-0.33107517107764806,5.438630005649259e-12
ENSG00000023330,ALAS1,TPDS_TMDE,0.4941402460140787,0.4235384133489907,0.032277822494506836,214.0,1.1297342,1.162012,0.1165388797301878,0.12521875624505766,0.0,ALAS1,211.0,0,-1.019283407371,1.8217182122637897e-128,0.0,1.0,-0.252359562216876,2.0369601805112102e-10
ENSG00000027644,INSRR,TPDS_TMDE,0.43749136245211095,0.12570174357778965,-0.039725661277771,167.0,-0.98964727,-1.0293729,0.0,0.020430060131797045,0.0038883367417739596,INSRR,3645.0,cg20673279,-3.8808410089665895,9.950962650203339e-50,-0.0124838493408684,2.3340819712937898e-15,0.0,1.0
ENSG00000035720,STAP1,TPDS_TMDE,0.4879971280089349,0.3536260878318268,-0.008781790733337402,205.0,1.1825146999999998,1.1737329,-0.018714697971781658,-0.3387636598738521,-0.005155069297983829,STAP1,26228.0,cg04398282,-3.24222333276081,6.289468775020119e-100,-0.1356508822333646,9.65619387373579e-47,-0.36498352630948,2.2883528838865103e-15
ENSG00000036448,MYOM2,TPDS_TMDE,0.4681046648115953,0.21724012261326853,0.047266602516174316,185.0,1.1630098999999998,1.2102765,0.4745122001763675,0.041248990807176256,0.07733816259778625,MYOM2,9172.0,cg09584650,-1.90546936632271,3.4194080572759094e-87,-0.3047257575074934,7.61687817467504e-42,-0.14910237924008402,0.0070445533592929
ENSG00000041515,MYO16,TPDS_TMDE,0.3992603929919977,0.018728638813684632,-0.3395588994026184,121.0,0.2914095,-0.048149407000000005,0.0,-0.23320868608479395,0.031950268196886684,MYO16,23026.0,cg27651090,-1.18666377757599,3.4408311666438596e-16,-0.1866806496837089,1.2335955048995498e-55,0.0,1.0
ENSG00000047597,XK,TPDS_TMDE,0.4941402460140787,0.4235384133489907,-0.019503951072692868,214.0,-0.12052764,-0.14003159,0.0,0.07522424273765592,0.028510590170661,XK,7504.0,cg01760227,-1.3123440572626899,5.92180805929159e-11,-0.1097000323013265,1.39322625518793e-10,0.0,1.0
ENSG00000047662,FAM184B,TPDS_TMDE,0.4617576392507024,0.183170690931694,0.05192792415618897,179.0,1.2235693,1.2754972,-0.03195400972549184,0.035280849224068045,0.033458094436582465,FAM184B,27146.0,cg07696699,-1.4312257352495101,1.0233325216443998e-87,0.0619626615509865,2.4390994809531e-16,-0.19588943813568696,2.9173036244190995e-37
ENSG00000047936,ROS1,TPDS_TMDE,0.4933351156087475,0.3842455196220244,-0.07444798946380615,209.0,-0.25192620000000004,-0.3263742,0.0,-0.06344109026135847,0.012276891713431298,ROS1,6098.0,cg22785136,-1.6904802957067702,3.39171728222124e-05,-0.1152075203616751,4.566645774307819e-59,0.0,1.0
ENSG00000048540,LMO3,TPDS_TMDE,0.4786282949114594,0.2814469198951187,0.044496089220047004,195.0,0.10989031,0.1543864,0.0,0.1924524605893065,0.0929658722285568,LMO3,55885.0,cg05355757,-1.33091064230261,1.2998293782065198e-21,-0.1022028170999366,1.10200389269571e-08,0.0,1.0
ENSG00000049089,COL9A2,TPDS_TMDE,0.4248464833931137,0.053280426602188805,0.13564711809158325,144.0,0.9745254999999999,1.1101726,-0.2015341822695495,0.2746204557715066,0.0,COL9A2,1298.0,0,-1.71238515214059,1.38546515680506e-36,0.0,1.0,0.345041522421482,0.0262525391316337
ENSG00000050438,SLC4A8,TPDS_TMDE,0.4786282949114594,0.2814469198951187,-0.03417031466960907,195.0,-0.029963017,-0.06413333,0.0,-0.08308578633800258,-0.015504733810481954,SLC4A8,9498.0,cg01904393,-1.3679384025287,1.4067211647698695e-48,-0.29361324103008596,2.9470595550665795e-90,0.0,1.0
ENSG00000053108,FSTL4,TPDS_TMDE,0.4835079984784394,0.3094715732875466,0.10396140813827516,199.0,-0.96388435,-0.85992295,0.0,0.189277630324844,-0.04155274100150058,FSTL4,23105.0,cg25322094,-3.3690294480301803,7.0421990012276e-77,-0.2655479734343944,4.045032028953539e-39,0.0,1.0
ENSG00000053770,AP5M1,TPDS_TMDE,0.4274642025865015,0.07914495096125901,-0.10245645046234132,154.0,1.4159713,1.3135148,-0.08721232573985478,0.040099617203078974,0.0127121499767178,AP5M1,55745.0,cg11094161,-1.03424893865524,7.474761849856597e-144,-0.0220278783835829,1.12951846013252e-06,0.0304287471658815,0.23515211190117702
ENSG00000054598,FOXC1,TPDS_TMDE,0.4874433784787394,0.33125553537463626,0.035249114036560066,202.0,1.136219,1.1714681,-0.10855881023287177,-0.12928673215249686,0.0,FOXC1,2296.0,0,-1.68016520986514,4.14474906127501e-68,0.0,1.0,-0.335905562565683,1.2240052791645e-16
