,Regulatory Cluster label,Cell type,p-value,odds-ratio,genes in cell type and cluster,genes in cluster but not cell type,genes in cell type but not cluster,genes not in cell type or cluster,gene_ids,gene_names,p.adj
0,MDS (+),CD45- Myofibroblast,0.004107887387430438,6.976190476190476,6,4,63,293,ENSG00000074527 ENSG00000127955 ENSG00000109654 ENSG00000134504 ENSG00000173598 ENSG00000143416,NTN4 GNAI1 TRIM2 KCTD1 NUDT4 SELENBP1,0.02343912215180897
1,MDS (+),CD45- PAX8+ renal epithelium,0.0037184791338610466,11.805194805194805,9,1,154,202,ENSG00000126562 ENSG00000005108 ENSG00000139344 ENSG00000127955 ENSG00000109654 ENSG00000134504 ENSG00000114378 ENSG00000173598 ENSG00000143416,WNK4 THSD7A AMDHD1 GNAI1 TRIM2 KCTD1 HYAL1 NUDT4 SELENBP1,0.022543279749032596
2,MDS (+),CD45- Vascular Endothelium,0.034065976095021884,4.085714285714285,5,5,70,286,ENSG00000005108 ENSG00000074527 ENSG00000127955 ENSG00000109654 ENSG00000114378,THSD7A NTN4 GNAI1 TRIM2 HYAL1,0.1230428016606508
3,MDS (+),CD45- ccRCC CA9+,0.27624626891632015,1.78125,5,5,128,228,ENSG00000126562 ENSG00000127955 ENSG00000109654 ENSG00000134504 ENSG00000143416,WNK4 GNAI1 TRIM2 KCTD1 SELENBP1,0.515305540093905
4,MDS (+),TAM ISGhi,0.0023929654204403413,7.921810699588478,7,3,81,275,ENSG00000005108 ENSG00000074527 ENSG00000127955 ENSG00000109654 ENSG00000114378 ENSG00000173598 ENSG00000143416,THSD7A NTN4 GNAI1 TRIM2 HYAL1 NUDT4 SELENBP1,0.017229824075421844
5,MDS (-),CD45- PAX8+ renal epithelium,0.0016152326750083924,7.986754966887418,12,2,151,201,ENSG00000159166 ENSG00000099812 ENSG00000127831 ENSG00000182795 ENSG00000088899 ENSG00000143412 ENSG00000145626 ENSG00000127324 ENSG00000198203 ENSG00000143627 ENSG00000175707 ENSG00000130413,LAD1 MISP VIL1 C1orf116 LZTS3 ANXA9 UGT3A1 TSPAN8 SULT1C2 PKLR KDF1 STK33,0.013056464122984505
6,MDS (-),CD45- ccRCC CA9+,0.39912950042276,1.328740157480315,6,8,127,225,ENSG00000159166 ENSG00000099812 ENSG00000088899 ENSG00000198203 ENSG00000173786 ENSG00000130413,LAD1 MISP LZTS3 SULT1C2 CNP STK33,0.6272694005934961
7,MDE (+),CD45- Myofibroblast,0.004381449544672758,3.7027379400260756,10,13,59,284,ENSG00000140939 ENSG00000132639 ENSG00000024422 ENSG00000105974 ENSG00000173548 ENSG00000141756 ENSG00000173269 ENSG00000138722 ENSG00000091127 ENSG00000116991,NOL3 SNAP25 EHD2 CAV1 SNX33 FKBP10 MMRN2 MMRN1 PUS7 SIPA1L2,0.02361114476851431
8,MDE (+),CD45- PAX8+ renal epithelium,0.2917295257152017,1.387116195063215,12,11,151,192,ENSG00000140939 ENSG00000104881 ENSG00000132639 ENSG00000024422 ENSG00000105974 ENSG00000173548 ENSG00000141756 ENSG00000133619 ENSG00000123610 ENSG00000179403 ENSG00000109107 ENSG00000185100,NOL3 PPP1R13L SNAP25 EHD2 CAV1 SNX33 FKBP10 KRBA1 TNFAIP6 VWA1 ALDOC ADSS1,0.5240326665624919
9,MDE (+),CD45- Vascular Endothelium,0.0004811849922186494,4.848484848484849,12,11,63,280,ENSG00000104881 ENSG00000024422 ENSG00000105974 ENSG00000173548 ENSG00000138722 ENSG00000173269 ENSG00000179403 ENSG00000170962 ENSG00000138411 ENSG00000183688 ENSG00000185100 ENSG00000116991,PPP1R13L EHD2 CAV1 SNX33 MMRN1 MMRN2 VWA1 PDGFD HECW2 RFLNB ADSS1 SIPA1L2,0.005186104916134333
10,MDE (+),CD45- ccRCC CA9+,0.03381070947388194,2.4158333333333335,13,10,120,223,ENSG00000140939 ENSG00000104881 ENSG00000132639 ENSG00000024422 ENSG00000105974 ENSG00000173548 ENSG00000141756 ENSG00000133619 ENSG00000091127 ENSG00000123610 ENSG00000109107 ENSG00000185100 ENSG00000116991,NOL3 PPP1R13L SNAP25 EHD2 CAV1 SNX33 FKBP10 KRBA1 PUS7 TNFAIP6 ALDOC ADSS1 SIPA1L2,0.1230428016606508
11,MDE (+),TAM ISGhi,0.07178801347734662,2.148282097649186,9,14,79,264,ENSG00000024422 ENSG00000105974 ENSG00000138722 ENSG00000173269 ENSG00000179403 ENSG00000170962 ENSG00000138411 ENSG00000183688 ENSG00000116991,EHD2 CAV1 MMRN1 MMRN2 VWA1 PDGFD HECW2 RFLNB SIPA1L2,0.20480697962654773
12,MDE (+),TAM ISGint,0.005153800389492696,4.04,8,15,40,303,ENSG00000024422 ENSG00000105974 ENSG00000138722 ENSG00000173269 ENSG00000179403 ENSG00000170962 ENSG00000138411 ENSG00000116991,EHD2 CAV1 MMRN1 MMRN2 VWA1 PDGFD HECW2 SIPA1L2,0.026311507251620608
13,MDE (-),CD14+ Monocyte,0.034893097953966584,2.317073170731707,10,30,41,285,ENSG00000089639 ENSG00000059377 ENSG00000100364 ENSG00000122986 ENSG00000103490 ENSG00000160255 ENSG00000142669 ENSG00000112303 ENSG00000168961 ENSG00000158869,GMIP TBXAS1 KIAA0930 HVCN1 PYCARD ITGB2 SH3BGRL3 VNN2 LGALS9 FCER1G,0.1230428016606508
14,MDE (-),CD14+/CD16+ Monocyte,0.01449823494619781,2.7714285714285714,10,30,35,291,ENSG00000131446 ENSG00000161921 ENSG00000059377 ENSG00000100364 ENSG00000103490 ENSG00000142669 ENSG00000112303 ENSG00000168961 ENSG00000158869 ENSG00000089127,MGAT1 CXCL16 TBXAS1 KIAA0930 PYCARD SH3BGRL3 VNN2 LGALS9 FCER1G OAS1,0.06392403589914489
15,MDE (-),CD45- PAX8+ renal epithelium,0.9979789455712472,0.3769063180827887,10,30,153,173,ENSG00000075340 ENSG00000104419 ENSG00000167644 ENSG00000105976 ENSG00000113249 ENSG00000067225 ENSG00000166592 ENSG00000099377 ENSG00000198758 ENSG00000085831,ADD2 NDRG1 C19orf33 MET HAVCR1 PKM RRAD HSD3B7 EPS8L3 TTC39A,0.99999105826547
16,MDE (-),CD45- ccRCC CA9+,0.49991770287058007,1.0576271186440678,15,25,118,208,ENSG00000075340 ENSG00000142002 ENSG00000132530 ENSG00000167644 ENSG00000104419 ENSG00000105976 ENSG00000100364 ENSG00000113249 ENSG00000067225 ENSG00000168961 ENSG00000166592 ENSG00000134285 ENSG00000099377 ENSG00000085831 ENSG00000089127,ADD2 DPP9 XAF1 C19orf33 NDRG1 MET KIAA0930 HAVCR1 PKM LGALS9 RRAD FKBP11 HSD3B7 TTC39A OAS1,0.746031033514558
17,MDE (-),Conventional NK,0.06868048607995639,3.1818181818181817,4,36,11,315,ENSG00000134285 ENSG00000160255 ENSG00000132965 ENSG00000158869,FKBP11 ITGB2 ALOX5AP FCER1G,0.20187900453805363
18,MDE (-),Mast,0.03551750975771363,3.4395604395604398,5,35,13,313,ENSG00000161921 ENSG00000132965 ENSG00000158869 ENSG00000026508 ENSG00000166592,CXCL16 ALOX5AP FCER1G CD44 RRAD,0.1230428016606508
19,MDE (-),TAM HLAhi,0.0024867787325351114,3.255731922398589,13,27,42,284,ENSG00000131446 ENSG00000161921 ENSG00000132965 ENSG00000059377 ENSG00000100364 ENSG00000181467 ENSG00000095970 ENSG00000122986 ENSG00000103490 ENSG00000160255 ENSG00000168961 ENSG00000158869 ENSG00000089127,MGAT1 CXCL16 ALOX5AP TBXAS1 KIAA0930 RAP2B TREM2 HVCN1 PYCARD ITGB2 LGALS9 FCER1G OAS1,0.017229824075421844
20,MDE (-),TAM HLAint,0.03489154564778032,2.560344827586207,8,32,29,297,ENSG00000131446 ENSG00000161921 ENSG00000059377 ENSG00000100364 ENSG00000181467 ENSG00000095970 ENSG00000168961 ENSG00000158869,MGAT1 CXCL16 TBXAS1 KIAA0930 RAP2B TREM2 LGALS9 FCER1G,0.1230428016606508
21,MDE (-),TAM ISGhi,0.952658151860444,0.5251076040172167,6,34,82,244,ENSG00000131446 ENSG00000161921 ENSG00000059377 ENSG00000095970 ENSG00000168961 ENSG00000158869,MGAT1 CXCL16 TBXAS1 TREM2 LGALS9 FCER1G,0.99999105826547
